date,open,high,low,close,volume
2018-01-01,423.25,435.55,423.25,429.7,19069785.5
2018-01-02,433.8,433.8,426.0,427.6,16417229.05
2018-01-03,431.0,431.0,422.55,424.05,14630676.35
2018-01-04,424.0,438.0,424.0,435.45,39971318.7
2018-01-05,438.85,441.5,428.0,428.85,37740743.05
2018-01-08,430.0,438.5,427.0,429.4,31288885.55
2018-01-09,434.0,437.8,430.5,432.65,26295455.95
2018-01-10,434.0,434.0,426.55,428.0,19892730.15
2018-01-11,431.4,434.0,426.6,433.55,12643496.4
2018-01-12,434.95,439.25,427.6,435.3,28698783.5
2018-01-15,435.1,444.5,435.0,440.25,41493767.15
2018-01-16,443.5,443.5,429.9,433.1,18066606.1
2018-01-17,431.0,434.65,423.0,424.95,46584456.15
2018-01-18,425.05,429.8,397.0,408.6,38626956.0
2018-01-19,407.0,409.5,400.0,405.15,27272303.85
2018-01-22,405.25,407.5,385.5,399.7,139952971.7
2018-01-23,404.0,412.0,396.6,399.1,202322410.8
2018-01-24,401.0,442.85,393.5,434.05,233632818.3
2018-01-25,434.0,451.65,434.0,446.95,162868856.7
2018-01-29,448.8,455.0,439.0,450.55,130486902.4
2018-01-30,453.0,453.95,442.0,445.85,46977472.05
2018-01-31,446.1,449.95,430.45,438.5,29046265.5
2018-02-01,439.0,447.8,431.5,440.05,91328572.8
2018-02-02,437.0,437.0,416.0,428.75,129553843.2
2018-02-05,424.0,424.0,401.5,417.7,26949657.25
2018-02-06,403.0,410.75,400.3,408.65,23329312.5
2018-02-07,410.0,429.0,408.0,420.2,14815285.1
2018-02-08,425.0,437.5,418.65,432.6,28563888.75
2018-02-09,419.6,434.4,419.6,432.4,20029929.95
2018-02-12,439.2,439.2,425.5,427.95,11309188.65
2018-02-14,432.0,436.0,426.5,431.15,16011467.5
2018-02-15,429.4,434.9,425.0,425.8,32012234.25
2018-02-16,425.1,430.6,415.5,420.35,20307708.65
2018-02-19,425.0,425.45,418.5,423.9,9271940.25
2018-02-20,421.55,428.0,418.85,423.35,6533788.1
2018-02-21,419.0,428.95,418.1,419.05,17073005.25
2018-02-22,417.05,418.65,408.0,412.75,15604378.3
2018-02-23,410.4,419.25,405.35,414.35,24542372.55
2018-02-26,411.4,414.0,408.0,410.55,33865743.05
2018-02-27,410.55,413.95,404.55,405.3,30710030.2
2018-02-28,405.35,412.0,399.05,407.75,42531684.25
2018-03-01,408.0,416.55,402.2,413.95,90683796.0
2018-03-05,407.1,412.4,403.25,409.55,8691152.25
2018-03-06,411.95,412.0,401.0,403.95,5526241.05
2018-03-07,407.0,407.95,401.25,404.75,15366294.55
2018-03-08,409.2,409.25,400.1,406.2,8311938.2
2018-03-09,403.35,407.45,401.0,402.7,50497715.05
2018-03-12,405.0,406.7,391.2,397.75,123021402.6
2018-03-13,398.0,405.0,395.45,402.9,33431329.25
2018-03-14,398.05,406.3,398.0,401.9,53273139.4
2018-03-15,404.7,404.7,395.5,396.6,41335304.85
2018-03-16,400.0,400.0,385.1,388.05,68791211.15
2018-03-19,382.3,394.9,382.3,389.35,38399886.45
2018-03-20,389.0,395.2,384.25,387.5,45793086.6
2018-03-21,390.0,395.5,376.25,388.65,40662223.7
2018-03-22,389.75,390.9,379.05,384.95,28780816.0
2018-03-23,380.0,391.5,360.5,385.65,33505330.7
2018-03-26,382.5,399.0,382.5,395.2,114390774.7
2018-03-27,391.8,398.65,386.95,389.35,15539252.7
2018-03-28,389.35,391.9,380.95,385.0,55540778.35
2018-04-02,380.5,388.9,380.5,386.05,25014900.4
2018-04-03,381.0,387.05,380.2,384.95,38305778.55
2018-04-04,385.95,388.0,379.95,381.15,63604549.3
2018-04-05,383.8,385.9,382.0,384.95,72570337.9
2018-04-06,383.0,390.0,382.0,384.95,50247033.65
2018-04-09,392.0,392.0,386.5,388.2,57316286.0
2018-04-10,387.15,392.0,385.1,389.4,220374760.5
2018-04-11,387.95,391.0,384.0,387.0,58399785.85
2018-04-12,388.0,389.85,384.0,386.95,62933423.3
2018-04-13,386.25,401.85,386.25,398.1,41215835.75
2018-04-16,392.4,423.6,392.4,418.55,40673621.3
