date,open,high,low,close,volume
2018-01-01,611.95,632.0,611.95,628.95,58493559.75
2018-01-02,630.5,636.0,616.05,622.95,29225454.65
2018-01-03,624.0,634.5,621.6,629.95,52713724.65
2018-01-04,632.0,634.0,627.3,633.5,36958706.45
2018-01-05,635.1,638.8,626.25,630.75,33187698.7
2018-01-08,625.05,633.0,624.1,626.65,29621201.65
2018-01-09,629.95,635.5,622.5,625.85,65917116.2
2018-01-10,627.0,629.95,606.05,613.4,62777686.15
2018-01-11,618.0,622.95,612.0,614.0,56155691.05
2018-01-12,616.0,632.0,612.0,624.6,52715143.95
2018-01-15,630.75,632.0,624.0,629.85,39602214.4
2018-01-16,634.95,634.95,610.0,618.6,52801964.95
2018-01-17,621.95,624.0,610.2,622.6,31969476.1
2018-01-18,622.6,629.95,609.55,618.5,59940997.55
2018-01-19,624.4,624.5,611.15,618.9,25049451.55
2018-01-22,619.0,648.95,617.95,638.1,208686505.4
2018-01-23,638.35,643.7,624.55,630.3,72532538.5
2018-01-24,631.0,634.8,614.55,617.0,39971938.35
2018-01-25,617.0,618.0,607.05,611.8,43151978.35
2018-01-29,614.5,626.45,611.85,615.75,50855642.9
2018-01-30,617.0,624.0,603.5,607.6,43923779.2
2018-01-31,609.0,616.0,605.0,610.2,49509949.2
2018-02-01,612.0,617.0,587.0,590.25,105570413.9
2018-02-02,590.25,594.0,558.0,564.15,92045637.0
2018-02-05,560.0,579.9,555.0,569.25,40936098.5
2018-02-06,545.0,555.0,531.55,543.3,70051568.4
2018-02-07,547.95,569.5,547.95,562.9,75688659.65
2018-02-08,566.95,580.95,561.05,570.5,50391677.6
2018-02-09,567.0,579.0,562.05,569.6,32058841.85
2018-02-12,570.2,580.0,556.0,558.45,159153928.9
2018-02-14,570.0,579.6,564.0,568.45,131572259.0
2018-02-15,571.0,571.85,555.0,560.5,34704978.6
2018-02-16,566.75,567.05,559.0,565.7,28382511.05
2018-02-19,569.95,569.95,554.2,560.65,47290398.3
2018-02-20,564.5,564.5,551.4,556.6,35262469.2
2018-02-21,560.0,563.95,553.2,556.4,28706233.15
2018-02-22,553.0,557.05,548.0,552.1,26015854.9
2018-02-23,550.0,560.0,550.0,554.65,31551329.95
2018-02-26,556.0,564.5,556.0,560.45,29254623.9
2018-02-27,561.0,564.85,553.0,557.4,30620706.25
2018-02-28,556.9,558.3,549.5,550.6,32363605.95
2018-03-01,551.0,557.0,548.0,548.85,24106809.35
2018-03-05,550.0,552.9,540.8,548.9,22622540.35
2018-03-06,547.2,552.0,513.3,515.15,151842446.6
2018-03-07,519.45,519.45,469.2,474.2,256942754.3
2018-03-08,480.0,489.0,460.3,478.0,157823235.9
2018-03-09,482.75,519.5,473.75,500.1,331688912.3
2018-03-12,503.1,508.0,495.1,502.35,63445626.3
2018-03-13,498.0,504.9,496.0,499.65,47557467.2
2018-03-14,499.7,505.95,493.05,502.75,66751144.25
2018-03-15,504.85,510.65,497.0,508.85,61735106.85
2018-03-16,507.0,509.7,490.0,503.2,265619599.3
