date,open,high,low,close,volume
2018-01-01,7261.0,7374.0,7135.1,7171.15,18059158.45
2018-01-02,7210.0,7295.0,7065.0,7213.0,17176918.15
2018-01-03,7248.95,7549.9,7154.0,7492.85,188752540.2
2018-01-04,7500.0,7636.0,7395.1,7461.75,36914233.55
2018-01-05,7528.95,7538.0,7400.0,7485.45,15879151.15
2018-01-08,7540.0,7595.95,7340.1,7415.85,20638930.05
2018-01-09,7380.0,7475.95,7310.0,7329.55,76040692.1
2018-01-10,7340.0,7678.0,7283.0,7495.8,63402275.3
2018-01-11,7645.0,7645.0,7285.0,7355.15,32021097.8
2018-01-12,7316.0,7700.0,7290.0,7623.7,91335902.05
2018-01-15,7693.3,7751.3,7525.0,7599.25,26164293.65
2018-01-16,7665.0,7665.0,7425.1,7449.05,24337622.85
2018-01-17,7355.0,7475.5,7320.0,7337.55,26144531.2
2018-01-18,7400.95,7780.0,7345.0,7700.75,98668105.9
2018-01-19,7631.0,7900.0,7552.35,7849.95,102390238.5
2018-01-22,7715.0,7959.95,7700.0,7911.35,31140831.0
2018-01-23,7975.0,8368.05,7940.05,8284.55,178981003.6
2018-01-24,8100.0,8537.0,7801.0,7872.85,100417751.8
2018-01-25,8010.0,8010.0,7675.0,7763.7,49871932.2
2018-01-29,7800.0,7844.75,7560.0,7650.6,57528743.75
2018-01-30,7638.65,7638.65,7477.9,7501.45,35805690.15
2018-01-31,7499.75,7584.9,7257.0,7423.0,61793847.85
2018-02-01,7415.0,7495.8,7300.0,7342.75,11132302.35
2018-02-02,7220.5,7350.0,7030.0,7093.05,30783565.7
2018-02-05,6922.0,7350.0,6711.0,7298.05,95099780.95
2018-02-06,7195.0,7299.0,6901.05,7182.5,64907139.6
2018-02-07,7250.0,7299.0,7090.0,7251.25,44155085.2
2018-02-08,7145.05,7395.0,7125.0,7340.05,20138135.6
2018-02-09,7188.65,7243.9,6969.0,7039.7,91655353.55
2018-02-12,7100.0,7287.0,7099.95,7258.45,41651309.25
2018-02-14,7275.0,7350.0,7250.0,7334.8,52817554.25
2018-02-15,7410.0,7415.05,7211.0,7244.95,11918064.5
2018-02-16,7314.25,7397.95,7055.35,7086.7,18300435.05
2018-02-19,7150.0,7245.0,7025.0,7213.55,19491258.15
2018-02-20,7199.95,7340.0,7125.0,7301.5,26297343.45
2018-02-21,7349.0,7349.0,7131.0,7197.45,34002496.0
2018-02-22,7245.0,7245.0,7035.05,7049.0,16465849.75
2018-02-23,7075.0,7197.0,7041.05,7140.75,30592674.3
2018-02-26,7150.0,7691.0,7125.0,7547.4,89603182.3
2018-02-27,7654.95,8041.5,7502.0,7835.7,100204222.8
2018-02-28,7836.0,8250.0,7701.05,8092.05,261200478.1
2018-03-01,8092.05,8094.0,7860.0,7919.4,126256832.7
2018-03-05,7998.6,7999.0,7809.0,7834.15,13438148.55
2018-03-06,7956.0,8135.0,7837.35,7974.05,62266783.2
2018-03-07,7999.9,7999.9,7705.3,7761.8,19024753.35
2018-03-08,7798.35,7859.0,7605.05,7725.6,17817568.75
2018-03-09,7725.0,7810.0,7649.95,7715.05,9844945.5
2018-03-12,7700.05,7801.0,7565.5,7665.3,12673494.55
2018-03-13,7643.4,7750.0,7615.05,7659.55,6996951.2
2018-03-14,7674.35,7685.25,7537.35,7574.7,9555723.4
2018-03-15,7687.95,7687.95,7510.0,7570.3,19017412.55
2018-03-16,7551.05,7599.0,7210.0,7275.35,273447640.0
2018-03-19,7350.0,7550.0,7345.95,7470.75,30239521.1
2018-03-20,7460.0,7460.0,7312.7,7332.1,10319299.75
2018-03-21,7405.4,7524.95,7300.0,7389.35,13160712.95
2018-03-22,7499.0,7499.0,7307.0,7337.95,4540697.4
2018-03-23,7240.0,7570.0,7210.5,7490.5,17463277.5
2018-03-26,7565.0,7565.0,7301.1,7449.1,32983594.75
2018-03-27,7564.4,7677.6,7403.05,7650.0,29013115.65
2018-03-28,7554.9,8000.0,7505.65,7930.8,91167203.7
2018-04-02,7999.0,8000.0,7900.05,7950.45,10320967.4
2018-04-03,7994.0,8080.0,7833.5,8031.6,13003021.4
2018-04-04,8091.0,8137.55,7880.0,7938.7,13492363.05
2018-04-05,7969.7,8050.0,7928.0,7997.15,8311633.55
2018-04-06,8049.0,8050.0,7800.0,7921.6,19191232.45
2018-04-09,8038.0,8040.0,7901.0,7995.8,15261142.55
2018-04-10,8016.15,8016.15,7921.1,7984.8,4022323.85
2018-04-11,8001.0,8001.0,7800.0,7831.4,13873393.95
2018-04-12,7847.05,8062.95,7781.15,7931.9,25407855.35
2018-04-13,7900.0,8002.0,7900.0,7983.5,6470042.9
2018-04-16,7999.95,7999.95,7830.0,7849.3,15333868.55
2018-04-17,7912.0,8002.05,7892.85,7982.2,19764936.2
2018-04-18,8020.0,8020.0,7831.25,7902.15,8120568.8
2018-04-19,7812.65,8010.0,7812.65,7965.75,18248852.7
2018-04-20,7991.0,7991.0,7885.0,7924.8,52816621.95
2018-04-23,8065.0,8065.0,7894.0,7922.9,4016767.85
2018-04-24,7985.0,8018.85,7900.15,7955.65,176742988.9
2018-04-25,7970.0,8347.95,7940.0,7961.0,58586150.85
2018-04-26,8029.9,8129.0,7961.4,8097.2,26849976.05
2018-04-27,8116.65,8318.95,8049.95,8097.35,62846017.65
2018-04-30,8169.6,8229.3,8058.95,8102.9,7343382.5
2018-05-02,8070.0,8150.0,8001.0,8072.8,8524912.05
2018-05-03,8197.0,8200.0,7961.05,8015.45,33193270.9
2018-05-04,8015.5,8016.2,7805.5,7836.1,12302237.75
2018-05-07,7874.8,7979.9,7852.05,7891.5,6835214.7
2018-05-08,7830.5,8278.95,7830.5,8202.55,44110633.5
2018-05-09,8190.0,8190.0,7950.0,7972.75,13115880.3
2018-05-10,7999.9,8032.3,7840.0,7876.15,9194326.35
2018-05-11,7986.15,8129.0,7805.0,8082.2,28439248.4
2018-05-14,7975.05,8090.0,7900.0,7933.3,98673775.25
2018-05-15,7997.95,8001.0,7846.25,7918.6,31972823.65
2018-05-16,7896.5,7914.0,7780.0,7792.95,12947883.9
2018-05-17,7800.0,7965.0,7710.0,7727.65,12284680.95
2018-05-18,7662.0,7800.0,7600.0,7611.5,12880649.9
2018-05-21,7610.0,7698.95,7451.3,7477.7,10335490.75
2018-05-22,7506.0,7537.7,7235.05,7301.05,25782128.4
2018-05-23,7300.0,7422.0,7245.15,7271.35,12209742.5
2018-05-24,7320.0,7420.0,7261.0,7388.8,16434993.3
2018-05-25,7318.9,7439.95,7305.0,7347.9,16224040.2
2018-05-28,7347.0,7979.95,7347.0,7578.3,138253821.3
2018-05-29,7585.0,7648.95,7426.0,7455.0,32653091.9
2018-05-30,7455.05,7540.0,7400.0,7452.3,10573739.35
2018-05-31,7481.65,7515.0,7375.0,7461.55,35483432.95
2018-06-01,7514.0,7514.0,7200.0,7247.9,111720930.5
2018-06-04,7205.0,7299.55,7122.1,7153.1,94010743.0
2018-06-05,7140.0,7218.85,7135.1,7160.6,17743091.1
2018-06-06,7159.95,7159.95,6979.0,7103.8,14004798.5
2018-06-07,7104.0,7201.05,7060.15,7157.0,90178255.2
2018-06-08,7199.0,7259.0,7125.0,7246.2,36058126.4
2018-06-11,7319.0,7319.0,7149.95,7217.25,41524401.75
2018-06-12,7290.0,7400.0,7206.65,7362.4,37759100.85
2018-06-13,7399.0,7540.0,7325.55,7493.2,80499039.1
2018-06-14,7455.7,7569.0,7330.0,7373.55,17850527.15
2018-06-15,7373.55,7421.7,7300.0,7345.0,22239384.15
2018-06-18,7345.0,7345.0,7105.1,7151.8,40703474.35
2018-06-19,7161.0,7180.05,7036.0,7131.15,21670137.6
2018-06-20,7121.0,7224.0,7085.1,7116.2,12885958.9
2018-06-21,7198.85,7198.85,7031.05,7146.1,7771874.85
2018-06-22,7125.9,7160.85,7082.0,7150.35,7680850.0
2018-06-25,7167.7,7200.0,7035.55,7065.8,6702106.05
2018-06-26,7065.95,7065.95,6916.1,7000.75,21975814.05
2018-06-27,7000.75,7150.0,6911.05,7067.1,43174946.3
2018-06-28,7026.0,7190.0,6962.1,7045.65,23366556.55
2018-06-29,6955.0,7089.0,6955.0,7026.0,25368615.9
2018-07-02,7010.0,7089.85,6953.05,7016.5,13913710.7
2018-07-03,6931.5,7097.95,6920.0,6960.0,14633902.5
2018-07-04,6935.05,7100.0,6890.0,7039.9,21908663.2
