date,open,high,low,close,volume
2018-01-01,233.625,240.0,232.0875,237.4125,1060197301.0
2018-01-02,236.8875,243.0,235.8375,239.025,916098298.8
2018-01-03,240.3,240.3,231.5625,232.4625,692399659.1
2018-01-04,232.575,234.75,230.5875,233.7375,453599508.9
2018-01-05,234.75,235.425,230.775,232.1625,501751015.0
2018-01-08,232.5,234.675,231.825,233.3625,554775770.6
2018-01-09,234.45,240.0,229.8,237.9,1433025248.0
2018-01-10,237.3,245.8875,236.325,245.025,1229865735.0
2018-01-11,242.6625,244.5375,239.25,240.825,683181635.9
2018-01-12,240.75,242.8125,237.9,239.1,1010015589.0
2018-01-15,239.1375,243.1875,235.05,236.25,380923016.6
2018-01-16,237.675,250.5,237.0,248.9625,2022247791.0
2018-01-17,249.75,250.125,243.75,244.275,996129936.4
2018-01-18,245.25,246.1875,241.6125,244.0125,574570068.2
2018-01-19,245.25,247.5,240.375,246.7125,524520547.6
2018-01-22,237.75,246.7125,237.75,241.1625,1476009660.0
2018-01-23,241.575,242.2125,235.05,236.4375,1022142484.0
2018-01-24,237.375,242.55,234.15,235.4625,2086092062.0
2018-01-25,236.775,238.5,231.5625,233.9625,2594606858.0
2018-01-29,235.575,237.075,232.2,233.3625,1100002570.0
2018-01-30,232.1625,234.225,228.525,230.475,699610426.7
2018-01-31,229.575,231.7125,226.1625,228.525,858680117.2
2018-02-01,228.7875,231.825,225.0,225.5625,668991867.3
2018-02-02,224.475,226.8375,221.4,225.45,753891190.7
2018-02-05,223.5,229.1625,221.9625,224.0625,659657502.5
2018-02-06,218.775,222.1125,217.575,220.9875,713984596.1
2018-02-07,223.65,223.65,216.0,217.0125,726337192.2
2018-02-08,217.575,220.9875,215.2875,217.35,1542872348.0
2018-02-09,216.75,216.75,213.0,213.75,899616329.1
2018-02-12,215.925,218.2125,214.425,216.7125,728692736.0
2018-02-14,217.5,222.5625,217.1625,220.0875,889775627.5
2018-02-15,221.7,221.7,217.8375,219.375,484806839.5
2018-02-16,219.7125,221.925,217.5375,218.25,902788826.9
2018-02-19,219.75,219.75,216.6,217.4625,481532996.9
2018-02-20,217.5,219.9375,216.825,218.5875,1001693597.0
2018-02-21,220.5,221.1375,217.9125,219.15,1508484956.0
2018-02-22,219.675,220.6875,218.2875,219.4875,1409241132.0
2018-02-23,221.625,221.9625,219.225,221.25,1078868766.0
2018-02-26,221.1,221.775,217.8,218.7,1471734193.0
2018-02-27,219.3375,220.7625,218.3625,218.8125,1147393505.0
2018-02-28,219.75,220.35,216.75,219.6,1504253372.0
2018-03-01,219.6,220.575,218.4,219.375,1194112500.0
2018-03-05,220.2,220.3125,217.35,218.2125,1093301614.0
2018-03-06,218.4375,218.9625,214.6125,215.2125,1364054031.0
2018-03-07,216.3375,218.1375,213.225,214.0125,525347301.7
2018-03-08,214.8375,215.8125,212.3625,213.9,577599205.4
2018-03-09,213.75,215.925,213.075,213.7875,287560484.3
2018-03-12,214.725,219.0,214.575,218.025,506997844.5
2018-03-13,219.375,224.55,219.375,222.45,950070017.8
2018-03-14,221.25,222.45,219.75,220.3875,612283390.5
2018-03-15,221.5875,226.5,219.0,220.05,1468263037.0
2018-03-16,221.25,222.8625,218.2875,221.8125,1426256555.0
2018-03-19,220.1625,222.375,214.95,216.4875,433375880.7
2018-03-20,215.175,221.4,213.4875,220.2,885091512.1
2018-03-21,220.875,222.225,218.4,221.4375,924642624.1
2018-03-22,220.35,221.25,215.3625,216.3375,550327430.5
2018-03-23,213.0375,215.7,212.2875,213.4875,939215508.8
2018-03-26,213.45,214.2,204.2625,205.5,1930635130.0
2018-03-27,209.2125,210.6,204.9375,205.5375,1470871290.0
2018-03-28,205.5,212.625,204.75,210.8625,1450097186.0
2018-04-02,212.625,218.1,209.1,217.2375,697220061.4
2018-04-03,215.475,215.5125,212.2875,212.925,458101412.7
2018-04-04,213.75,214.875,210.0,211.2,462202361.6
2018-04-05,212.25,215.025,212.25,214.6875,301116462.0
2018-04-06,214.5,214.5,212.475,212.9625,192142151.3
2018-04-09,213.525,214.5375,212.4375,213.7875,318769559.3
2018-04-10,210.45,216.3,208.3125,214.5,1239164873.0
2018-04-11,216.0,216.9,212.8875,214.275,372874484.1
2018-04-12,214.725,217.875,213.825,215.1375,647123667.7
2018-04-13,217.125,221.2125,215.1375,220.6125,927655284.1
2018-04-16,216.75,220.5,215.5875,217.425,681734918.5
2018-04-17,216.075,216.6,212.475,213.5625,626288909.3
2018-04-18,216.15,220.35,214.875,219.4875,769408295.3
2018-04-19,219.75,220.35,217.2375,219.3375,279518393.2
2018-04-20,221.1,225.0,220.425,223.5375,999253676.9
2018-04-23,224.85,225.75,220.35,223.0125,1188976655.0
2018-04-24,220.8,221.7375,214.6125,215.2125,1024832554.0
2018-04-25,215.925,220.35,212.3625,215.3625,1863799548.0
2018-04-26,206.25,212.25,205.5,211.0125,2671373641.0
2018-04-27,207.3,209.475,205.7625,207.1125,676075949.2
2018-04-30,207.1125,211.7625,207.075,209.0625,592315829.9
2018-05-02,209.25,209.25,205.7625,206.6625,656846258.0
2018-05-03,206.25,206.8125,202.1625,203.5875,911305838.1
2018-05-04,204.375,204.4875,198.0375,202.425,830107146.5
2018-05-07,202.5,206.7375,200.4,206.0625,539766499.2
2018-05-08,206.4,206.9625,202.5,204.5625,533207733.0
2018-05-09,204.75,205.8,202.2,202.6875,526294500.4
2018-05-10,203.175,203.7,201.3,202.8375,487259361.0
2018-05-11,203.625,205.2,201.225,204.4875,413457839.2
2018-05-14,203.55,205.4625,202.5,204.2625,418524409.5
2018-05-15,204.6,205.3875,201.1125,203.25,458707278.4
2018-05-16,203.175,209.2125,202.5,206.025,867349611.7
2018-05-17,206.25,210.6,205.7625,208.7625,724258668.9
2018-05-18,207.375,207.375,201.0375,201.675,1307921036.0
2018-05-21,201.825,202.0875,198.075,198.6375,810472266.4
2018-05-22,198.0,200.2125,197.325,198.7125,393732182.2
2018-05-23,199.1625,199.275,196.95,197.5875,931525135.4
2018-05-24,198.075,199.5,196.4625,198.2625,621146965.0
2018-05-25,198.75,199.2375,197.7375,198.45,621997215.8
2018-05-28,196.9875,198.5625,196.9875,197.475,309524891.8
2018-05-29,196.2375,198.375,196.2375,197.25,471030413.9
2018-05-30,197.175,197.5875,193.9125,195.6375,762801638.6
2018-05-31,196.35,198.375,193.5,196.425,1348313048.0
2018-06-01,197.2125,198.375,194.2875,195.45,373949553.2
2018-06-04,196.0875,196.8375,193.5375,195.1125,412744896.9
2018-06-05,195.15,196.5,190.5,191.4375,635059648.9
2018-06-06,192.8625,195.375,190.125,194.4375,492336561.9
2018-06-07,193.5375,199.3875,193.5375,198.45,528166102.9
2018-06-08,198.45,198.75,196.875,198.0,497946882.4
2018-06-11,198.375,199.6875,197.4375,198.3,549807572.6
2018-06-12,200.0625,201.8625,199.1625,199.8375,607661378.1
2018-06-13,201.75,202.5,200.1375,201.6,413076830.4
2018-06-14,200.3625,201.825,198.4875,199.8,623002743.1
2018-06-15,201.5625,201.5625,198.75,200.175,1289959109.0
2018-06-18,201.75,201.75,197.925,199.3125,828157039.5
2018-06-19,199.4625,199.4625,195.075,195.75,961057752.3
2018-06-20,195.975,196.9125,193.7625,194.775,498674102.1
2018-06-21,195.75,195.975,192.825,193.9875,985974362.3
2018-06-22,194.0625,194.7,191.25,193.6875,671147346.3
2018-06-25,193.425,195.9375,192.0,193.125,422815580.9
2018-06-26,193.125,194.9625,192.1125,193.2,512692430.4
2018-06-27,194.325,194.925,190.65,192.0375,821640950.1
2018-06-28,192.3,194.2125,191.775,192.825,1004028405.0
2018-06-29,194.25,196.875,191.25,196.125,940649983.7
2018-07-02,195.525,196.6875,193.575,195.45,982125391.8
2018-07-03,196.0875,197.1,193.9125,196.425,1027870060.0
2018-07-04,196.5375,196.9125,193.575,196.4625,1001250234.0
2018-07-05,196.875,198.6,195.1125,198.075,1233069203.0
2018-07-06,197.25,198.3,196.125,197.1,747399950.0
2018-07-09,197.475,198.9375,196.6125,198.7125,577674054.3
2018-07-10,199.5,204.225,197.775,202.95,1335818199.0
2018-07-11,204.7125,206.1,202.05,204.075,1078577129.0
2018-07-12,204.3375,211.125,202.3875,209.5875,1227612352.0
2018-07-13,209.85,217.35,208.6875,210.6375,2200210866.0
2018-07-16,209.4375,215.25,209.1375,212.325,1334698000.0
2018-07-17,212.25,216.7125,211.3125,212.925,1549522150.0
2018-07-18,214.5,215.475,212.7375,213.6,655201269.3
2018-07-19,214.5,216.2625,211.2,214.35,792937274.4
2018-07-20,215.625,217.95,210.375,212.25,1495565927.0
2018-07-23,211.875,211.875,197.5125,207.3375,2420316483.0
2018-07-24,208.65,208.875,201.9,204.7125,945330608.7
2018-07-25,206.25,207.525,204.45,206.025,683539809.5
2018-07-26,205.05,206.325,202.2375,203.55,1179076869.0
2018-07-27,204.0,206.625,204.0,205.875,497013207.7
2018-07-30,205.35,205.5,202.125,204.8625,740785759.8
2018-07-31,205.125,207.9375,203.4,207.3,767240936.5
2018-08-01,207.0,208.875,205.275,208.0125,436820739.1
2018-08-02,207.75,210.6,205.95,209.325,837062386.8
2018-08-03,210.3375,210.3375,207.825,208.5,455549663.8
2018-08-06,209.25,209.775,206.4375,207.7875,471834760.6
2018-08-07,206.7,209.625,206.7,208.0875,478113360.8
2018-08-08,209.5875,209.5875,205.8,208.875,396070442.8
2018-08-09,208.575,210.2625,206.6625,209.025,666454695.4
2018-08-10,209.925,209.925,207.375,209.1375,375713604.6
2018-08-13,208.5,213.3375,208.125,211.3875,684083849.6
2018-08-14,213.75,215.25,210.75,213.7875,559934366.2
2018-08-16,213.75,213.75,208.5375,209.5875,632461034.7
2018-08-17,209.55,210.75,208.0875,210.0375,762946613.0
2018-08-20,210.6,214.8,210.0,213.7875,457435036.8
2018-08-21,213.6375,220.875,213.0,216.7125,1766358340.0
2018-08-23,217.5,219.825,216.3,217.3125,793617419.1
2018-08-24,216.525,221.1375,215.175,219.1125,1234714707.0
2018-08-27,219.0,222.975,218.2875,221.8875,751305086.5
2018-08-28,222.5625,223.5,220.575,221.7,448964305.0
2018-08-29,222.4125,223.1625,219.825,222.5625,474738187.6
2018-08-30,223.125,225.0,220.5,224.2125,1013268919.0
2018-08-31,225.0,229.875,224.625,225.9375,2058123847.0
2018-09-03,245.25,245.25,229.725,231.2625,8122395297.0
2018-09-04,232.8375,236.25,231.975,235.0125,2557226153.0
2018-09-05,235.9125,240.0,235.875,239.1375,3676364726.0
2018-09-06,240.0,241.875,238.5,240.9,3232939029.0
2018-09-07,241.425,246.1875,239.325,243.525,2801411846.0
2018-09-10,243.3,246.0,242.4,243.75,2073126742.0
2018-09-11,245.2125,246.0,242.3625,242.9625,1548659298.0
2018-09-12,243.7875,247.875,243.7875,246.5625,2055552123.0
2018-09-14,246.5625,249.75,243.15,247.65,1402048804.0
2018-09-17,249.1875,252.0,246.075,247.425,1542340500.0
2018-09-18,247.05,250.1625,243.75,249.4125,897703696.6
2018-09-19,250.05,250.1625,245.2875,249.525,968267974.6
2018-09-21,248.925,253.425,246.0,251.4,2216838875.0
2018-09-24,247.6875,253.5,247.6875,249.525,1252933895.0
2018-09-25,249.75,251.175,244.6875,246.225,1122038229.0
2018-09-26,246.15,246.7125,237.3,239.4375,2527052972.0
2018-09-27,241.425,242.7375,237.525,239.2125,5750155709.0
2018-09-28,239.25,244.9875,236.55,243.0,2236401171.0
2018-10-01,243.0,249.3375,242.25,247.6125,1343135250.0
2018-10-03,247.0125,247.5,241.875,245.625,1169276344.0
2018-10-04,243.825,247.8,241.2,244.2375,1507691223.0
2018-10-05,243.6,245.9625,240.9,243.975,1089877051.0
2018-10-08,241.05,242.55,234.525,238.125,1125606742.0
2018-10-09,237.75,242.1,233.775,241.2375,1189496399.0
2018-10-10,240.3,240.5625,232.6125,236.9625,1151613463.0
2018-10-11,231.0,236.5875,228.6375,234.7875,833144801.0
2018-10-12,237.1125,239.9625,232.125,237.225,1054478562.0
2018-10-15,238.0125,241.5375,235.6125,239.9625,999064456.2
2018-10-16,240.0,240.525,237.075,239.2875,994619194.3
2018-10-17,242.025,246.825,237.375,242.3625,1538426079.0
2018-10-19,242.5125,244.575,238.125,242.3625,851973321.7
2018-10-22,243.45,245.4375,240.0,241.65,586958086.8
2018-10-23,239.175,240.1875,228.825,231.825,1181881925.0
2018-10-24,231.9,233.7375,225.0,231.6,1428532959.0
2018-10-25,222.0,242.3625,222.0,238.9125,4466732691.0
2018-10-26,239.1,241.875,237.0,240.45,1410696296.0
2018-10-29,239.25,249.15,237.4875,247.125,802780342.1
2018-10-30,246.75,250.9875,244.2375,245.625,1222162582.0
2018-10-31,246.15,250.3125,241.575,248.4,988169901.9
