date,open,high,low,close,volume
2018-01-01,932.0,945.5,921.0,924.6,1308761130.0
2018-01-02,931.8,936.3,897.0,903.3,1478370772.0
2018-01-03,908.7,940.0,903.5,933.75,1621551746.0
2018-01-04,940.0,941.65,921.5,926.7,1180580892.0
2018-01-05,928.0,943.2,928.0,937.0,1166915967.0
2018-01-08,930.0,1012.0,930.0,992.85,5375530021.0
2018-01-09,988.1,988.1,956.0,960.95,1865579977.0
2018-01-10,961.0,987.7,956.65,963.95,1693916471.0
2018-01-11,968.0,979.0,950.0,955.5,1173182334.0
2018-01-12,963.9,970.9,940.0,949.05,1047197743.0
2018-01-15,957.6,957.6,933.5,938.85,856549246.0
2018-01-16,940.0,944.05,896.0,903.85,985676709.6
2018-01-17,900.0,940.0,850.8,931.55,2469021191.0
2018-01-18,944.7,978.75,897.55,913.25,3344594480.0
2018-01-19,910.0,929.4,886.2,904.45,1837879389.0
2018-01-22,908.05,921.9,893.2,917.1,1118502085.0
2018-01-23,921.65,955.0,913.3,937.2,1689518821.0
2018-01-24,929.0,952.45,915.6,924.95,1817622857.0
2018-01-25,925.9,937.65,908.0,911.0,1004045216.0
2018-01-29,919.65,929.0,900.0,909.1,1364416413.0
2018-01-30,898.5,898.8,818.2,825.2,3922791938.0
2018-01-31,811.0,828.0,798.0,804.85,2700693259.0
2018-02-01,814.5,814.5,770.05,780.3,1720695199.0
2018-02-02,771.5,791.45,727.5,734.35,2808590786.0
2018-02-05,708.0,762.3,708.0,745.2,1815472713.0
2018-02-06,700.0,748.05,693.0,736.05,1957568813.0
2018-02-07,760.0,781.9,750.0,768.8,1586697163.0
2018-02-08,768.7,795.95,762.3,791.55,1347734334.0
2018-02-09,770.35,814.45,768.2,808.25,1593510945.0
2018-02-12,813.5,832.5,810.0,814.7,1459644570.0
2018-02-14,819.7,840.5,815.0,824.85,1416226441.0
2018-02-15,831.05,837.55,782.55,790.2,1378637815.0
2018-02-16,796.0,807.75,786.3,790.15,1003610092.0
2018-02-19,793.8,798.25,763.25,775.2,932806456.9
2018-02-20,774.0,780.8,750.0,762.1,1091110661.0
2018-02-21,769.0,774.2,747.0,758.2,838962553.6
2018-02-22,757.75,771.3,749.65,762.2,1097365855.0
2018-02-23,767.15,794.4,767.15,785.3,1504677376.0
2018-02-26,789.25,795.95,783.05,786.2,627517943.4
2018-02-27,790.0,811.45,787.0,797.5,1337672653.0
2018-02-28,794.5,827.4,785.15,820.1,1964396351.0
2018-03-01,822.0,833.8,810.1,815.3,1243403075.0
2018-03-05,813.5,829.0,800.5,803.9,1178696852.0
2018-03-06,811.15,821.9,758.05,778.8,864879708.0
2018-03-07,773.4,784.0,756.0,764.75,996614063.3
2018-03-08,774.0,780.0,752.5,762.7,812767723.5
2018-03-09,768.65,773.95,744.0,749.05,939579131.8
2018-03-12,762.7,774.65,732.1,766.6,997060973.4
2018-03-13,766.0,781.35,762.35,773.35,853440727.8
2018-03-14,769.9,797.95,764.8,793.7,1254589833.0
2018-03-15,795.0,812.0,768.05,777.65,1576061324.0
2018-03-16,775.0,789.5,754.3,759.8,1188072659.0
2018-03-19,764.7,768.65,746.25,750.4,679873672.3
2018-03-20,746.0,760.9,737.5,748.8,901475063.1
2018-03-21,752.65,764.6,738.0,741.85,655111769.8
2018-03-22,747.4,749.3,723.2,731.05,807589916.4
2018-03-23,720.0,724.0,705.0,709.8,608273989.1
2018-03-26,711.5,721.8,704.0,716.8,574158188.5
2018-03-27,728.0,744.65,725.8,733.2,1005154449.0
2018-03-28,732.0,741.0,723.0,726.5,660285593.4
2018-04-02,731.95,753.0,723.45,749.45,807538577.1
2018-04-03,747.45,780.0,742.05,778.35,1221499582.0
2018-04-04,775.0,783.9,749.55,755.8,847250272.0
2018-04-05,764.1,775.75,758.0,766.15,585092525.0
2018-04-06,770.0,782.8,765.2,772.1,944604236.3
2018-04-09,778.0,782.4,765.1,769.9,597572601.1
2018-04-10,777.6,781.45,767.0,769.35,483770884.5
2018-04-11,770.0,778.7,754.05,762.2,483901349.5
2018-04-12,762.0,766.0,747.45,754.55,550950225.8
2018-04-13,758.5,760.9,738.0,741.4,944343550.9
2018-04-16,738.8,761.0,733.3,757.15,743462938.0
2018-04-17,757.95,764.4,748.8,754.15,439148742.5
2018-04-18,757.9,759.45,738.8,741.45,404872749.3
2018-04-19,743.0,766.25,737.05,762.95,606214336.4
2018-04-20,762.0,801.0,752.5,797.25,1742759165.0
2018-04-23,796.05,819.7,787.35,792.25,1864068259.0
2018-04-24,793.4,835.9,785.6,803.95,3681179612.0
2018-04-25,799.0,808.0,772.0,779.7,1424641397.0
2018-04-26,783.6,804.8,766.6,794.75,1117787303.0
2018-04-27,799.0,821.9,795.6,817.8,1489990274.0
2018-04-30,823.8,852.65,823.2,833.55,1761139092.0
2018-05-02,836.4,844.75,802.0,810.85,1055916113.0
2018-05-03,813.0,823.0,790.1,816.55,1268931631.0
2018-05-04,814.0,814.0,794.05,802.7,1017283913.0
2018-05-07,785.0,789.0,715.1,740.8,4708095603.0
2018-05-08,741.85,754.95,730.3,737.3,1497994128.0
2018-05-09,737.0,747.0,725.0,727.5,987739625.0
2018-05-10,731.0,736.0,714.9,720.0,753913341.7
2018-05-11,721.15,726.75,708.25,715.25,555854333.1
2018-05-14,716.5,736.85,701.6,717.25,1579569245.0
2018-05-15,720.0,729.8,703.0,708.4,778729354.5
2018-05-16,703.0,711.3,695.2,701.9,694299220.0
2018-05-17,703.2,716.5,703.2,710.6,646404950.8
2018-05-18,710.7,715.45,655.65,662.7,1083321737.0
2018-05-21,657.0,664.45,631.95,635.75,899363343.7
2018-05-22,637.4,661.35,632.1,657.8,1065740359.0
2018-05-23,658.0,668.15,635.9,640.45,879119880.1
2018-05-24,647.6,667.0,642.1,662.3,1016843790.0
2018-05-25,663.2,684.9,654.2,681.5,970441876.8
2018-05-28,687.9,707.6,685.2,694.15,703967636.4
2018-05-29,691.0,695.35,676.15,683.85,707894700.5
2018-05-30,675.0,690.0,672.7,684.85,465576491.5
2018-05-31,685.0,691.2,669.1,683.5,636864331.1
2018-06-01,687.7,691.2,665.1,668.5,484124939.9
2018-06-04,672.95,677.9,647.25,653.15,591132530.0
2018-06-05,653.3,658.8,626.6,639.65,570549451.6
2018-06-06,640.8,656.0,632.8,649.6,493198319.8
2018-06-07,651.0,667.0,651.0,659.1,442953526.4
2018-06-08,656.7,704.55,653.0,689.3,1800953719.0
2018-06-11,692.0,707.6,682.55,688.45,1306393611.0
2018-06-12,690.0,713.9,690.0,703.0,1447738386.0
2018-06-13,711.8,725.65,702.0,704.8,1568693637.0
2018-06-14,709.75,732.9,699.3,729.15,1738417639.0
2018-06-15,732.2,749.0,728.25,731.9,2087474239.0
2018-06-18,727.0,737.1,708.9,720.55,968514647.2
2018-06-19,715.9,731.0,701.1,703.9,1108300696.0
2018-06-20,708.85,715.8,695.75,704.4,858547540.6
2018-06-21,710.0,710.0,677.7,680.4,772933626.8
2018-06-22,675.05,680.0,667.0,677.6,957748601.4
2018-06-25,676.35,694.85,661.1,667.4,1075047099.0
2018-06-26,664.8,665.95,648.25,654.35,1098727675.0
2018-06-27,655.0,663.0,637.0,644.0,943202656.9
2018-06-28,639.7,645.9,616.1,625.5,1037618232.0
2018-06-29,635.1,644.65,628.1,641.0,559715720.1
2018-07-02,643.9,644.25,616.3,631.05,641181727.7
2018-07-03,632.15,651.35,624.7,643.25,1014253415.0
2018-07-04,641.25,659.0,637.0,649.45,966449603.7
2018-07-05,652.4,657.85,627.6,631.8,798752344.0
2018-07-06,634.0,642.25,625.05,632.4,640475449.1
2018-07-09,637.85,648.8,632.8,638.4,692256027.1
