date,open,high,low,close,volume
2018-01-01,581.95,587.5,574.7,579.2,640413199.8
2018-01-02,581.0,584.0,576.1,578.15,445891046.5
2018-01-03,580.0,581.95,577.5,579.75,700087766.8
2018-01-04,580.0,581.0,574.75,580.0,843592552.4
2018-01-05,580.6,590.05,578.5,586.85,917376486.8
2018-01-08,588.9,599.05,587.65,593.9,1555673392.0
2018-01-09,593.1,593.6,578.8,580.05,2293557116.0
2018-01-10,582.0,586.5,579.0,580.5,2296453982.0
2018-01-11,581.9,583.25,577.4,580.0,1934049804.0
2018-01-12,584.0,598.45,579.65,591.0,5422028796.0
2018-01-15,595.95,610.7,595.75,606.15,1782474771.0
2018-01-16,610.4,618.3,607.5,613.4,2945591302.0
2018-01-17,615.95,616.45,584.8,593.1,5155024247.0
2018-01-18,604.0,604.35,588.75,595.85,2522674696.0
2018-01-19,590.0,602.9,585.0,600.35,1100694955.0
2018-01-22,599.8,616.7,598.0,608.85,1648069423.0
2018-01-23,605.4,608.0,591.55,597.15,1466043941.0
2018-01-24,596.9,611.25,590.0,603.2,2125351564.0
2018-01-25,603.0,606.6,592.6,595.85,1067346633.0
2018-01-29,599.0,619.0,599.0,608.9,2682696689.0
2018-01-30,610.45,610.45,597.1,603.0,978659858.9
2018-01-31,600.0,607.2,589.45,593.7,1101530609.0
2018-02-01,599.5,600.45,585.5,594.95,1074186896.0
2018-02-02,588.0,594.55,577.3,586.1,847989774.4
2018-02-05,576.0,586.1,573.6,582.7,713346294.4
2018-02-06,565.0,576.85,558.05,571.75,737196589.8
2018-02-07,582.9,585.95,573.25,581.15,992703203.8
2018-02-08,581.8,592.3,581.15,584.8,700415714.4
2018-02-09,579.4,584.9,575.55,580.95,503832181.0
2018-02-12,585.0,589.8,579.0,584.5,529605925.8
2018-02-14,585.0,586.65,572.1,576.6,390190986.6
2018-02-15,576.9,580.6,565.1,570.9,925137989.9
2018-02-16,580.0,581.5,565.55,569.6,1088612385.0
2018-02-19,569.9,571.4,553.4,567.95,959231724.5
2018-02-20,570.0,573.6,561.4,570.75,614111906.2
2018-02-21,572.0,577.75,570.0,573.1,688520636.0
2018-02-22,570.0,572.1,565.0,567.05,1077084422.0
2018-02-23,570.0,574.0,566.6,569.95,599951124.5
2018-02-26,571.5,587.3,569.0,585.45,602385465.5
2018-02-27,585.45,589.0,575.0,576.5,659499535.6
2018-02-28,572.0,573.9,564.2,565.35,703941729.0
2018-03-01,563.95,568.9,551.6,555.4,937153940.7
2018-03-05,554.9,557.6,546.95,551.85,700857367.4
2018-03-06,554.5,569.5,553.7,559.5,1607457343.0
2018-03-07,562.4,568.7,556.0,565.1,1193567668.0
2018-03-08,565.9,570.0,560.25,563.5,729953249.1
2018-03-09,566.0,572.5,564.9,568.5,633159464.0
2018-03-12,575.0,578.0,565.1,576.25,511339325.0
2018-03-13,572.0,580.35,570.25,579.15,736464889.7
2018-03-14,574.55,581.85,570.9,576.6,485602618.4
2018-03-15,577.05,578.6,568.6,570.4,542722054.2
2018-03-16,570.4,580.95,569.1,570.35,1466147991.0
2018-03-19,574.0,574.0,563.7,566.45,851570164.4
2018-03-20,567.45,577.05,562.0,575.1,757349620.2
2018-03-21,579.8,579.8,564.75,566.85,702781328.1
2018-03-22,569.65,576.95,553.8,559.2,1538399470.0
2018-03-23,555.5,572.35,551.4,569.4,1202069651.0
2018-03-26,569.95,590.0,567.3,585.85,803280516.0
2018-03-27,588.25,597.0,583.6,586.5,1096189166.0
2018-03-28,584.5,588.8,573.0,575.5,1207214560.0
2018-04-02,577.3,581.6,573.35,578.95,705832929.0
2018-04-03,581.0,586.5,569.2,581.55,904181574.8
2018-04-04,585.95,586.9,573.0,574.45,602062972.4
2018-04-05,577.1,588.9,577.1,586.1,289963046.0
2018-04-06,586.1,588.65,581.6,584.5,411979420.2
2018-04-09,585.0,589.9,570.35,571.8,940364302.9
2018-04-10,578.9,578.9,569.25,573.75,564625790.0
2018-04-11,575.0,577.8,569.95,575.2,1399298571.0
2018-04-12,575.45,581.0,570.25,571.25,584187578.7
2018-04-13,573.45,577.9,571.95,575.95,662787433.4
2018-04-16,573.9,581.55,573.65,578.1,581432564.8
2018-04-17,580.0,580.05,573.7,575.45,546663265.3
2018-04-18,577.0,594.95,575.3,588.25,1232390237.0
2018-04-19,593.0,598.7,590.05,592.9,939780114.3
