"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"27-Jul-2018","     9537.00","     9583.15","     9526.55","     9579.05","     1325794458","        30687.63"
"30-Jul-2018","     9598.50","     9624.90","     9566.35","     9618.70","     1334687857","        30451.88"
"31-Jul-2018","     9615.10","     9657.60","     9582.70","     9650.60","     1449450833","        32459.43"
"01-Aug-2018","     9661.70","     9683.60","     9620.95","     9651.70","     1409791715","        31491.57"
"02-Aug-2018","     9642.10","     9642.10","     9579.70","     9588.80","     1197535946","        28064.67"
"03-Aug-2018","     9631.40","     9690.55","     9630.45","     9685.70","     1337083279","        29111.51"
"06-Aug-2018","     9723.05","     9743.65","     9698.00","     9709.35","     1215418308","        25918.71"
"07-Aug-2018","     9740.65","     9744.25","     9675.75","     9704.80","     1395132327","        29074.74"
"08-Aug-2018","     9723.80","     9754.30","     9696.70","     9744.75","     1308872030","        28052.37"
"09-Aug-2018","     9779.35","     9784.05","     9752.95","     9769.10","     1797016355","        31690.09"
"10-Aug-2018","     9776.70","     9777.85","     9715.30","     9724.45","     1448202501","        31043.39"
"13-Aug-2018","     9673.00","     9704.90","     9641.15","     9656.50","     1289194074","        27040.93"
"14-Aug-2018","     9678.70","     9730.65","     9672.15","     9726.15","     1152985809","        28710.71"
"16-Aug-2018","     9696.90","     9742.50","     9666.50","     9685.65","     1363367193","        31562.03"
"17-Aug-2018","     9730.85","     9776.30","     9728.20","     9770.20","     1292601586","        27599.23"
"20-Aug-2018","     9800.80","     9846.55","     9798.90","     9839.75","     1230533685","        29071.98"
"21-Aug-2018","     9862.90","     9868.50","     9831.05","     9862.50","     1270781564","        29044.75"
"23-Aug-2018","     9900.05","     9900.05","     9839.00","     9872.55","     1083251991","        33564.80"
"24-Aug-2018","     9860.90","     9889.95","     9821.45","     9850.80","     1247916994","        30564.91"
"27-Aug-2018","     9893.45","     9966.90","     9887.50","     9958.80","     1129321339","        27094.65"
"28-Aug-2018","     9990.25","    10012.85","     9963.35","     9985.90","     1230223071","        29455.31"
"29-Aug-2018","     9995.10","    10015.35","     9964.35","     9973.65","     1381557301","        32126.35"
"30-Aug-2018","     9979.35","     9986.35","     9947.00","     9975.20","     1588292353","        37760.86"
"31-Aug-2018","     9978.25","    10027.00","     9951.55","     9992.00","     1516606270","        39877.66"
"03-Sep-2018","    10049.85","    10049.85","     9908.70","     9921.65","     1313564307","        32649.01"
"04-Sep-2018","     9933.00","     9937.75","     9784.25","     9806.05","     1317238961","        32833.40"
"05-Sep-2018","     9795.70","     9817.85","     9678.20","     9764.55","     1454461370","        33320.66"
"06-Sep-2018","     9801.95","     9832.40","     9730.85","     9815.45","     1142128524","        31576.54"
"07-Sep-2018","     9834.55","     9885.60","     9779.35","     9875.20","     1157981164","        33610.23"
"10-Sep-2018","     9862.80","     9870.70","     9730.20","     9740.10","     1113546500","        30874.83"
"11-Sep-2018","     9770.90","     9775.05","     9596.50","     9607.10","     1196887546","        33308.22"
"12-Sep-2018","     9641.65","     9669.20","     9552.20","     9660.60","     1349558257","        30938.53"
"14-Sep-2018","     9724.20","     9799.15","     9722.75","     9792.75","     1167247807","        31236.17"
"17-Sep-2018","     9754.60","     9754.60","     9687.30","     9696.45","     1237275914","        26246.81"
"18-Sep-2018","     9701.30","     9728.15","     9586.00","     9594.25","     1479396884","        29717.76"
"19-Sep-2018","     9633.90","     9640.30","     9516.25","     9545.70","     1265966675","        29737.64"
"21-Sep-2018","     9585.10","     9630.70","     9134.55","     9425.55","     2503150510","        62365.21"
"24-Sep-2018","     9445.20","     9449.75","     9223.25","     9243.15","     1566193763","        40152.09"
"25-Sep-2018","     9238.30","     9317.10","     9149.00","     9303.35","     1798999066","        43387.33"
"26-Sep-2018","     9367.60","     9367.60","     9255.35","     9302.25","     1506735898","        33527.52"
"27-Sep-2018","     9319.80","     9324.50","     9188.60","     9202.35","     1572873469","        40125.53"
"28-Sep-2018","     9230.10","     9249.35","     9041.65","     9116.00","     1859223742","        42339.63"
"01-Oct-2018","     9107.00","     9185.50","     8986.40","     9165.50","     1602111133","        36796.24"
"03-Oct-2018","     9147.25","     9157.20","     9042.05","     9056.70","     1533585279","        37398.40"
"04-Oct-2018","     8963.70","     8963.70","     8812.00","     8854.85","     1494203982","        38384.61"
"05-Oct-2018","     8793.20","     8815.80","     8582.15","     8624.95","     1568350597","        38336.00"
"08-Oct-2018","     8611.35","     8671.30","     8483.15","     8602.60","     1543006162","        37131.20"
"09-Oct-2018","     8635.85","     8645.80","     8519.30","     8562.95","     1371016463","        32361.92"
"10-Oct-2018","     8590.45","     8762.25","     8588.35","     8748.50","     1466989682","        35802.85"
"11-Oct-2018","     8501.40","     8657.00","     8473.55","     8565.60","     1477783161","        36871.66"
"12-Oct-2018","     8649.30","     8783.90","     8643.35","     8767.10","     1350685913","        32585.82"
"15-Oct-2018","     8815.15","     8821.65","     8732.30","     8812.00","     1107984956","        25799.61"
"16-Oct-2018","     8849.25","     8902.65","     8835.40","     8893.80","     1239760702","        28796.93"
"17-Oct-2018","     8982.55","     8999.65","     8746.75","     8758.60","     1284351998","        31677.64"
"19-Oct-2018","     8676.50","     8716.55","     8595.45","     8640.65","     1356601716","        35949.83"
"22-Oct-2018","     8717.25","     8719.50","     8560.55","     8576.95","     1122187874","        29574.48"
"23-Oct-2018","     8502.60","     8559.10","     8447.45","     8489.90","     1126714169","        30924.03"
"24-Oct-2018","     8585.90","     8600.00","     8474.55","     8555.65","     1110641649","        32123.78"
"25-Oct-2018","     8476.10","     8500.85","     8432.50","     8473.50","     1608719764","        39089.30"
"26-Oct-2018","     8473.20","     8493.85","     8370.80","     8417.25","     1360378373","        30455.08"
"29-Oct-2018","     8457.50","     8623.45","     8409.60","     8610.10","     1412127636","        32257.83"
"30-Oct-2018","     8607.40","     8652.75","     8575.05","     8600.30","     1439038614","        30762.87"
"31-Oct-2018","     8617.40","     8760.35","     8536.00","     8753.45","     1388548076","        38274.86"
"01-Nov-2018","     8798.30","     8800.85","     8742.50","     8772.50","     1460052296","        35253.11"
"02-Nov-2018","     8844.10","     8953.60","     8840.20","     8899.40","     1720674278","        39766.06"
"05-Nov-2018","     8904.25","     8913.00","     8839.80","     8877.90","     1245599988","        28154.33"
"06-Nov-2018","     8902.75","     8934.90","     8839.65","     8870.30","     1049917135","        26249.73"
"07-Nov-2018","     8938.70","     8940.70","     8918.05","     8933.50","      208239813","         3589.71"
"09-Nov-2018","     8947.60","     8966.50","     8898.00","     8946.35","     1214489528","        28364.89"
"12-Nov-2018","     8967.80","     8991.15","     8846.40","     8859.25","     1086382258","        25989.95"
"13-Nov-2018","     8834.55","     8932.95","     8814.60","     8923.55","     1095636143","        25818.48"
"14-Nov-2018","     8967.25","     8980.25","     8887.95","     8921.45","     1352520122","        34332.39"
"15-Nov-2018","     8926.55","     8971.10","     8894.95","     8954.65","     1121957770","        28705.34"
"16-Nov-2018","     8975.55","     9011.15","     8951.50","     8993.25","     1339946376","        33284.11"
"19-Nov-2018","     9031.80","     9060.35","     8996.35","     9052.75","     1172819142","        26024.75"
"20-Nov-2018","     9033.20","     9039.70","     8948.75","     8960.15","     1144610307","        25638.64"
"21-Nov-2018","     8973.90","     8982.90","     8896.10","     8940.30","     1096698138","        27370.45"
