,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,Bharat Forge,Manufacturing,"128,000.00",14.65,4.82,,birla-sl-emer-leaders-sr-1-dp,MBS1821
1,Dewan Housing,Banking & Financial Services,"300,000.00",12.8,4.21,,birla-sl-emer-leaders-sr-1-dp,MBS1821
2,Grasim,Conglomerates,"100,000.00",11.55,3.8,,birla-sl-emer-leaders-sr-1-dp,MBS1821
3,Bank of Baroda,Banking & Financial Services,"500,000.00",9.38,3.08,,birla-sl-emer-leaders-sr-1-dp,MBS1821
4,Natco Pharma,Pharmaceuticals,"100,000.00",9.24,3.04,,birla-sl-emer-leaders-sr-1-dp,MBS1821
5,City Union Bank,Banking & Financial Services,"550,000.00",9.06,2.98,,birla-sl-emer-leaders-sr-1-dp,MBS1821
6,Guj State Petro,Oil & Gas,"499,000.00",9.03,2.97,,birla-sl-emer-leaders-sr-1-dp,MBS1821
7,SBI,Banking & Financial Services,"300,000.00",8.69,2.86,,birla-sl-emer-leaders-sr-1-dp,MBS1821
8,Tata Motors (D),Automotive,"300,000.00",8.4,2.76,,birla-sl-emer-leaders-sr-1-dp,MBS1821
9,Heidelberg Cem,Cement & Construction,"600,000.00",8.26,2.72,,birla-sl-emer-leaders-sr-1-dp,MBS1821
10,Exide Ind,Automotive,"350,000.00",8.04,2.65,,birla-sl-emer-leaders-sr-1-dp,MBS1821
11,Johnson Control,Consumer Durables,"43,500.00",7.81,2.57,,birla-sl-emer-leaders-sr-1-dp,MBS1821
12,HDFC Bank,Banking & Financial Services,"50,000.00",7.73,2.54,,birla-sl-emer-leaders-sr-1-dp,MBS1821
13,CG Consumer,Manufacturing,"350,000.00",7.7,2.53,,birla-sl-emer-leaders-sr-1-dp,MBS1821
14,Federal Bank,Banking & Financial Services,"700,000.00",7.53,2.48,,birla-sl-emer-leaders-sr-1-dp,MBS1821
15,IOC,Oil & Gas,"165,000.00",7.26,2.39,,birla-sl-emer-leaders-sr-1-dp,MBS1821
16,CG Power ,Engineering & Capital Goods,"912,000.00",7.17,2.36,,birla-sl-emer-leaders-sr-1-dp,MBS1821
17,HPCL,Oil & Gas,"130,000.00",6.97,2.29,,birla-sl-emer-leaders-sr-1-dp,MBS1821
18,MCX India,Miscellaneous,"55,000.00",6.69,2.2,,birla-sl-emer-leaders-sr-1-dp,MBS1821
19,Rel Capital,Banking & Financial Services,"100,000.00",6.65,2.19,,birla-sl-emer-leaders-sr-1-dp,MBS1821
20,IRB Infra,Engineering & Capital Goods,"250,000.00",6.52,2.14,,birla-sl-emer-leaders-sr-1-dp,MBS1821
21,KEC Intl,Engineering & Capital Goods,"290,000.00",6.36,2.09,,birla-sl-emer-leaders-sr-1-dp,MBS1821
22,Divis Labs,Pharmaceuticals,"100,000.00",6.28,2.07,,birla-sl-emer-leaders-sr-1-dp,MBS1821
23,Orient Cement,Cement & Construction,"350,000.00",5.96,1.96,,birla-sl-emer-leaders-sr-1-dp,MBS1821
24,IDFC,Banking & Financial Services,"900,000.00",5.55,1.83,,birla-sl-emer-leaders-sr-1-dp,MBS1821
25,Cyient,Information Technology,"100,000.00",5.48,1.8,,birla-sl-emer-leaders-sr-1-dp,MBS1821
26,Britannia,Food & Beverages,"15,000.00",5.44,1.79,,birla-sl-emer-leaders-sr-1-dp,MBS1821
27,Sanghi Ind,Cement & Construction,"697,585.00",5.19,1.71,,birla-sl-emer-leaders-sr-1-dp,MBS1821
28,Torrent Pharma,Pharmaceuticals,"36,489.00",5.18,1.7,,birla-sl-emer-leaders-sr-1-dp,MBS1821
29,ICRA,Miscellaneous,"12,000.00",5.04,1.66,,birla-sl-emer-leaders-sr-1-dp,MBS1821
30,Aurobindo Pharm,Pharmaceuticals,"75,000.00",4.55,1.5,,birla-sl-emer-leaders-sr-1-dp,MBS1821
31,Firstsource Sol,Information Technology,"1,000,000.00",4.33,1.42,,birla-sl-emer-leaders-sr-1-dp,MBS1821
32,J Kumar Infra,Cement & Construction,"150,000.00",4.27,1.41,,birla-sl-emer-leaders-sr-1-dp,MBS1821
33,Narayana Hruda,Services,"130,000.00",4.19,1.38,,birla-sl-emer-leaders-sr-1-dp,MBS1821
34,Voltas,Conglomerates,"100,000.00",4.11,1.35,,birla-sl-emer-leaders-sr-1-dp,MBS1821
35,Astra Microwave,Telecommunication,"318,300.00",4.06,1.34,,birla-sl-emer-leaders-sr-1-dp,MBS1821
36,Jyothy Labs,Consumer Non-durables,"100,000.00",4.01,1.32,,birla-sl-emer-leaders-sr-1-dp,MBS1821
37,HPL Electric & ,Engineering & Capital Goods,"297,010.00",3.9,1.28,,birla-sl-emer-leaders-sr-1-dp,MBS1821
38,Hinduja Global,Information Technology,"62,125.00",3.44,1.13,,birla-sl-emer-leaders-sr-1-dp,MBS1821
39,Tata Power,Utilities,"250,000.00",2.11,0.69,,birla-sl-emer-leaders-sr-1-dp,MBS1821
