,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,APL Apollo,Metals & Mining,"1,229,891.00",190.55,3.52,,idfc-premier-equity-regular,MAG094
1,Va Tech Wabag,Engineering & Capital Goods,"2,757,537.00",189.47,3.5,,idfc-premier-equity-regular,MAG094
2,JM Financial,Banking & Financial Services,"15,935,468.00",186.76,3.45,,idfc-premier-equity-regular,MAG094
3,Container Corp,Services,"1,545,077.00",177.02,3.27,,idfc-premier-equity-regular,MAG094
4,Voltas,Conglomerates,"3,842,673.00",175.94,3.25,,idfc-premier-equity-regular,MAG094
5,Guj State Petro,Oil & Gas,"9,809,178.00",173.23,3.2,,idfc-premier-equity-regular,MAG094
6,Maruti Suzuki,Automotive,"238,501.00",172.15,3.18,,idfc-premier-equity-regular,MAG094
7,HDFC Bank,Banking & Financial Services,"1,005,856.00",166.19,3.07,,idfc-premier-equity-regular,MAG094
8,Greaves Cotton,Engineering & Capital Goods,"10,176,266.00",165.11,3.05,,idfc-premier-equity-regular,MAG094
9,Asian Paints,Chemicals,"1,461,038.00",161.32,2.98,,idfc-premier-equity-regular,MAG094
10,ICICI Prudentia,Banking & Financial Services,"3,320,917.00",156.45,2.89,,idfc-premier-equity-regular,MAG094
11,Schaeffler Ind,Engineering & Capital Goods,"344,450.00",153.74,2.84,,idfc-premier-equity-regular,MAG094
12,Blue Dart,Services,"306,671.00",144.54,2.67,,idfc-premier-equity-regular,MAG094
13,Page Industries,Manufacturing,"82,118.00",136.96,2.53,,idfc-premier-equity-regular,MAG094
14,Tata Chemicals,Chemicals,"2,137,296.00",129.38,2.39,,idfc-premier-equity-regular,MAG094
15,Balrampur Chini,Food & Beverages,"8,538,096.00",128.84,2.38,,idfc-premier-equity-regular,MAG094
16,3M India,Conglomerates,"96,309.00",127.22,2.35,,idfc-premier-equity-regular,MAG094
17,Ambuja Cements,Cement & Construction,"5,152,512.00",126.67,2.34,,idfc-premier-equity-regular,MAG094
18,Kotak Mahindra,Banking & Financial Services,"1,280,483.00",122.34,2.26,,idfc-premier-equity-regular,MAG094
19,Ashok Leyland,Automotive,"11,421,003.00",107.19,1.98,,idfc-premier-equity-regular,MAG094
20,P and G,Consumer Non-durables,"127,830.00",102.86,1.9,,idfc-premier-equity-regular,MAG094
21,MCX India,Miscellaneous,"916,224.00",99.61,1.84,,idfc-premier-equity-regular,MAG094
