,Unnamed: 0,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,0,GRUH Finance,Banking & Financial Services,"1,961,718.00",86.93,7.62,,newaxis-mid-cap-fund,MAA099
1,1,Page Industries,Manufacturing,"36,527.00",60.92,5.34,,newaxis-mid-cap-fund,MAA099
2,2,City Union Bank,Banking & Financial Services,"3,781,152.00",60.92,5.34,,newaxis-mid-cap-fund,MAA099
3,3,Motherson Sumi,Automotive,"1,577,603.00",48.37,4.24,,newaxis-mid-cap-fund,MAA099
4,4,Bajaj Finserv,Banking & Financial Services,"106,990.00",44.04,3.86,,newaxis-mid-cap-fund,MAA099
5,5,UPL,Chemicals,"498,210.00",41.87,3.67,,newaxis-mid-cap-fund,MAA099
6,6,Endurance Techn,Automotive,"444,618.00",39.02,3.42,,newaxis-mid-cap-fund,MAA099
7,7,PVR,Media & Entertainment,"275,521.00",38.79,3.4,,newaxis-mid-cap-fund,MAA099
8,8,P and G,Consumer Non-durables,"47,357.00",38.1,3.34,,newaxis-mid-cap-fund,MAA099
9,9,Britannia,Food & Beverages,"93,562.00",34.57,3.03,,newaxis-mid-cap-fund,MAA099
10,10,Sundaram Fin,Banking & Financial Services,"215,614.00",34.45,3.02,,newaxis-mid-cap-fund,MAA099
11,11,Supreme Ind,Manufacturing,"267,298.00",32.74,2.87,,newaxis-mid-cap-fund,MAA099
12,12,Berger Paints,Chemicals,"1,163,339.00",28.64,2.51,,newaxis-mid-cap-fund,MAA099
13,13,Cholamandalam,Banking & Financial Services,"229,406.00",25.67,2.25,,newaxis-mid-cap-fund,MAA099
14,14,Petronet LNG,Oil & Gas,"1,147,310.00",24.76,2.17,,newaxis-mid-cap-fund,MAA099
15,15,Balkrishna Ind,Automotive,"146,163.00",24.3,2.13,,newaxis-mid-cap-fund,MAA099
16,16,Ceat,Automotive,"120,047.00",21.56,1.89,,newaxis-mid-cap-fund,MAA099
17,17,Federal Bank,Banking & Financial Services,"1,850,863.00",20.88,1.83,,newaxis-mid-cap-fund,MAA099
18,18,Ramco Cements,Cement & Construction,"276,632.00",19.17,1.68,,newaxis-mid-cap-fund,MAA099
19,19,Cadila Health,Pharmaceuticals,"351,635.00",18.48,1.62,,newaxis-mid-cap-fund,MAA099
20,20,MCX India,Miscellaneous,"162,658.00",17.68,1.55,,newaxis-mid-cap-fund,MAA099
21,21,Gulf Oil Lubric,Chemicals,"215,389.00",17.46,1.53,,newaxis-mid-cap-fund,MAA099
22,22,Igarashi Motors,Engineering & Capital Goods,"173,139.00",17.0,1.49,,newaxis-mid-cap-fund,MAA099
23,23,V-Guard Ind,Miscellaneous,"966,718.00",16.66,1.46,,newaxis-mid-cap-fund,MAA099
24,24,MRF,Automotive,"2,388.00",16.31,1.43,,newaxis-mid-cap-fund,MAA099
25,25,Bajaj Finance,Banking & Financial Services,"114,568.00",15.74,1.38,,newaxis-mid-cap-fund,MAA099
26,26,TTK Prestige,Consumer Durables,"23,115.00",15.29,1.34,,newaxis-mid-cap-fund,MAA099
27,27,Amara Raja Batt,Automotive,"175,611.00",14.72,1.29,,newaxis-mid-cap-fund,MAA099
28,28,Info Edge,Miscellaneous,"135,387.00",13.92,1.22,,newaxis-mid-cap-fund,MAA099
29,29,Avenue Supermar,Retail & Real Estate,"162,460.00",13.23,1.16,,newaxis-mid-cap-fund,MAA099
30,30,AIA Engineering,Engineering & Capital Goods,"90,807.00",12.66,1.11,,newaxis-mid-cap-fund,MAA099
31,31,PSP Projects,Cement & Construction,"465,226.00",12.55,1.1,,newaxis-mid-cap-fund,MAA099
32,32,Blue Dart,Services,"26,142.00",12.32,1.08,,newaxis-mid-cap-fund,MAA099
33,33,WABCO India,Automotive,"22,312.00",12.32,1.08,,newaxis-mid-cap-fund,MAA099
34,34,Cummins,Engineering & Capital Goods,"134,939.00",12.32,1.08,,newaxis-mid-cap-fund,MAA099
35,35,PI Industries,Chemicals,"143,539.00",11.98,1.05,,newaxis-mid-cap-fund,MAA099
36,36,Colgate,Consumer Non-durables,"104,685.00",11.64,1.02,,newaxis-mid-cap-fund,MAA099
37,37,Voltas,Conglomerates,"251,669.00",11.52,1.01,,newaxis-mid-cap-fund,MAA099
38,38,Bharat Elec,Manufacturing,"714,142.00",11.52,1.01,,newaxis-mid-cap-fund,MAA099
39,39,Blue Star,Consumer Durables,"189,953.00",11.41,1.0,,newaxis-mid-cap-fund,MAA099
40,40,VST Tillers,Automotive,"47,910.00",10.95,0.96,,newaxis-mid-cap-fund,MAA099
41,41,Bharat Forge,Manufacturing,"100,314.00",10.95,0.96,,newaxis-mid-cap-fund,MAA099
42,42,Alkem Lab,Pharmaceuticals,"53,722.00",9.93,0.87,,newaxis-mid-cap-fund,MAA099
43,43,JK Lakshmi Cem,Cement & Construction,"195,724.00",9.47,0.83,,newaxis-mid-cap-fund,MAA099
44,44,CDSL,Banking & Financial Services,"318,359.00",8.33,0.73,,newaxis-mid-cap-fund,MAA099
45,45,Shankara Buildi,Miscellaneous,"98,496.00",7.99,0.7,,newaxis-mid-cap-fund,MAA099
