,Unnamed: 0,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,0,UPL,Chemicals,"2,008.00",0.17,5.92,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
1,1,ICICI Bank,Banking & Financial Services,"5,246.00",0.15,5.34,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
2,2,L&T Finance,Banking & Financial Services,"10,551.00",0.15,5.32,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
3,3,IOC,Oil & Gas,"3,865.00",0.15,5.22,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
4,4,HPCL,Oil & Gas,"3,800.00",0.13,4.53,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
5,5,IGL,Oil & Gas,"1,046.00",0.11,3.89,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
6,6,Chennai Petro,Oil & Gas,"3,045.00",0.11,3.78,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
7,7,Atul,Chemicals,440.00,0.11,3.74,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
8,8,Muthoot Finance,Banking & Financial Services,"1,912.00",0.09,3.05,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
9,9,Blue Star,Consumer Durables,"1,348.00",0.08,2.84,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
10,10,Repco Home,Banking & Financial Services,937.00,0.08,2.71,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
11,11,DCB Bank,Banking & Financial Services,"3,733.00",0.07,2.6,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
12,12,Thomas Cook,Miscellaneous,"2,604.00",0.06,2.27,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
13,13,PNB,Banking & Financial Services,"4,572.00",0.06,2.2,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
14,14,BPCL,Oil & Gas,955.00,0.06,2.14,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
15,15,Shriram Trans,Banking & Financial Services,573.00,0.06,2.01,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
16,16,Arvind,Manufacturing,"1,583.00",0.06,2.0,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
17,17,India Cements,Cement & Construction,"2,859.00",0.06,1.98,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
18,18,Pennar Eng,Miscellaneous,"3,771.00",0.05,1.72,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
19,19,DLF,Retail & Real Estate,"2,526.00",0.05,1.69,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
20,20,Shemaroo Ent,Media & Entertainment,"1,200.00",0.04,1.55,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
21,21,Mahanagar Gas,Oil & Gas,369.00,0.04,1.28,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
22,22,TeamLease Ser.,Miscellaneous,259.00,0.03,1.22,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
23,23,GNFC,Chemicals,"1,189.00",0.03,1.12,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
24,24,Rel Capital,Banking & Financial Services,479.00,0.03,1.08,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
25,25,Heidelberg Cem,Cement & Construction,"2,463.00",0.03,1.08,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
26,26,VIP Industries,Manufacturing,952.00,0.02,0.61,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
27,27,Laurus Labs,Pharmaceuticals,153.00,0.01,0.33,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
28,28,Satin Credit,Miscellaneous,261.00,0.01,0.25,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
29,29,Deepak Nitrite,Chemicals,177.00,0.0,0.1,,newbirla-sl-emer-leaders-sr-3-dp,MBS1873
