,Unnamed: 0,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,0,HPCL,Oil & Gas,"523,691.00",17.79,6.61,,newbirla-sl-pure-value-direct,MBS831
1,1,ICICI Bank,Banking & Financial Services,"563,165.00",16.34,6.07,,newbirla-sl-pure-value-direct,MBS831
2,2,UPL,Chemicals,"170,381.00",14.32,5.32,,newbirla-sl-pure-value-direct,MBS831
3,3,Chennai Petro,Oil & Gas,"340,003.00",12.03,4.47,,newbirla-sl-pure-value-direct,MBS831
4,4,L&T Finance,Banking & Financial Services,"794,152.00",11.41,4.24,,newbirla-sl-pure-value-direct,MBS831
5,5,India Cements,Cement & Construction,"544,164.00",10.74,3.99,,newbirla-sl-pure-value-direct,MBS831
6,6,Edelweiss,Banking & Financial Services,"485,652.00",9.29,3.45,,newbirla-sl-pure-value-direct,MBS831
7,7,KPR Mill,Manufacturing,"104,693.00",8.59,3.19,,newbirla-sl-pure-value-direct,MBS831
8,8,DLF,Retail & Real Estate,"443,173.00",8.45,3.14,,newbirla-sl-pure-value-direct,MBS831
9,9,SpiceJet,Services,"637,487.00",8.42,3.13,,newbirla-sl-pure-value-direct,MBS831
10,10,GNFC,Chemicals,"287,641.00",7.72,2.87,,newbirla-sl-pure-value-direct,MBS831
11,11,Rel Capital,Banking & Financial Services,"116,740.00",7.51,2.79,,newbirla-sl-pure-value-direct,MBS831
12,12,IGL,Oil & Gas,"68,043.00",7.21,2.68,,newbirla-sl-pure-value-direct,MBS831
13,13,Blue Star,Consumer Durables,"119,204.00",7.16,2.66,,newbirla-sl-pure-value-direct,MBS831
14,14,IDFC,Banking & Financial Services,"1,265,443.00",7.0,2.6,,newbirla-sl-pure-value-direct,MBS831
15,15,Atul,Chemicals,"27,190.00",6.59,2.45,,newbirla-sl-pure-value-direct,MBS831
16,16,VIP Industries,Manufacturing,"331,556.00",6.06,2.25,,newbirla-sl-pure-value-direct,MBS831
17,17,Grasim,Conglomerates,"47,510.00",5.89,2.19,,newbirla-sl-pure-value-direct,MBS831
18,18,Gulf Oil Lubric,Chemicals,"71,406.00",5.79,2.15,,newbirla-sl-pure-value-direct,MBS831
19,19,Fortis Health,Services,"317,135.00",5.14,1.91,,newbirla-sl-pure-value-direct,MBS831
20,20,Steel Str Wheel,Automotive,"57,704.00",5.06,1.88,,newbirla-sl-pure-value-direct,MBS831
21,21,Arvind,Manufacturing,"125,568.00",4.52,1.68,,newbirla-sl-pure-value-direct,MBS831
22,22,GAIL,Oil & Gas,"124,510.00",4.49,1.67,,newbirla-sl-pure-value-direct,MBS831
23,23,Deepak Nitrite,Chemicals,"274,080.00",4.41,1.64,,newbirla-sl-pure-value-direct,MBS831
24,24,CenturyPlyboard,Miscellaneous,"142,669.00",4.2,1.56,,newbirla-sl-pure-value-direct,MBS831
25,25,Indian Terrain,Manufacturing,"183,095.00",3.63,1.35,,newbirla-sl-pure-value-direct,MBS831
26,26,NCC,Cement & Construction,"406,032.00",3.55,1.32,,newbirla-sl-pure-value-direct,MBS831
27,27,Monte Carlo,Manufacturing,"60,568.00",3.26,1.21,,newbirla-sl-pure-value-direct,MBS831
28,28,Sintex Ind,Conglomerates,"1,261,990.00",3.04,1.13,,newbirla-sl-pure-value-direct,MBS831
29,29,Sterlite Techno,Telecommunication,"205,977.00",3.01,1.12,,newbirla-sl-pure-value-direct,MBS831
30,30,BEML,Engineering & Capital Goods,"18,944.00",2.91,1.08,,newbirla-sl-pure-value-direct,MBS831
31,31,Bank of Baroda,Banking & Financial Services,"167,070.00",2.69,1.0,,newbirla-sl-pure-value-direct,MBS831
32,32,PNB,Banking & Financial Services,"194,283.00",2.66,0.99,,newbirla-sl-pure-value-direct,MBS831
33,33,Guj Flourochem,Chemicals,"31,330.00",2.31,0.86,,newbirla-sl-pure-value-direct,MBS831
34,34,Canara Bank,Banking & Financial Services,"69,537.00",2.29,0.85,,newbirla-sl-pure-value-direct,MBS831
35,35,Castrol,Chemicals,"50,645.00",2.05,0.76,,newbirla-sl-pure-value-direct,MBS831
36,36,Muthoot Finance,Banking & Financial Services,"33,152.00",1.51,0.56,,newbirla-sl-pure-value-direct,MBS831
37,37,Sonata,Information Technology,"80,974.00",1.24,0.46,,newbirla-sl-pure-value-direct,MBS831
38,38,HPL Electric & ,Engineering & Capital Goods,"94,365.00",1.21,0.45,,newbirla-sl-pure-value-direct,MBS831
39,39,Firstsource Sol,Information Technology,"252,575.00",0.86,0.32,,newbirla-sl-pure-value-direct,MBS831
