,Unnamed: 0,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,0,Yes Bank,Banking & Financial Services,"1,512,349.00",273.66,4.58,,newfranklin-i-prima-direct,MTE317
1,1,Finolex Cables,Telecommunication,"4,070,052.00",189.99,3.18,,newfranklin-i-prima-direct,MTE317
2,2,Equitas Holding,Banking & Financial Services,"11,253,507.00",188.5,3.15,,newfranklin-i-prima-direct,MTE317
3,3,HDFC Bank,Banking & Financial Services,"979,822.00",174.84,2.92,,newfranklin-i-prima-direct,MTE317
4,4,Apollo Tyres,Automotive,"5,293,261.00",141.07,2.36,,newfranklin-i-prima-direct,MTE317
5,5,Guj State Petro,Oil & Gas,"7,195,016.00",140.12,2.34,,newfranklin-i-prima-direct,MTE317
6,6,Voltas,Conglomerates,"2,679,100.00",135.09,2.26,,newfranklin-i-prima-direct,MTE317
7,7,Cadila Health,Pharmaceuticals,"2,465,038.00",134.01,2.24,,newfranklin-i-prima-direct,MTE317
8,8,CESC,Utilities,"1,378,637.00",129.97,2.17,,newfranklin-i-prima-direct,MTE317
9,9,Schaeffler Ind,Engineering & Capital Goods,"275,692.00",125.17,2.09,,newfranklin-i-prima-direct,MTE317
10,10,J. K. Cement,Cement & Construction,"1,217,476.00",123.94,2.07,,newfranklin-i-prima-direct,MTE317
11,11,Karur Vysya,Banking & Financial Services,"8,763,980.00",122.91,2.06,,newfranklin-i-prima-direct,MTE317
12,12,Kotak Mahindra,Banking & Financial Services,"1,188,711.00",121.44,2.03,,newfranklin-i-prima-direct,MTE317
13,13,Axis Bank,Banking & Financial Services,"2,323,838.00",120.79,2.02,,newfranklin-i-prima-direct,MTE317
14,14,Repco Home,Banking & Financial Services,"1,623,986.00",120.41,2.01,,newfranklin-i-prima-direct,MTE317
15,15,WABCO India,Automotive,"215,547.00",117.77,1.97,,newfranklin-i-prima-direct,MTE317
16,16,Torrent Pharma,Pharmaceuticals,"869,492.00",114.6,1.92,,newfranklin-i-prima-direct,MTE317
17,17,Kajaria Ceramic,Cement & Construction,"1,593,720.00",107.84,1.8,,newfranklin-i-prima-direct,MTE317
18,18,Petronet LNG,Oil & Gas,"5,167,506.00",105.39,1.76,,newfranklin-i-prima-direct,MTE317
19,19,Whirlpool,Consumer Durables,"874,021.00",102.32,1.71,,newfranklin-i-prima-direct,MTE317
20,20,Tata Motors (D),Automotive,"3,900,000.00",101.6,1.7,,newfranklin-i-prima-direct,MTE317
21,21,Gujarat Pipavav,Services,"6,687,068.00",98.37,1.64,,newfranklin-i-prima-direct,MTE317
22,22,Bajaj Holdings,Banking & Financial Services,"391,668.00",94.82,1.59,,newfranklin-i-prima-direct,MTE317
23,23,Bayer CropScien,Chemicals,"201,813.00",94.75,1.58,,newfranklin-i-prima-direct,MTE317
24,24,Oracle Fin Serv,Information Technology,"258,180.00",93.53,1.56,,newfranklin-i-prima-direct,MTE317
25,25,Cyient,Information Technology,"1,769,026.00",92.85,1.55,,newfranklin-i-prima-direct,MTE317
26,26,United Brewerie,Food & Beverages,"1,120,000.00",91.91,1.54,,newfranklin-i-prima-direct,MTE317
27,27,City Union Bank,Banking & Financial Services,"5,197,188.00",91.65,1.53,,newfranklin-i-prima-direct,MTE317
28,28,Aditya Birla F,Retail & Real Estate,"5,218,724.00",90.02,1.51,,newfranklin-i-prima-direct,MTE317
29,29,Havells India,Engineering & Capital Goods,"1,893,831.00",89.54,1.5,,newfranklin-i-prima-direct,MTE317
30,30,BPCL,Oil & Gas,"1,886,553.00",88.88,1.49,,newfranklin-i-prima-direct,MTE317
31,31,eClerx Services,Information Technology,"681,542.00",88.47,1.48,,newfranklin-i-prima-direct,MTE317
32,32,Vardhman Text,Manufacturing,"713,598.00",86.96,1.45,,newfranklin-i-prima-direct,MTE317
33,33,Bata India,Consumer Non-durables,"1,462,522.00",86.02,1.44,,newfranklin-i-prima-direct,MTE317
34,34,Exide Ind,Automotive,"3,930,952.00",85.5,1.43,,newfranklin-i-prima-direct,MTE317
35,35,Info Edge,Miscellaneous,"816,000.00",81.1,1.36,,newfranklin-i-prima-direct,MTE317
36,36,Indian Hotels,Services,"6,241,604.00",77.8,1.3,,newfranklin-i-prima-direct,MTE317
37,37,Mindtree,Information Technology,"1,618,672.00",77.28,1.29,,newfranklin-i-prima-direct,MTE317
38,38,Coromandel Int,Chemicals,"1,684,709.00",75.74,1.27,,newfranklin-i-prima-direct,MTE317
39,39,Sobha,Retail & Real Estate,"1,816,862.00",72.55,1.21,,newfranklin-i-prima-direct,MTE317
40,40,CARE,Miscellaneous,"446,833.00",72.32,1.21,,newfranklin-i-prima-direct,MTE317
41,41,SKF India,Engineering & Capital Goods,"461,841.00",71.86,1.2,,newfranklin-i-prima-direct,MTE317
42,42,Balkrishna Ind,Automotive,"438,418.00",71.27,1.19,,newfranklin-i-prima-direct,MTE317
43,43,Cummins,Engineering & Capital Goods,"720,000.00",71.12,1.19,,newfranklin-i-prima-direct,MTE317
44,44,Arvind,Manufacturing,"1,920,649.00",70.28,1.18,,newfranklin-i-prima-direct,MTE317
45,45,Amara Raja Batt,Automotive,"847,835.00",70.74,1.18,,newfranklin-i-prima-direct,MTE317
46,46,Hindalco,Metals & Mining,"3,195,282.00",70.18,1.17,,newfranklin-i-prima-direct,MTE317
47,47,Tata Chemicals,Chemicals,"1,062,646.00",65.87,1.1,,newfranklin-i-prima-direct,MTE317
48,48,Sundaram Fin,Banking & Financial Services,"376,519.00",63.15,1.06,,newfranklin-i-prima-direct,MTE317
49,49,Larsen,Engineering & Capital Goods,"495,000.00",59.1,0.99,,newfranklin-i-prima-direct,MTE317
50,50,CG Consumer,Manufacturing,"2,679,949.00",58.61,0.98,,newfranklin-i-prima-direct,MTE317
51,51,PI Industries,Chemicals,"656,061.00",50.24,0.84,,newfranklin-i-prima-direct,MTE317
52,52,TVS Motor,Automotive,"809,473.00",47.12,0.79,,newfranklin-i-prima-direct,MTE317
53,53,Kansai Nerolac,Chemicals,"1,023,536.00",46.83,0.78,,newfranklin-i-prima-direct,MTE317
54,54,Sanofi India,Pharmaceuticals,"100,000.00",43.05,0.72,,newfranklin-i-prima-direct,MTE317
55,55,MMTC Ltd,Services,"140,468.00",29.56,0.49,,newfranklin-i-prima-direct,MTE317
56,56,Gateway Distri,Miscellaneous,"1,030,375.00",28.24,0.47,,newfranklin-i-prima-direct,MTE317
57,57,DCB Bank,Banking & Financial Services,"1,436,781.00",28.09,0.47,,newfranklin-i-prima-direct,MTE317
58,58,PNB Housing Fin,Banking & Financial Services,"106,261.00",15.96,0.27,,newfranklin-i-prima-direct,MTE317
59,59,Blue Dart,Services,"29,300.00",12.49,0.21,,newfranklin-i-prima-direct,MTE317
