,Unnamed: 0,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,0,P and G,Consumer Non-durables,157.00,0.13,3.18,,newidbi-midcap-fund-dp,MIB230
1,1,Shree Cements,Cement & Construction,64.00,0.11,2.76,,newidbi-midcap-fund-dp,MIB230
2,2,Minda Ind,Automotive,"1,608.00",0.1,2.6,,newidbi-midcap-fund-dp,MIB230
3,3,Finolex Ind,Chemicals,"1,633.00",0.1,2.49,,newidbi-midcap-fund-dp,MIB230
4,4,RBL Bank,Banking & Financial Services,"1,934.00",0.1,2.48,,newidbi-midcap-fund-dp,MIB230
5,5,Bajaj Finance,Banking & Financial Services,689.00,0.09,2.39,,newidbi-midcap-fund-dp,MIB230
6,6,Akzo Nobel,Chemicals,497.00,0.09,2.3,,newidbi-midcap-fund-dp,MIB230
7,7,Vedanta,Metals & Mining,"3,625.00",0.09,2.28,,newidbi-midcap-fund-dp,MIB230
8,8,Grasim,Conglomerates,724.00,0.09,2.27,,newidbi-midcap-fund-dp,MIB230
9,9,Tata Elxsi,Information Technology,562.00,0.09,2.25,,newidbi-midcap-fund-dp,MIB230
10,10,Motherson Sumi,Automotive,"2,893.00",0.09,2.25,,newidbi-midcap-fund-dp,MIB230
11,11,Indiabulls Hsg,Banking & Financial Services,806.00,0.09,2.19,,newidbi-midcap-fund-dp,MIB230
12,12,Aurobindo Pharm,Pharmaceuticals,"1,209.00",0.08,2.09,,newidbi-midcap-fund-dp,MIB230
13,13,AIA Engineering,Engineering & Capital Goods,579.00,0.08,2.04,,newidbi-midcap-fund-dp,MIB230
14,14,Canara Bank,Banking & Financial Services,"2,410.00",0.08,2.0,,newidbi-midcap-fund-dp,MIB230
15,15,PNB Housing Fin,Banking & Financial Services,484.00,0.08,1.95,,newidbi-midcap-fund-dp,MIB230
16,16,Siemens,Engineering & Capital Goods,563.00,0.08,1.9,,newidbi-midcap-fund-dp,MIB230
17,17,Cummins,Engineering & Capital Goods,805.00,0.07,1.87,,newidbi-midcap-fund-dp,MIB230
18,18,Dalmia Bharat,Cement & Construction,295.00,0.07,1.84,,newidbi-midcap-fund-dp,MIB230
19,19,Supreme Ind,Manufacturing,581.00,0.07,1.8,,newidbi-midcap-fund-dp,MIB230
20,20,M&M Financial,Banking & Financial Services,"2,009.00",0.07,1.75,,newidbi-midcap-fund-dp,MIB230
21,21,Force Motors,Automotive,161.00,0.07,1.71,,newidbi-midcap-fund-dp,MIB230
22,22,Amara Raja Batt,Automotive,807.00,0.07,1.71,,newidbi-midcap-fund-dp,MIB230
23,23,Sanofi India,Pharmaceuticals,161.00,0.07,1.69,,newidbi-midcap-fund-dp,MIB230
24,24,Ramco Cements,Cement & Construction,963.00,0.07,1.69,,newidbi-midcap-fund-dp,MIB230
