,Unnamed: 0,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,0,APL Apollo,Metals & Mining,"126,371.00",19.58,3.52,,newidfc-premier-equity-direct,MAG733
1,1,Va Tech Wabag,Engineering & Capital Goods,"283,336.00",19.47,3.5,,newidfc-premier-equity-direct,MAG733
2,2,JM Financial,Banking & Financial Services,"1,637,366.00",19.19,3.45,,newidfc-premier-equity-direct,MAG733
3,3,Container Corp,Services,"158,756.00",18.19,3.27,,newidfc-premier-equity-direct,MAG733
4,4,Voltas,Conglomerates,"394,834.00",18.08,3.25,,newidfc-premier-equity-direct,MAG733
5,5,Guj State Petro,Oil & Gas,"1,007,891.00",17.8,3.2,,newidfc-premier-equity-direct,MAG733
6,6,Maruti Suzuki,Automotive,"24,506.00",17.69,3.18,,newidfc-premier-equity-direct,MAG733
7,7,HDFC Bank,Banking & Financial Services,"103,352.00",17.08,3.07,,newidfc-premier-equity-direct,MAG733
8,8,Greaves Cotton,Engineering & Capital Goods,"1,045,610.00",16.97,3.05,,newidfc-premier-equity-direct,MAG733
9,9,Asian Paints,Chemicals,"150,121.00",16.58,2.98,,newidfc-premier-equity-direct,MAG733
10,10,ICICI Prudentia,Banking & Financial Services,"341,224.00",16.08,2.89,,newidfc-premier-equity-direct,MAG733
11,11,Schaeffler Ind,Engineering & Capital Goods,"35,392.00",15.8,2.84,,newidfc-premier-equity-direct,MAG733
12,12,Blue Dart,Services,"31,510.00",14.85,2.67,,newidfc-premier-equity-direct,MAG733
13,13,Page Industries,Manufacturing,"8,438.00",14.07,2.53,,newidfc-premier-equity-direct,MAG733
14,14,Tata Chemicals,Chemicals,"219,607.00",13.29,2.39,,newidfc-premier-equity-direct,MAG733
15,15,Balrampur Chini,Food & Beverages,"877,288.00",13.24,2.38,,newidfc-premier-equity-direct,MAG733
16,16,3M India,Conglomerates,"9,896.00",13.07,2.35,,newidfc-premier-equity-direct,MAG733
17,17,Ambuja Cements,Cement & Construction,"529,420.00",13.02,2.34,,newidfc-premier-equity-direct,MAG733
18,18,Kotak Mahindra,Banking & Financial Services,"131,569.00",12.57,2.26,,newidfc-premier-equity-direct,MAG733
19,19,Ashok Leyland,Automotive,"1,173,506.00",11.01,1.98,,newidfc-premier-equity-direct,MAG733
20,20,P and G,Consumer Non-durables,"13,135.00",10.57,1.9,,newidfc-premier-equity-direct,MAG733
21,21,MCX India,Miscellaneous,"94,142.00",10.23,1.84,,newidfc-premier-equity-direct,MAG733
22,22,Sun Pharma,Pharmaceuticals,"174,543.00",9.68,1.74,,newidfc-premier-equity-direct,MAG733
23,23,Max Financial,Manufacturing,"140,930.00",8.84,1.59,,newidfc-premier-equity-direct,MAG733
