,Unnamed: 0,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,0,Coromandel Int,Chemicals,-,-,4.36,,newinvesco-india-mid-cap-direct,MLI556
1,1,Vinati Organics,Chemicals,-,-,3.94,,newinvesco-india-mid-cap-direct,MLI556
2,2,IndusInd Bank,Banking & Financial Services,-,-,3.65,,newinvesco-india-mid-cap-direct,MLI556
3,3,MRF,Automotive,-,-,3.63,,newinvesco-india-mid-cap-direct,MLI556
4,4,Schaeffler Ind,Engineering & Capital Goods,-,-,3.6,,newinvesco-india-mid-cap-direct,MLI556
5,5,Container Corp,Services,-,-,3.58,,newinvesco-india-mid-cap-direct,MLI556
6,6,MCX India,Miscellaneous,-,-,3.48,,newinvesco-india-mid-cap-direct,MLI556
7,7,Ramco Cements,Cement & Construction,-,-,3.44,,newinvesco-india-mid-cap-direct,MLI556
8,8,Wonderla,Miscellaneous,-,-,3.4,,newinvesco-india-mid-cap-direct,MLI556
9,9,Heritage Foods,Food & Beverages,-,-,3.27,,newinvesco-india-mid-cap-direct,MLI556
10,10,United Brewerie,Food & Beverages,-,-,3.24,,newinvesco-india-mid-cap-direct,MLI556
11,11,Piramal Enter,Pharmaceuticals,-,-,3.09,,newinvesco-india-mid-cap-direct,MLI556
12,12,Aditya Birla F,Retail & Real Estate,-,-,2.88,,newinvesco-india-mid-cap-direct,MLI556
13,13,Motherson Sumi,Automotive,-,-,2.85,,newinvesco-india-mid-cap-direct,MLI556
14,14,Cholamandalam,Banking & Financial Services,-,-,2.74,,newinvesco-india-mid-cap-direct,MLI556
15,15,United Spirits,Food & Beverages,-,-,2.73,,newinvesco-india-mid-cap-direct,MLI556
16,16,Petronet LNG,Oil & Gas,-,-,2.71,,newinvesco-india-mid-cap-direct,MLI556
17,17,AIA Engineering,Engineering & Capital Goods,-,-,2.7,,newinvesco-india-mid-cap-direct,MLI556
18,18,Exide Ind,Automotive,-,-,2.54,,newinvesco-india-mid-cap-direct,MLI556
19,19,Timken,Engineering & Capital Goods,-,-,2.39,,newinvesco-india-mid-cap-direct,MLI556
20,20,Tata Metaliks,Metals & Mining,-,-,2.36,,newinvesco-india-mid-cap-direct,MLI556
21,21,Kotak Mahindra,Banking & Financial Services,-,-,2.33,,newinvesco-india-mid-cap-direct,MLI556
22,22,ISGEC Heavy Eng,Food & Beverages,-,-,2.28,,newinvesco-india-mid-cap-direct,MLI556
23,23,Greenply Ind,Miscellaneous,-,-,2.22,,newinvesco-india-mid-cap-direct,MLI556
24,24,Thermax,Engineering & Capital Goods,-,-,2.15,,newinvesco-india-mid-cap-direct,MLI556
25,25,Syngene Intl,Miscellaneous,-,-,2.14,,newinvesco-india-mid-cap-direct,MLI556
26,26,Voltas,Conglomerates,-,-,2.12,,newinvesco-india-mid-cap-direct,MLI556
27,27,Rallis India,Chemicals,-,-,2.12,,newinvesco-india-mid-cap-direct,MLI556
28,28,Redington,Information Technology,-,-,2.11,,newinvesco-india-mid-cap-direct,MLI556
29,29,PNC Infratech,Retail & Real Estate,-,-,1.9,,newinvesco-india-mid-cap-direct,MLI556
30,30,L&T Finance,Banking & Financial Services,-,-,1.89,,newinvesco-india-mid-cap-direct,MLI556
31,31,VIP Industries,Manufacturing,-,-,1.84,,newinvesco-india-mid-cap-direct,MLI556
32,32,V-Mart Retail,Retail & Real Estate,-,-,1.2,,newinvesco-india-mid-cap-direct,MLI556
33,33,Esab India,Engineering & Capital Goods,-,-,1.15,,newinvesco-india-mid-cap-direct,MLI556
34,34,Repco Home,Banking & Financial Services,-,-,1.15,,newinvesco-india-mid-cap-direct,MLI556
35,35,Shriram Trans,Banking & Financial Services,-,-,1.04,,newinvesco-india-mid-cap-direct,MLI556
36,36,DB Corp,Media & Entertainment,-,-,0.99,,newinvesco-india-mid-cap-direct,MLI556
37,37,Camlin Fine,Chemicals,-,-,0.83,,newinvesco-india-mid-cap-direct,MLI556
