,Unnamed: 0,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,0,IndusInd Bank,Banking & Financial Services,-,-,4.98,,newinvesco-india-mid-n-smallcap,MLI183
1,1,Coromandel Int,Chemicals,-,-,4.34,,newinvesco-india-mid-n-smallcap,MLI183
2,2,Vinati Organics,Chemicals,-,-,3.75,,newinvesco-india-mid-n-smallcap,MLI183
3,3,Schaeffler Ind,Engineering & Capital Goods,-,-,3.61,,newinvesco-india-mid-n-smallcap,MLI183
4,4,Container Corp,Services,-,-,3.58,,newinvesco-india-mid-n-smallcap,MLI183
5,5,Ramco Cements,Cement & Construction,-,-,3.53,,newinvesco-india-mid-n-smallcap,MLI183
6,6,United Brewerie,Food & Beverages,-,-,3.46,,newinvesco-india-mid-n-smallcap,MLI183
7,7,Heritage Foods,Food & Beverages,-,-,3.33,,newinvesco-india-mid-n-smallcap,MLI183
8,8,Wonderla,Miscellaneous,-,-,3.26,,newinvesco-india-mid-n-smallcap,MLI183
9,9,Piramal Enter,Pharmaceuticals,-,-,3.22,,newinvesco-india-mid-n-smallcap,MLI183
10,10,MCX India,Miscellaneous,-,-,3.17,,newinvesco-india-mid-n-smallcap,MLI183
11,11,MRF,Automotive,-,-,3.14,,newinvesco-india-mid-n-smallcap,MLI183
12,12,Aditya Birla F,Retail & Real Estate,-,-,2.94,,newinvesco-india-mid-n-smallcap,MLI183
13,13,Petronet LNG,Oil & Gas,-,-,2.78,,newinvesco-india-mid-n-smallcap,MLI183
14,14,United Spirits,Food & Beverages,-,-,2.71,,newinvesco-india-mid-n-smallcap,MLI183
15,15,AIA Engineering,Engineering & Capital Goods,-,-,2.59,,newinvesco-india-mid-n-smallcap,MLI183
16,16,Exide Ind,Automotive,-,-,2.59,,newinvesco-india-mid-n-smallcap,MLI183
17,17,ISGEC Heavy Eng,Food & Beverages,-,-,2.57,,newinvesco-india-mid-n-smallcap,MLI183
18,18,Maruti Suzuki,Automotive,-,-,2.52,,newinvesco-india-mid-n-smallcap,MLI183
19,19,Motherson Sumi,Automotive,-,-,2.41,,newinvesco-india-mid-n-smallcap,MLI183
20,20,Timken,Engineering & Capital Goods,-,-,2.4,,newinvesco-india-mid-n-smallcap,MLI183
21,21,L&T Finance,Banking & Financial Services,-,-,2.37,,newinvesco-india-mid-n-smallcap,MLI183
22,22,Thermax,Engineering & Capital Goods,-,-,2.24,,newinvesco-india-mid-n-smallcap,MLI183
23,23,Cholamandalam,Banking & Financial Services,-,-,2.19,,newinvesco-india-mid-n-smallcap,MLI183
24,24,Tata Metaliks,Metals & Mining,-,-,2.14,,newinvesco-india-mid-n-smallcap,MLI183
25,25,Syngene Intl,Miscellaneous,-,-,2.11,,newinvesco-india-mid-n-smallcap,MLI183
26,26,Redington,Information Technology,-,-,2.11,,newinvesco-india-mid-n-smallcap,MLI183
27,27,Voltas,Conglomerates,-,-,2.07,,newinvesco-india-mid-n-smallcap,MLI183
28,28,Rallis India,Chemicals,-,-,2.02,,newinvesco-india-mid-n-smallcap,MLI183
29,29,VIP Industries,Manufacturing,-,-,1.91,,newinvesco-india-mid-n-smallcap,MLI183
30,30,Greenply Ind,Miscellaneous,-,-,1.91,,newinvesco-india-mid-n-smallcap,MLI183
31,31,V-Mart Retail,Retail & Real Estate,-,-,1.41,,newinvesco-india-mid-n-smallcap,MLI183
32,32,PNC Infratech,Retail & Real Estate,-,-,1.4,,newinvesco-india-mid-n-smallcap,MLI183
33,33,Esab India,Engineering & Capital Goods,-,-,1.18,,newinvesco-india-mid-n-smallcap,MLI183
34,34,Repco Home,Banking & Financial Services,-,-,1.13,,newinvesco-india-mid-n-smallcap,MLI183
35,35,Shriram Trans,Banking & Financial Services,-,-,1.03,,newinvesco-india-mid-n-smallcap,MLI183
36,36,DB Corp,Media & Entertainment,-,-,1.02,,newinvesco-india-mid-n-smallcap,MLI183
37,37,Camlin Fine,Chemicals,-,-,0.83,,newinvesco-india-mid-n-smallcap,MLI183
