,Unnamed: 0,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,0,Techno Electric,Engineering & Capital Goods,"523,485.00",19.24,2.68,,newkotak-mid-cap-fund-regular,MKM073
1,1,VST Tillers,Automotive,"83,919.00",18.66,2.6,,newkotak-mid-cap-fund-regular,MKM073
2,2,Strides Shasun,Pharmaceuticals,"172,945.00",18.31,2.55,,newkotak-mid-cap-fund-regular,MKM073
3,3,IndusInd Bank,Banking & Financial Services,"110,000.00",18.1,2.52,,newkotak-mid-cap-fund-regular,MKM073
4,4,ICICI Bank,Banking & Financial Services,"585,750.00",17.72,2.47,,newkotak-mid-cap-fund-regular,MKM073
5,5,Schaeffler Ind,Engineering & Capital Goods,"38,596.00",17.52,2.44,,newkotak-mid-cap-fund-regular,MKM073
6,6,Solar Ind,Chemicals,"192,195.00",17.26,2.4,,newkotak-mid-cap-fund-regular,MKM073
7,7,Motherson Sumi,Automotive,"525,000.00",17.06,2.37,,newkotak-mid-cap-fund-regular,MKM073
8,8,Atul,Chemicals,"76,169.00",16.75,2.33,,newkotak-mid-cap-fund-regular,MKM073
9,9,Federal Bank,Banking & Financial Services,"1,435,621.00",16.55,2.3,,newkotak-mid-cap-fund-regular,MKM073
10,10,Apollo Hospital,Services,"130,934.00",16.48,2.29,,newkotak-mid-cap-fund-regular,MKM073
11,11,Shriram City,Banking & Financial Services,"67,597.00",15.53,2.16,,newkotak-mid-cap-fund-regular,MKM073
12,12,J. K. Cement,Cement & Construction,"147,072.00",14.97,2.08,,newkotak-mid-cap-fund-regular,MKM073
13,13,Torrent Pharma,Pharmaceuticals,"112,099.00",14.78,2.06,,newkotak-mid-cap-fund-regular,MKM073
14,14,Finolex Cables,Telecommunication,"309,891.00",14.47,2.01,,newkotak-mid-cap-fund-regular,MKM073
15,15,Amara Raja Batt,Automotive,"170,000.00",14.18,1.97,,newkotak-mid-cap-fund-regular,MKM073
16,16,Persistent,Information Technology,"209,159.00",13.52,1.88,,newkotak-mid-cap-fund-regular,MKM073
17,17,Laurus Labs,Pharmaceuticals,"232,063.00",13.48,1.88,,newkotak-mid-cap-fund-regular,MKM073
18,18,Sundaram Fin,Banking & Financial Services,"80,275.00",13.46,1.87,,newkotak-mid-cap-fund-regular,MKM073
19,19,Whirlpool,Consumer Durables,"113,354.00",13.27,1.85,,newkotak-mid-cap-fund-regular,MKM073
20,20,Bajaj Finserv,Banking & Financial Services,"25,000.00",12.48,1.74,,newkotak-mid-cap-fund-regular,MKM073
21,21,Allcargo,Services,"725,000.00",12.44,1.73,,newkotak-mid-cap-fund-regular,MKM073
22,22,Bharat Forge,Manufacturing,"103,532.00",11.89,1.66,,newkotak-mid-cap-fund-regular,MKM073
23,23,Cadila Health,Pharmaceuticals,"220,000.00",11.96,1.66,,newkotak-mid-cap-fund-regular,MKM073
24,24,Hawkins Cooker,Consumer Durables,"39,899.00",11.89,1.65,,newkotak-mid-cap-fund-regular,MKM073
25,25,Sun TV Network,Media & Entertainment,"152,142.00",11.87,1.65,,newkotak-mid-cap-fund-regular,MKM073
26,26,S Chand and Co,Miscellaneous,"231,631.00",11.64,1.62,,newkotak-mid-cap-fund-regular,MKM073
27,27,SRF,Manufacturing,"75,907.00",11.53,1.6,,newkotak-mid-cap-fund-regular,MKM073
28,28,Eveready Ind,Consumer Non-durables,"370,970.00",11.42,1.59,,newkotak-mid-cap-fund-regular,MKM073
29,29,HPCL,Oil & Gas,"293,500.00",11.25,1.57,,newkotak-mid-cap-fund-regular,MKM073
30,30,DB Corp,Media & Entertainment,"297,566.00",11.14,1.55,,newkotak-mid-cap-fund-regular,MKM073
31,31,Ramco Cements,Cement & Construction,"157,380.00",10.68,1.49,,newkotak-mid-cap-fund-regular,MKM073
32,32,Mcleod,Food & Beverages,"603,649.00",10.62,1.48,,newkotak-mid-cap-fund-regular,MKM073
33,33,M&M Financial,Banking & Financial Services,"262,000.00",10.51,1.46,,newkotak-mid-cap-fund-regular,MKM073
34,34,BSE Limited,Miscellaneous,"94,376.00",10.23,1.42,,newkotak-mid-cap-fund-regular,MKM073
35,35,Thermax,Engineering & Capital Goods,"116,543.00",10.14,1.41,,newkotak-mid-cap-fund-regular,MKM073
36,36,SKF India,Engineering & Capital Goods,"63,959.00",9.95,1.39,,newkotak-mid-cap-fund-regular,MKM073
37,37,Navneet,Miscellaneous,"607,329.00",9.99,1.39,,newkotak-mid-cap-fund-regular,MKM073
38,38,Kewal Kiran,Retail & Real Estate,"58,107.00",9.93,1.38,,newkotak-mid-cap-fund-regular,MKM073
39,39,AU Small Financ,Banking & Financial Services,"167,567.00",9.9,1.38,,newkotak-mid-cap-fund-regular,MKM073
40,40,Va Tech Wabag,Engineering & Capital Goods,"160,292.00",9.78,1.36,,newkotak-mid-cap-fund-regular,MKM073
41,41,Kajaria Ceramic,Cement & Construction,"143,888.00",9.74,1.36,,newkotak-mid-cap-fund-regular,MKM073
42,42,Avenue Supermar,Retail & Real Estate,"97,730.00",8.99,1.25,,newkotak-mid-cap-fund-regular,MKM073
43,43,Arvind,Manufacturing,"236,282.00",8.65,1.2,,newkotak-mid-cap-fund-regular,MKM073
44,44,Castrol,Chemicals,"208,000.00",8.33,1.16,,newkotak-mid-cap-fund-regular,MKM073
45,45,Divis Labs,Pharmaceuticals,"120,134.00",8.08,1.13,,newkotak-mid-cap-fund-regular,MKM073
46,46,ICICI Prudentia,Banking & Financial Services,"175,676.00",8.06,1.12,,newkotak-mid-cap-fund-regular,MKM073
47,47,Bank of Baroda,Banking & Financial Services,"478,500.00",7.95,1.11,,newkotak-mid-cap-fund-regular,MKM073
48,48,UPL,Chemicals,"84,000.00",7.37,1.03,,newkotak-mid-cap-fund-regular,MKM073
49,49,Shriram Trans,Banking & Financial Services,"71,738.00",7.3,1.02,,newkotak-mid-cap-fund-regular,MKM073
50,50,Supreme Ind,Manufacturing,"63,790.00",7.15,1.0,,newkotak-mid-cap-fund-regular,MKM073
