,Unnamed: 0,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,0,IndusInd Bank,Banking & Financial Services,"288,900.00",47.55,4.41,,newl-t-midcap-fund-direct,MCC275
1,1,ICICI Prudentia,Banking & Financial Services,"596,700.00",27.39,2.54,,newl-t-midcap-fund-direct,MCC275
2,2,Shree Cements,Cement & Construction,"13,900.00",25.86,2.4,,newl-t-midcap-fund-direct,MCC275
3,3,Federal Bank,Banking & Financial Services,"2,196,600.00",25.32,2.35,,newl-t-midcap-fund-direct,MCC275
4,4,Dollar Ind,Manufacturing,"115,000.00",24.13,2.24,,newl-t-midcap-fund-direct,MCC275
5,5,Jindal Steel,Metals & Mining,"1,549,200.00",23.76,2.2,,newl-t-midcap-fund-direct,MCC275
6,6,Ramco Cements,Cement & Construction,"312,800.00",21.23,1.97,,newl-t-midcap-fund-direct,MCC275
7,7,Bayer CropScien,Chemicals,"43,276.00",20.32,1.88,,newl-t-midcap-fund-direct,MCC275
8,8,Berger Paints,Chemicals,"814,400.00",20.18,1.87,,newl-t-midcap-fund-direct,MCC275
9,9,Aarti Ind,Chemicals,"207,926.00",20.21,1.87,,newl-t-midcap-fund-direct,MCC275
10,10,EngineersInd,Engineering & Capital Goods,"1,263,500.00",20.07,1.86,,newl-t-midcap-fund-direct,MCC275
11,11,Marico,Consumer Non-durables,"569,900.00",19.07,1.77,,newl-t-midcap-fund-direct,MCC275
12,12,Emami,Consumer Non-durables,"172,100.00",19.07,1.77,,newl-t-midcap-fund-direct,MCC275
13,13,Kajaria Ceramic,Cement & Construction,"262,400.00",17.76,1.65,,newl-t-midcap-fund-direct,MCC275
14,14,Indian Hume,Cement & Construction,"307,498.00",17.09,1.58,,newl-t-midcap-fund-direct,MCC275
15,15,Supreme Ind,Manufacturing,"150,616.00",16.88,1.57,,newl-t-midcap-fund-direct,MCC275
16,16,Idea Cellular,Telecommunication,"1,800,500.00",16.65,1.54,,newl-t-midcap-fund-direct,MCC275
17,17,Coromandel Int,Chemicals,"364,300.00",16.38,1.52,,newl-t-midcap-fund-direct,MCC275
18,18,Bajaj Finserv,Banking & Financial Services,"32,600.00",16.27,1.51,,newl-t-midcap-fund-direct,MCC275
19,19,ISGEC Heavy Eng,Food & Beverages,"25,217.00",16.09,1.49,,newl-t-midcap-fund-direct,MCC275
20,20,Ratnamani Metal,Metals & Mining,"196,032.00",16.08,1.49,,newl-t-midcap-fund-direct,MCC275
21,21,Petronet LNG,Oil & Gas,"786,200.00",16.03,1.49,,newl-t-midcap-fund-direct,MCC275
22,22,Graphite India,Engineering & Capital Goods,"776,521.00",15.99,1.48,,newl-t-midcap-fund-direct,MCC275
23,23,AU Small Financ,Banking & Financial Services,"270,641.00",15.98,1.48,,newl-t-midcap-fund-direct,MCC275
24,24,KPR Mill,Manufacturing,"197,488.00",15.66,1.45,,newl-t-midcap-fund-direct,MCC275
25,25,Avanti Feeds,Miscellaneous,"94,000.00",15.38,1.43,,newl-t-midcap-fund-direct,MCC275
26,26,Exide Ind,Automotive,"702,300.00",15.28,1.42,,newl-t-midcap-fund-direct,MCC275
27,27,Sterlite Techno,Telecommunication,"726,000.00",15.36,1.42,,newl-t-midcap-fund-direct,MCC275
28,28,Godrej Prop,Retail & Real Estate,"291,200.00",15.21,1.41,,newl-t-midcap-fund-direct,MCC275
29,29,AIA Engineering,Engineering & Capital Goods,"99,497.00",14.43,1.34,,newl-t-midcap-fund-direct,MCC275
30,30,Canara Bank,Banking & Financial Services,"390,900.00",14.39,1.33,,newl-t-midcap-fund-direct,MCC275
31,31,Triveni Turbine,Engineering & Capital Goods,"1,002,514.00",14.3,1.33,,newl-t-midcap-fund-direct,MCC275
32,32,Dr Reddys Labs,Pharmaceuticals,"60,000.00",14.3,1.33,,newl-t-midcap-fund-direct,MCC275
33,33,HPCL,Oil & Gas,"371,400.00",14.23,1.32,,newl-t-midcap-fund-direct,MCC275
34,34,Dishman Pharma,Pharmaceuticals,"456,523.00",13.75,1.28,,newl-t-midcap-fund-direct,MCC275
35,35,NALCO,Metals & Mining,"1,977,700.00",13.81,1.28,,newl-t-midcap-fund-direct,MCC275
36,36,Techno Electric,Engineering & Capital Goods,"370,300.00",13.61,1.26,,newl-t-midcap-fund-direct,MCC275
37,37,Timken,Engineering & Capital Goods,"185,900.00",13.38,1.24,,newl-t-midcap-fund-direct,MCC275
38,38,Vinati Organics,Chemicals,"126,591.00",13.14,1.22,,newl-t-midcap-fund-direct,MCC275
39,39,Oriental Carbon,Chemicals,"99,478.00",13.01,1.21,,newl-t-midcap-fund-direct,MCC275
40,40,ABB India,Engineering & Capital Goods,"91,100.00",12.95,1.2,,newl-t-midcap-fund-direct,MCC275
41,41,Swaraj Engines,Engineering & Capital Goods,"60,436.00",12.69,1.18,,newl-t-midcap-fund-direct,MCC275
42,42,Future Life,Retail & Real Estate,"403,646.00",12.64,1.17,,newl-t-midcap-fund-direct,MCC275
43,43,MphasiS,Information Technology,"206,839.00",12.51,1.16,,newl-t-midcap-fund-direct,MCC275
44,44,Union Bank,Banking & Financial Services,"794,800.00",12.56,1.16,,newl-t-midcap-fund-direct,MCC275
45,45,Brigade Ent,Retail & Real Estate,"439,560.00",12.3,1.14,,newl-t-midcap-fund-direct,MCC275
46,46,NMDC,Metals & Mining,"958,000.00",12.14,1.13,,newl-t-midcap-fund-direct,MCC275
47,47,United Spirits,Food & Beverages,"46,800.00",11.87,1.1,,newl-t-midcap-fund-direct,MCC275
48,48,Mirza Intl,Consumer Non-durables,"730,635.00",11.29,1.05,,newl-t-midcap-fund-direct,MCC275
49,49,Oberoi Realty,Retail & Real Estate,"284,928.00",11.01,1.02,,newl-t-midcap-fund-direct,MCC275
50,50,TVS Srichakra,Automotive,"30,425.00",10.99,1.02,,newl-t-midcap-fund-direct,MCC275
51,51,Sundaram Fin,Banking & Financial Services,"65,000.00",10.9,1.01,,newl-t-midcap-fund-direct,MCC275
52,52,Sobha,Retail & Real Estate,"269,100.00",10.75,1.0,,newl-t-midcap-fund-direct,MCC275
53,53,OCL India,Cement & Construction,"87,083.00",10.76,1.0,,newl-t-midcap-fund-direct,MCC275
54,54,AksharChem,Chemicals,"130,000.00",10.54,0.98,,newl-t-midcap-fund-direct,MCC275
55,55,Akzo Nobel,Chemicals,"58,000.00",10.36,0.96,,newl-t-midcap-fund-direct,MCC275
56,56,Max Financial,Manufacturing,"653,500.00",9.69,0.9,,newl-t-midcap-fund-direct,MCC275
57,57,Sunteck Realty,Retail & Real Estate,"403,522.00",9.33,0.87,,newl-t-midcap-fund-direct,MCC275
58,58,CRISIL,Miscellaneous,"50,000.00",9.29,0.86,,newl-t-midcap-fund-direct,MCC275
59,59,Zuari Agro Chem,Chemicals,"237,322.00",9.04,0.84,,newl-t-midcap-fund-direct,MCC275
60,60,MCX India,Miscellaneous,"80,600.00",9.03,0.84,,newl-t-midcap-fund-direct,MCC275
61,61,Godrej Ind,Consumer Non-durables,"122,000.00",8.09,0.75,,newl-t-midcap-fund-direct,MCC275
62,62,Ashoka Buildcon,Cement & Construction,"436,300.00",8.1,0.75,,newl-t-midcap-fund-direct,MCC275
63,63,CARE,Miscellaneous,"46,900.00",7.59,0.7,,newl-t-midcap-fund-direct,MCC275
64,64,KEI Industries,Engineering & Capital Goods,"310,874.00",7.19,0.67,,newl-t-midcap-fund-direct,MCC275
65,65,Deepak Nitrite,Chemicals,"423,600.00",6.88,0.64,,newl-t-midcap-fund-direct,MCC275
66,66,Aegis Logistics,Services,"356,603.00",6.76,0.63,,newl-t-midcap-fund-direct,MCC275
67,67,Centum Electron,Manufacturing,"100,838.00",6.66,0.62,,newl-t-midcap-fund-direct,MCC275
68,68,Oracle Fin Serv,Information Technology,"16,996.00",6.16,0.57,,newl-t-midcap-fund-direct,MCC275
69,69,EIH,Services,"314,701.00",4.37,0.4,,newl-t-midcap-fund-direct,MCC275
