,Unnamed: 0,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,0,RBL Bank,Banking & Financial Services,"3,002,877.00",160.58,11.76,,newmotilal-focused-midcap-30-rp,MMO025
1,1,Max Financial,Manufacturing,"2,061,121.00",125.62,9.2,,newmotilal-focused-midcap-30-rp,MMO025
2,2,TVS Motor,Automotive,"1,722,299.00",100.26,7.34,,newmotilal-focused-midcap-30-rp,MMO025
3,3,Bajaj Finance,Banking & Financial Services,"469,801.00",80.01,5.86,,newmotilal-focused-midcap-30-rp,MMO025
4,4,Ramco Cements,Cement & Construction,"1,137,783.00",77.22,5.65,,newmotilal-focused-midcap-30-rp,MMO025
5,5,Amara Raja Batt,Automotive,"861,809.00",71.91,5.26,,newmotilal-focused-midcap-30-rp,MMO025
6,6,Tata Elxsi,Information Technology,"405,173.00",71.03,5.2,,newmotilal-focused-midcap-30-rp,MMO025
7,7,DCB Bank,Banking & Financial Services,"3,367,489.00",65.83,4.82,,newmotilal-focused-midcap-30-rp,MMO025
8,8,Jubilant Life,Pharmaceuticals,"917,565.00",65.6,4.8,,newmotilal-focused-midcap-30-rp,MMO025
9,9,Alkem Lab,Pharmaceuticals,"317,459.00",58.16,4.26,,newmotilal-focused-midcap-30-rp,MMO025
10,10,Havells India,Engineering & Capital Goods,"1,130,522.00",53.45,3.91,,newmotilal-focused-midcap-30-rp,MMO025
11,11,Bayer CropScien,Chemicals,"109,987.00",51.64,3.78,,newmotilal-focused-midcap-30-rp,MMO025
12,12,MCX India,Miscellaneous,"454,546.00",50.95,3.73,,newmotilal-focused-midcap-30-rp,MMO025
13,13,WABCO India,Automotive,"91,535.00",50.01,3.66,,newmotilal-focused-midcap-30-rp,MMO025
14,14,PNB Housing Fin,Banking & Financial Services,"327,707.00",49.21,3.6,,newmotilal-focused-midcap-30-rp,MMO025
15,15,Timken,Engineering & Capital Goods,"655,501.00",47.19,3.45,,newmotilal-focused-midcap-30-rp,MMO025
16,16,Ajanta Pharma,Pharmaceuticals,"273,568.00",38.22,2.8,,newmotilal-focused-midcap-30-rp,MMO025
17,17,Force Motors,Automotive,"92,468.00",37.28,2.73,,newmotilal-focused-midcap-30-rp,MMO025
18,18,Triveni Turbine,Engineering & Capital Goods,"2,541,132.00",36.25,2.65,,newmotilal-focused-midcap-30-rp,MMO025
19,19,Quess Corp,Engineering & Capital Goods,"258,690.00",23.19,1.7,,newmotilal-focused-midcap-30-rp,MMO025
20,20,AU Small Financ,Banking & Financial Services,"356,641.00",21.06,1.54,,newmotilal-focused-midcap-30-rp,MMO025
21,21,Eris Life,Pharmaceuticals,"192,017.00",11.55,0.85,,newmotilal-focused-midcap-30-rp,MMO025
