,Unnamed: 0,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,0,Westlife Dev,Banking & Financial Services,"1,805,374.00",47.09,6.45,,newsbi-small-midcap-fund-direct,MSA031
1,1,Solar Ind,Chemicals,"470,000.00",42.2,5.78,,newsbi-small-midcap-fund-direct,MSA031
2,2,Orient Refract,Cement & Construction,"2,500,000.00",37.1,5.08,,newsbi-small-midcap-fund-direct,MSA031
3,3,Relaxo Footwear,Consumer Non-durables,"700,000.00",33.28,4.56,,newsbi-small-midcap-fund-direct,MSA031
4,4,Elgi Equipments,Engineering & Capital Goods,"1,400,000.00",33.1,4.54,,newsbi-small-midcap-fund-direct,MSA031
5,5,Atul,Chemicals,"150,000.00",32.98,4.52,,newsbi-small-midcap-fund-direct,MSA031
6,6,Kirloskar Ind,Engineering & Capital Goods,"770,000.00",31.08,4.26,,newsbi-small-midcap-fund-direct,MSA031
7,7,Graphite India,Engineering & Capital Goods,"1,500,000.00",30.89,4.23,,newsbi-small-midcap-fund-direct,MSA031
8,8,Greenply Ind,Miscellaneous,"1,100,000.00",29.43,4.03,,newsbi-small-midcap-fund-direct,MSA031
9,9,Hawkins Cooker,Consumer Durables,"95,619.00",28.49,3.9,,newsbi-small-midcap-fund-direct,MSA031
10,10,Gabriel India,Automotive,"1,500,000.00",23.96,3.28,,newsbi-small-midcap-fund-direct,MSA031
11,11,Sheela Foam,Miscellaneous,"170,000.00",22.77,3.12,,newsbi-small-midcap-fund-direct,MSA031
12,12,Thangamayil,Services,"700,000.00",22.59,3.1,,newsbi-small-midcap-fund-direct,MSA031
13,13,NESCO,Conglomerates,"90,000.00",22.15,3.04,,newsbi-small-midcap-fund-direct,MSA031
14,14,Power Mech,Engineering & Capital Goods,"370,000.00",21.7,2.97,,newsbi-small-midcap-fund-direct,MSA031
15,15,Ganesha Ecosph,Manufacturing,"606,690.00",21.26,2.91,,newsbi-small-midcap-fund-direct,MSA031
16,16,Fairchem Spec,Chemicals,"470,000.00",21.11,2.89,,newsbi-small-midcap-fund-direct,MSA031
17,17,Avanti Feeds,Miscellaneous,"110,000.00",17.99,2.47,,newsbi-small-midcap-fund-direct,MSA031
18,18,AU Small Financ,Banking & Financial Services,"290,000.00",17.13,2.35,,newsbi-small-midcap-fund-direct,MSA031
19,19,Rajratan Global,Automotive,"270,000.00",16.74,2.29,,newsbi-small-midcap-fund-direct,MSA031
20,20,Divis Labs,Pharmaceuticals,"247,552.00",16.66,2.28,,newsbi-small-midcap-fund-direct,MSA031
21,21,Gufic Bio,Pharmaceuticals,"2,170,000.00",15.79,2.16,,newsbi-small-midcap-fund-direct,MSA031
22,22,Himadri Special,Chemicals,"1,710,000.00",14.79,2.03,,newsbi-small-midcap-fund-direct,MSA031
23,23,UFO Moviez,Media & Entertainment,"390,000.00",14.68,2.01,,newsbi-small-midcap-fund-direct,MSA031
24,24,KCP,Cement & Construction,"1,364,800.00",14.12,1.94,,newsbi-small-midcap-fund-direct,MSA031
25,25,Allcargo,Services,"700,000.00",12.01,1.65,,newsbi-small-midcap-fund-direct,MSA031
26,26,Garware Wall,Manufacturing,"133,500.00",11.85,1.62,,newsbi-small-midcap-fund-direct,MSA031
27,27,Laurus Labs,Pharmaceuticals,"157,768.00",9.16,1.26,,newsbi-small-midcap-fund-direct,MSA031
28,28,TV TodayNetwork,Media & Entertainment,"365,440.00",8.82,1.21,,newsbi-small-midcap-fund-direct,MSA031
29,29,V2 Retail,Services,"300,000.00",7.45,1.02,,newsbi-small-midcap-fund-direct,MSA031
30,30,Hatsun Agro,Food & Beverages,"57,829.00",3.62,0.5,,newsbi-small-midcap-fund-direct,MSA031
