,Unnamed: 0,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,0,India Cements,Cement & Construction,"14,963.00",0.3,4.09,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
1,1,CenturyPlyboard,Miscellaneous,"9,862.00",0.29,4.02,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
2,2,Heritage Foods,Food & Beverages,"2,466.00",0.27,3.79,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
3,3,Rane Holdings,Automotive,"1,495.00",0.26,3.62,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
4,4,J. K. Cement,Cement & Construction,"2,628.00",0.25,3.42,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
5,5,Himatsingka Sei,Manufacturing,"7,209.00",0.24,3.39,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
6,6,Blue Star,Consumer Durables,"4,063.00",0.24,3.38,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
7,7,DCB Bank,Banking & Financial Services,"12,039.00",0.24,3.31,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
8,8,Grindwell Norto,Engineering & Capital Goods,"5,885.00",0.24,3.27,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
9,9,Navin Fluorine,Chemicals,"3,834.00",0.23,3.22,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
10,10,V-Guard Ind,Miscellaneous,"13,493.00",0.23,3.22,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
11,11,Timken,Engineering & Capital Goods,"3,431.00",0.23,3.17,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
12,12,MM Forgings,Manufacturing,"3,586.00",0.22,3.04,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
13,13,PVR,Media & Entertainment,"1,451.00",0.2,2.83,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
14,14,Ashoka Buildcon,Cement & Construction,"10,762.00",0.2,2.75,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
15,15,Ador Welding,Engineering & Capital Goods,"4,788.00",0.18,2.49,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
16,16,Minda Ind,Automotive,"2,693.00",0.17,2.39,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
17,17,Subros,Automotive,"6,015.00",0.15,2.01,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
18,18,PNC Infratech,Retail & Real Estate,"9,960.00",0.14,1.97,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
19,19,Praj Industries,Engineering & Capital Goods,"18,768.00",0.14,1.96,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
20,20,HSIL,Cement & Construction,"3,877.00",0.14,1.96,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
21,21,NCC,Cement & Construction,"15,183.00",0.13,1.84,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
22,22,Repco Home,Banking & Financial Services,"1,445.00",0.12,1.65,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
23,23,Techno Electric,Engineering & Capital Goods,"3,047.00",0.11,1.59,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
24,24,Shanthi Gears,Engineering & Capital Goods,"7,890.00",0.11,1.56,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
25,25,KSB Pumps,Engineering & Capital Goods,"1,426.00",0.11,1.5,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
26,26,Salzer Electro,Engineering & Capital Goods,"5,333.00",0.11,1.47,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
27,27,Navneet,Miscellaneous,"5,740.00",0.1,1.42,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
28,28,Premier Explo,Chemicals,"2,071.00",0.1,1.4,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
29,29,Johnson Control,Consumer Durables,474.00,0.09,1.31,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
30,30,NIIT Tech,Information Technology,"1,601.00",0.09,1.28,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
31,31,PTC India,Services,"9,338.00",0.09,1.25,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
32,32,Va Tech Wabag,Engineering & Capital Goods,"1,303.00",0.09,1.24,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
33,33,WPIL,Engineering & Capital Goods,"1,862.00",0.08,1.17,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
34,34,Ujjivan Financi,Banking & Financial Services,"2,614.00",0.08,1.12,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
35,35,Texmaco Rail,Engineering & Capital Goods,"8,891.00",0.08,1.08,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
36,36,Take Solutions,Information Technology,"4,662.00",0.08,1.06,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
37,37,Dollar Ind,Manufacturing,345.00,0.07,1.0,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
38,38,Heidelberg Cem,Cement & Construction,"5,778.00",0.07,1.0,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
39,39,HT Media,Media & Entertainment,"8,662.00",0.07,0.97,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
40,40,Gateway Distri,Miscellaneous,"2,535.00",0.07,0.91,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
41,41,Gujarat Pipavav,Services,"4,057.00",0.06,0.84,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
42,42,Clariant Chem,Chemicals,945.00,0.06,0.83,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
43,43,Mcleod,Food & Beverages,"3,409.00",0.06,0.82,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
44,44,ZF Steering Gea,Automotive,460.00,0.06,0.78,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
45,45,S Chand and Co,Miscellaneous,"1,199.00",0.06,0.78,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
46,46,RPP Infra Proj,Cement & Construction,"2,075.00",0.05,0.69,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
47,47,Kennametal,Engineering & Capital Goods,549.00,0.03,0.47,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
48,48,GNA Axles,Automotive,"1,448.00",0.03,0.46,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
49,49,Madhucon Proj,Cement & Construction,"7,980.00",0.03,0.42,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
50,50,PSP Projects,Cement & Construction,856.00,0.02,0.32,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
51,51,ITD Cementation,Cement & Construction,"1,109.00",0.02,0.26,,newsundaram-select-micro-cap-sr-5-dp-g,MSN1037
