,Unnamed: 0,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,0,L&T Finance,Banking & Financial Services,"115,648.00",2.02,4.4,,newtaurus-discovery-fund,MCM041
1,1,Bharat Elec,Manufacturing,"107,688.00",1.93,4.19,,newtaurus-discovery-fund,MCM041
2,2,Tata Chemicals,Chemicals,"30,451.00",1.88,4.1,,newtaurus-discovery-fund,MCM041
3,3,Godrej Ind,Consumer Non-durables,"27,331.00",1.81,3.94,,newtaurus-discovery-fund,MCM041
4,4,South Ind Bk,Banking & Financial Services,"501,040.00",1.51,3.29,,newtaurus-discovery-fund,MCM041
5,5,Apollo Tyres,Automotive,"53,256.00",1.42,3.09,,newtaurus-discovery-fund,MCM041
6,6,Container Corp,Services,"11,210.00",1.29,2.8,,newtaurus-discovery-fund,MCM041
7,7,NCC,Cement & Construction,"135,242.00",1.2,2.62,,newtaurus-discovery-fund,MCM041
8,8,REC,Banking & Financial Services,"64,918.00",1.14,2.47,,newtaurus-discovery-fund,MCM041
9,9,Guj State Petro,Oil & Gas,"58,539.00",1.14,2.47,,newtaurus-discovery-fund,MCM041
10,10,Motherson Sumi,Automotive,"33,986.00",1.1,2.4,,newtaurus-discovery-fund,MCM041
11,11,MRF,Automotive,157.00,1.09,2.37,,newtaurus-discovery-fund,MCM041
12,12,Siemens,Engineering & Capital Goods,"7,392.00",1.07,2.34,,newtaurus-discovery-fund,MCM041
13,13,Hind Zinc,Metals & Mining,"35,150.00",0.99,2.16,,newtaurus-discovery-fund,MCM041
14,14,IGL,Oil & Gas,"8,142.00",0.96,2.09,,newtaurus-discovery-fund,MCM041
15,15,Godrej Prop,Retail & Real Estate,"18,291.00",0.96,2.08,,newtaurus-discovery-fund,MCM041
16,16,Grasim,Conglomerates,"8,868.00",0.95,2.06,,newtaurus-discovery-fund,MCM041
17,17,Ramco Cements,Cement & Construction,"13,934.00",0.95,2.06,,newtaurus-discovery-fund,MCM041
18,18,Colgate,Consumer Non-durables,"8,693.00",0.94,2.04,,newtaurus-discovery-fund,MCM041
19,19,Exide Ind,Automotive,"42,910.00",0.93,2.03,,newtaurus-discovery-fund,MCM041
20,20,KSB Pumps,Engineering & Capital Goods,"12,249.00",0.91,1.98,,newtaurus-discovery-fund,MCM041
21,21,Ashok Leyland,Automotive,"83,011.00",0.91,1.98,,newtaurus-discovery-fund,MCM041
22,22,Piramal Enter,Pharmaceuticals,"2,963.00",0.87,1.9,,newtaurus-discovery-fund,MCM041
23,23,Tata Motors (D),Automotive,"61,334.00",0.86,1.87,,newtaurus-discovery-fund,MCM041
24,24,Sundaram Fin,Banking & Financial Services,"4,945.00",0.83,1.81,,newtaurus-discovery-fund,MCM041
25,25,Manappuram Fin,Banking & Financial Services,"75,362.00",0.8,1.75,,newtaurus-discovery-fund,MCM041
26,26,Muthoot Finance,Banking & Financial Services,"15,892.00",0.75,1.64,,newtaurus-discovery-fund,MCM041
27,27,Bajaj Finserv,Banking & Financial Services,"1,461.00",0.73,1.59,,newtaurus-discovery-fund,MCM041
28,28,Vedanta,Metals & Mining,"25,708.00",0.72,1.56,,newtaurus-discovery-fund,MCM041
29,29,NALCO,Metals & Mining,"102,740.00",0.72,1.56,,newtaurus-discovery-fund,MCM041
30,30,SAIL,Metals & Mining,"108,538.00",0.69,1.49,,newtaurus-discovery-fund,MCM041
31,31,Apollo Hospital,Services,"5,421.00",0.68,1.48,,newtaurus-discovery-fund,MCM041
32,32,Tata Steel,Metals & Mining,"12,000.00",0.68,1.48,,newtaurus-discovery-fund,MCM041
33,33,PNB,Banking & Financial Services,"40,826.00",0.66,1.44,,newtaurus-discovery-fund,MCM041
34,34,PTC India,Services,"53,177.00",0.64,1.4,,newtaurus-discovery-fund,MCM041
35,35,CESC,Utilities,"6,274.00",0.59,1.29,,newtaurus-discovery-fund,MCM041
36,36,Ceat,Automotive,"3,139.00",0.59,1.28,,newtaurus-discovery-fund,MCM041
37,37,Bharat Bijlee,Engineering & Capital Goods,"4,479.00",0.59,1.27,,newtaurus-discovery-fund,MCM041
38,38,Indian Hotels,Services,"47,092.00",0.58,1.27,,newtaurus-discovery-fund,MCM041
39,39,Dabur India,Consumer Non-durables,"18,629.00",0.58,1.26,,newtaurus-discovery-fund,MCM041
40,40,Petronet LNG,Oil & Gas,"26,893.00",0.55,1.19,,newtaurus-discovery-fund,MCM041
41,41,Canara Bank,Banking & Financial Services,"14,286.00",0.53,1.14,,newtaurus-discovery-fund,MCM041
42,42,Nava Bharat Ven,Conglomerates,"37,887.00",0.52,1.13,,newtaurus-discovery-fund,MCM041
43,43,Trent,Retail & Real Estate,"17,075.00",0.46,1.0,,newtaurus-discovery-fund,MCM041
44,44,Tata Power,Utilities,"54,032.00",0.44,0.96,,newtaurus-discovery-fund,MCM041
45,45,NHPC,Utilities,"141,662.00",0.43,0.94,,newtaurus-discovery-fund,MCM041
46,46,Rallis India,Chemicals,"17,237.00",0.41,0.9,,newtaurus-discovery-fund,MCM041
47,47,Automotive Axle,Automotive,"5,675.00",0.41,0.89,,newtaurus-discovery-fund,MCM041
48,48,IndusInd Bank,Banking & Financial Services,"2,401.00",0.39,0.86,,newtaurus-discovery-fund,MCM041
49,49,GSFC,Chemicals,"26,114.00",0.36,0.78,,newtaurus-discovery-fund,MCM041
50,50,Bank of Baroda,Banking & Financial Services,"18,859.00",0.31,0.68,,newtaurus-discovery-fund,MCM041
51,51,Rel Capital,Banking & Financial Services,"3,331.00",0.24,0.52,,newtaurus-discovery-fund,MCM041
52,52,Havells India,Engineering & Capital Goods,"1,745.00",0.08,0.18,,newtaurus-discovery-fund,MCM041
