,Unnamed: 0,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,0,Bajaj Holdings,Banking & Financial Services,"320,028.00",77.48,7.49,,newtempleton-i-equity-income-dir,MTE297
1,1,HDFC Bank,Banking & Financial Services,"348,200.00",62.13,6.0,,newtempleton-i-equity-income-dir,MTE297
2,2,Tata Chemicals,Chemicals,"871,934.00",54.05,5.22,,newtempleton-i-equity-income-dir,MTE297
3,3,ICICI Bank,Banking & Financial Services,"1,627,100.00",49.24,4.76,,newtempleton-i-equity-income-dir,MTE297
4,4,Infosys,Information Technology,"420,000.00",42.47,4.1,,newtempleton-i-equity-income-dir,MTE297
5,5,Reliance,Oil & Gas,"255,300.00",41.24,3.98,,newtempleton-i-equity-income-dir,MTE297
6,6,Yes Bank,Banking & Financial Services,"219,500.00",39.72,3.84,,newtempleton-i-equity-income-dir,MTE297
7,7,J. K. Cement,Cement & Construction,"376,875.00",38.37,3.71,,newtempleton-i-equity-income-dir,MTE297
8,8,Apollo Tyres,Automotive,"1,427,100.00",38.03,3.67,,newtempleton-i-equity-income-dir,MTE297
9,9,Tata Motors (D),Automotive,"1,458,906.00",38.0,3.67,,newtempleton-i-equity-income-dir,MTE297
10,10,Tata Inv Corp,Banking & Financial Services,"408,557.00",36.35,3.51,,newtempleton-i-equity-income-dir,MTE297
11,11,Federal Bank,Banking & Financial Services,"2,837,300.00",32.7,3.16,,newtempleton-i-equity-income-dir,MTE297
12,12,Biocon,Pharmaceuticals,"652,500.00",25.1,2.43,,newtempleton-i-equity-income-dir,MTE297
13,13,Edelweiss,Banking & Financial Services,"1,043,473.00",21.39,2.07,,newtempleton-i-equity-income-dir,MTE297
14,14,Equitas Holding,Banking & Financial Services,"1,180,201.00",19.77,1.91,,newtempleton-i-equity-income-dir,MTE297
15,15,Glenmark,Pharmaceuticals,"282,600.00",19.7,1.9,,newtempleton-i-equity-income-dir,MTE297
16,16,Dalmia Bharat,Cement & Construction,"70,400.00",18.72,1.81,,newtempleton-i-equity-income-dir,MTE297
17,17,Eveready Ind,Consumer Non-durables,"586,400.00",18.05,1.74,,newtempleton-i-equity-income-dir,MTE297
18,18,Vedanta,Metals & Mining,"619,718.00",17.34,1.68,,newtempleton-i-equity-income-dir,MTE297
19,19,Redington,Information Technology,"1,155,420.00",17.22,1.66,,newtempleton-i-equity-income-dir,MTE297
20,20,Coal India,Metals & Mining,"572,000.00",14.25,1.38,,newtempleton-i-equity-income-dir,MTE297
21,21,Vardhman Text,Manufacturing,"116,434.00",14.19,1.37,,newtempleton-i-equity-income-dir,MTE297
22,22,ONGC,Oil & Gas,"766,050.00",12.98,1.25,,newtempleton-i-equity-income-dir,MTE297
23,23,Balkrishna Ind,Automotive,"53,700.00",8.73,0.84,,newtempleton-i-equity-income-dir,MTE297
24,24,GE Shipping,Services,"192,709.00",7.66,0.74,,newtempleton-i-equity-income-dir,MTE297
25,25,Trident,Manufacturing,"409,633.00",3.38,0.33,,newtempleton-i-equity-income-dir,MTE297
26,26,Vedanta,Metals & Mining,"1,354,872.00",1.35,0.13,,newtempleton-i-equity-income-dir,MTE297
