,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,Kansai Nerolac,Chemicals,"11,600.00",0.53,4.76,,sahara-wealth-plus-vpo,MFI019
1,Motherson Sumi,Automotive,"13,500.00",0.44,3.93,,sahara-wealth-plus-vpo,MFI019
2,KPR Mill,Manufacturing,"5,400.00",0.43,3.84,,sahara-wealth-plus-vpo,MFI019
3,Mold-Tek Pack,Manufacturing,"15,200.00",0.43,3.82,,sahara-wealth-plus-vpo,MFI019
4,Kotak Mahindra,Banking & Financial Services,"4,100.00",0.42,3.75,,sahara-wealth-plus-vpo,MFI019
5,Britannia,Food & Beverages,"1,000.00",0.39,3.52,,sahara-wealth-plus-vpo,MFI019
6,BEML,Engineering & Capital Goods,"2,250.00",0.39,3.48,,sahara-wealth-plus-vpo,MFI019
7,PTC India Fin,Banking & Financial Services,"93,000.00",0.37,3.34,,sahara-wealth-plus-vpo,MFI019
8,Bajaj Auto,Automotive,"1,300.00",0.37,3.27,,sahara-wealth-plus-vpo,MFI019
9,Coromandel Int,Chemicals,"8,000.00",0.36,3.22,,sahara-wealth-plus-vpo,MFI019
10,M&M,Automotive,"2,500.00",0.35,3.14,,sahara-wealth-plus-vpo,MFI019
11,Exide Ind,Automotive,"16,000.00",0.35,3.12,,sahara-wealth-plus-vpo,MFI019
12,Bajaj Finance,Banking & Financial Services,"2,000.00",0.34,3.05,,sahara-wealth-plus-vpo,MFI019
13,City Union Bank,Banking & Financial Services,"18,700.00",0.33,2.96,,sahara-wealth-plus-vpo,MFI019
14,Marico,Consumer Non-durables,"9,500.00",0.32,2.85,,sahara-wealth-plus-vpo,MFI019
15,Bharat Elec,Manufacturing,"16,700.00",0.3,2.68,,sahara-wealth-plus-vpo,MFI019
16,Adani Ports,Engineering & Capital Goods,"7,500.00",0.3,2.66,,sahara-wealth-plus-vpo,MFI019
17,Greaves Cotton,Engineering & Capital Goods,"18,000.00",0.29,2.59,,sahara-wealth-plus-vpo,MFI019
18,IndusInd Bank,Banking & Financial Services,"1,750.00",0.29,2.58,,sahara-wealth-plus-vpo,MFI019
19,Federal Bank,Banking & Financial Services,"24,500.00",0.28,2.53,,sahara-wealth-plus-vpo,MFI019
20,Atul,Chemicals,"1,250.00",0.27,2.46,,sahara-wealth-plus-vpo,MFI019
21,HCL Tech,Information Technology,"3,074.00",0.27,2.46,,sahara-wealth-plus-vpo,MFI019
22,Emami,Consumer Non-durables,"2,400.00",0.27,2.38,,sahara-wealth-plus-vpo,MFI019
23,Supreme Ind,Manufacturing,"2,250.00",0.25,2.26,,sahara-wealth-plus-vpo,MFI019
24,CARE,Miscellaneous,"1,500.00",0.24,2.18,,sahara-wealth-plus-vpo,MFI019
25,DB Corp,Media & Entertainment,"6,100.00",0.23,2.05,,sahara-wealth-plus-vpo,MFI019
26,Techno Electric,Engineering & Capital Goods,"6,086.00",0.22,2.01,,sahara-wealth-plus-vpo,MFI019
27,SRF,Manufacturing,"1,450.00",0.22,1.97,,sahara-wealth-plus-vpo,MFI019
28,Gujarat Gas,Oil & Gas,"2,839.00",0.22,1.93,,sahara-wealth-plus-vpo,MFI019
29,Dr Lal PathLab,Pharmaceuticals,"2,400.00",0.2,1.79,,sahara-wealth-plus-vpo,MFI019
30,Bank of Baroda,Banking & Financial Services,"10,000.00",0.17,1.49,,sahara-wealth-plus-vpo,MFI019
31,Alkem Lab,Pharmaceuticals,900.00,0.16,1.48,,sahara-wealth-plus-vpo,MFI019
32,Advanced Enzyme,Pharmaceuticals,"5,000.00",0.16,1.41,,sahara-wealth-plus-vpo,MFI019
33,Sun Pharma,Pharmaceuticals,"2,900.00",0.15,1.38,,sahara-wealth-plus-vpo,MFI019
34,Tech Mahindra,Information Technology,"3,800.00",0.15,1.31,,sahara-wealth-plus-vpo,MFI019
35,AIA Engineering,Engineering & Capital Goods,"1,000.00",0.15,1.3,,sahara-wealth-plus-vpo,MFI019
36,Arrow Greentech,Manufacturing,"2,070.00",0.11,1.03,,sahara-wealth-plus-vpo,MFI019
37,Tata Steel,Metals & Mining,"1,600.00",0.09,0.81,,sahara-wealth-plus-vpo,MFI019
38,AU Small Financ,Banking & Financial Services,140.00,0.01,0.07,,sahara-wealth-plus-vpo,MFI019
