,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,KSB Pumps,Engineering & Capital Goods,"69,991.00",5.32,4.77,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
1,Johnson Control,Consumer Durables,"26,202.00",5.23,4.69,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
2,Grindwell Norto,Engineering & Capital Goods,"129,189.00",5.18,4.65,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
3,Timken,Engineering & Capital Goods,"69,505.00",4.64,4.16,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
4,Heidelberg Cem,Cement & Construction,"350,539.00",4.38,3.93,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
5,BASF,Chemicals,"22,908.00",4.08,3.66,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
6,Ingersoll Rand,Engineering & Capital Goods,"44,266.00",3.73,3.35,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
7,DCB Bank,Banking & Financial Services,"185,844.00",3.69,3.31,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
8,J. K. Cement,Cement & Construction,"39,147.00",3.68,3.3,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
9,NRB Bearings,Engineering & Capital Goods,"264,487.00",3.39,3.04,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
10,Honeywell Autom,Telecommunication,"2,904.00",3.39,3.04,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
11,Bayer CropScien,Chemicals,"7,116.00",3.3,2.96,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
12,Mahindra CIE,Manufacturing,"132,113.00",3.22,2.89,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
13,Elantas Beck,Chemicals,"16,327.00",3.19,2.86,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
14,Vesuvius India,Cement & Construction,"24,063.00",3.03,2.72,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
15,Schneider Infra,Utilities,"235,868.00",3.02,2.71,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
16,Minda Ind,Automotive,"39,828.00",2.55,2.29,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
17,Ador Welding,Engineering & Capital Goods,"65,602.00",2.46,2.21,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
18,Blue Star,Consumer Durables,"40,267.00",2.42,2.17,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
19,Take Solutions,Information Technology,"131,038.00",2.15,1.93,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
20,Subros,Automotive,"87,774.00",2.12,1.9,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
21,Goodyear,Automotive,"23,149.00",2.05,1.84,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
22,INOX Leisure,Media & Entertainment,"67,657.00",1.85,1.66,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
23,ITD Cementation,Cement & Construction,"108,651.00",1.84,1.65,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
24,Salzer Electro,Engineering & Capital Goods,"91,848.00",1.83,1.64,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
25,Novartis India,Pharmaceuticals,"28,408.00",1.78,1.6,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
26,HSIL,Cement & Construction,"48,848.00",1.78,1.6,,sundaram-select-micro-cap-sr-1-rp-g,MSN795
