,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,KEI Industries,Engineering & Capital Goods,"3,962.00",0.09,4.82,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
1,India Cements,Cement & Construction,"3,829.00",0.08,3.96,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
2,Astra Microwave,Telecommunication,"5,253.00",0.07,3.9,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
3,Carborundum,Engineering & Capital Goods,"2,208.00",0.07,3.76,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
4,Healthcare Glob,Services,"2,606.00",0.07,3.44,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
5,Blue Star,Consumer Durables,"1,077.00",0.06,3.38,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
6,V-Guard Ind,Miscellaneous,"3,675.00",0.06,3.32,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
7,Himatsingka Sei,Manufacturing,"1,863.00",0.06,3.32,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
8,CenturyPlyboard,Miscellaneous,"1,928.00",0.06,2.97,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
9,Grindwell Norto,Engineering & Capital Goods,"1,258.00",0.05,2.65,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
10,Shanthi Gears,Engineering & Capital Goods,"3,514.00",0.05,2.63,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
11,Kalpataru Power,Engineering & Capital Goods,"1,504.00",0.05,2.56,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
12,Ashoka Buildcon,Cement & Construction,"2,628.00",0.05,2.54,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
13,Ador Welding,Engineering & Capital Goods,"1,266.00",0.05,2.48,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
14,Minda Ind,Automotive,713.00,0.05,2.39,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
15,Rane Holdings,Automotive,259.00,0.05,2.36,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
16,Heidelberg Cem,Cement & Construction,"3,191.00",0.04,2.09,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
17,Subros,Automotive,"1,604.00",0.04,2.03,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
18,PVR,Media & Entertainment,275.00,0.04,2.03,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
19,Techno Electric,Engineering & Capital Goods,"1,018.00",0.04,2.0,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
20,ITD Cementation,Cement & Construction,"2,239.00",0.04,1.99,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
21,PNC Infratech,Retail & Real Estate,"2,641.00",0.04,1.98,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
22,Navin Fluorine,Chemicals,610.00,0.04,1.94,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
23,NCC,Cement & Construction,"4,004.00",0.04,1.83,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
24,Repco Home,Banking & Financial Services,387.00,0.03,1.67,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
25,PTC India,Services,"3,304.00",0.03,1.67,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
26,Heritage Foods,Food & Beverages,287.00,0.03,1.66,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
27,MM Forgings,Manufacturing,474.00,0.03,1.52,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
28,Navneet,Miscellaneous,"1,502.00",0.03,1.41,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
29,Premier Explo,Chemicals,542.00,0.03,1.39,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
30,Texmaco Rail,Engineering & Capital Goods,"2,987.00",0.03,1.37,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
31,Gateway Distri,Miscellaneous,"1,015.00",0.03,1.37,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
32,Johnson Control,Consumer Durables,128.00,0.03,1.34,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
33,PSP Projects,Cement & Construction,928.00,0.03,1.31,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
34,Praj Industries,Engineering & Capital Goods,"3,327.00",0.03,1.31,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
35,NIIT Tech,Information Technology,427.00,0.02,1.29,,sundaram-select-micro-cap-sr-10-dp-g,MSN1201
