,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,Sundaram-Clayto,Automotive,"33,632.00",14.77,3.52,,sundaram-select-midcap-direct,MSN568
1,Bajaj Finserv,Banking & Financial Services,"32,321.00",13.3,3.17,,sundaram-select-midcap-direct,MSN568
2,UPL,Chemicals,"154,301.00",12.97,3.09,,sundaram-select-midcap-direct,MSN568
3,Schaeffler Ind,Engineering & Capital Goods,"28,677.00",12.8,3.05,,sundaram-select-midcap-direct,MSN568
4,Ramco Cements,Cement & Construction,"169,596.00",11.75,2.8,,sundaram-select-midcap-direct,MSN568
5,Federal Bank,Banking & Financial Services,"956,140.00",10.79,2.57,,sundaram-select-midcap-direct,MSN568
6,IGL,Oil & Gas,"96,592.00",10.24,2.44,,sundaram-select-midcap-direct,MSN568
7,Arvind,Manufacturing,"275,034.00",9.9,2.36,,sundaram-select-midcap-direct,MSN568
8,SRF,Manufacturing,"63,827.00",9.82,2.34,,sundaram-select-midcap-direct,MSN568
9,Mahindra CIE,Manufacturing,"351,151.00",8.56,2.04,,sundaram-select-midcap-direct,MSN568
10,LIC Housing Fin,Banking & Financial Services,"114,573.00",8.52,2.03,,sundaram-select-midcap-direct,MSN568
11,Exide Ind,Automotive,"385,412.00",8.48,2.02,,sundaram-select-midcap-direct,MSN568
12,Cholamandalam,Banking & Financial Services,"75,760.00",8.48,2.02,,sundaram-select-midcap-direct,MSN568
13,Honeywell Autom,Telecommunication,"7,266.00",8.48,2.02,,sundaram-select-midcap-direct,MSN568
14,Karur Vysya,Banking & Financial Services,"575,633.00",8.31,1.98,,sundaram-select-midcap-direct,MSN568
15,DCB Bank,Banking & Financial Services,"416,489.00",8.27,1.97,,sundaram-select-midcap-direct,MSN568
16,Indian Bank,Banking & Financial Services,"291,068.00",8.18,1.95,,sundaram-select-midcap-direct,MSN568
17,Apollo Tyres,Automotive,"329,111.00",7.93,1.89,,sundaram-select-midcap-direct,MSN568
18,Timken,Engineering & Capital Goods,"114,501.00",7.64,1.82,,sundaram-select-midcap-direct,MSN568
19,M&M Financial,Banking & Financial Services,"215,210.00",7.43,1.77,,sundaram-select-midcap-direct,MSN568
20,Emami,Consumer Non-durables,"59,851.00",6.42,1.53,,sundaram-select-midcap-direct,MSN568
21,Bayer CropScien,Chemicals,"13,760.00",6.38,1.52,,sundaram-select-midcap-direct,MSN568
22,WABCO India,Automotive,"11,475.00",6.34,1.51,,sundaram-select-midcap-direct,MSN568
23,Shriram City,Banking & Financial Services,"26,414.00",6.25,1.49,,sundaram-select-midcap-direct,MSN568
24,HSIL,Cement & Construction,"164,392.00",6.0,1.43,,sundaram-select-midcap-direct,MSN568
25,CRISIL,Miscellaneous,"30,409.00",5.92,1.41,,sundaram-select-midcap-direct,MSN568
26,Century,Conglomerates,"53,015.00",5.83,1.39,,sundaram-select-midcap-direct,MSN568
27,IIFL Holdings,Banking & Financial Services,"94,437.00",5.75,1.37,,sundaram-select-midcap-direct,MSN568
28,Coromandel Int,Chemicals,"136,507.00",5.71,1.36,,sundaram-select-midcap-direct,MSN568
29,Whirlpool,Consumer Durables,"50,157.00",5.71,1.36,,sundaram-select-midcap-direct,MSN568
30,Apollo Hospital,Services,"43,417.00",5.54,1.32,,sundaram-select-midcap-direct,MSN568
31,Healthcare Glob,Services,"216,491.00",5.46,1.3,,sundaram-select-midcap-direct,MSN568
32,PVR,Media & Entertainment,"38,155.00",5.37,1.28,,sundaram-select-midcap-direct,MSN568
33,Mahindra Holida,Services,"136,978.00",5.33,1.27,,sundaram-select-midcap-direct,MSN568
34,Trent,Retail & Real Estate,"221,808.00",5.25,1.25,,sundaram-select-midcap-direct,MSN568
