,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,Bajaj Holdings,Banking & Financial Services,"320,028.00",77.48,7.49,,templeton-i-equity-income,MTE092
1,HDFC Bank,Banking & Financial Services,"348,200.00",62.13,6.0,,templeton-i-equity-income,MTE092
2,Tata Chemicals,Chemicals,"871,934.00",54.05,5.22,,templeton-i-equity-income,MTE092
3,ICICI Bank,Banking & Financial Services,"1,627,100.00",49.24,4.76,,templeton-i-equity-income,MTE092
4,Infosys,Information Technology,"420,000.00",42.47,4.1,,templeton-i-equity-income,MTE092
5,Reliance,Oil & Gas,"255,300.00",41.24,3.98,,templeton-i-equity-income,MTE092
6,Yes Bank,Banking & Financial Services,"219,500.00",39.72,3.84,,templeton-i-equity-income,MTE092
7,J. K. Cement,Cement & Construction,"376,875.00",38.37,3.71,,templeton-i-equity-income,MTE092
8,Apollo Tyres,Automotive,"1,427,100.00",38.03,3.67,,templeton-i-equity-income,MTE092
9,Tata Motors (D),Automotive,"1,458,906.00",38.0,3.67,,templeton-i-equity-income,MTE092
10,Tata Inv Corp,Banking & Financial Services,"408,557.00",36.35,3.51,,templeton-i-equity-income,MTE092
11,Federal Bank,Banking & Financial Services,"2,837,300.00",32.7,3.16,,templeton-i-equity-income,MTE092
12,Biocon,Pharmaceuticals,"652,500.00",25.1,2.43,,templeton-i-equity-income,MTE092
13,Edelweiss,Banking & Financial Services,"1,043,473.00",21.39,2.07,,templeton-i-equity-income,MTE092
14,Equitas Holding,Banking & Financial Services,"1,180,201.00",19.77,1.91,,templeton-i-equity-income,MTE092
15,Glenmark,Pharmaceuticals,"282,600.00",19.7,1.9,,templeton-i-equity-income,MTE092
16,Dalmia Bharat,Cement & Construction,"70,400.00",18.72,1.81,,templeton-i-equity-income,MTE092
17,Eveready Ind,Consumer Non-durables,"586,400.00",18.05,1.74,,templeton-i-equity-income,MTE092
18,Vedanta,Metals & Mining,"619,718.00",17.34,1.68,,templeton-i-equity-income,MTE092
19,Redington,Information Technology,"1,155,420.00",17.22,1.66,,templeton-i-equity-income,MTE092
20,Coal India,Metals & Mining,"572,000.00",14.25,1.38,,templeton-i-equity-income,MTE092
21,Vardhman Text,Manufacturing,"116,434.00",14.19,1.37,,templeton-i-equity-income,MTE092
22,ONGC,Oil & Gas,"766,050.00",12.98,1.25,,templeton-i-equity-income,MTE092
23,Balkrishna Ind,Automotive,"53,700.00",8.73,0.84,,templeton-i-equity-income,MTE092
24,GE Shipping,Services,"192,709.00",7.66,0.74,,templeton-i-equity-income,MTE092
25,Trident,Manufacturing,"409,633.00",3.38,0.33,,templeton-i-equity-income,MTE092
26,Vedanta,Metals & Mining,"1,354,872.00",1.35,0.13,,templeton-i-equity-income,MTE092
