,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,Escorts,Automotive,"189,213.00",12.21,3.95,,uti-mid-cap-direct,MUT637
1,M&M Financial,Banking & Financial Services,"337,754.00",11.65,3.77,,uti-mid-cap-direct,MUT637
2,Bharat Forge,Manufacturing,"95,598.00",10.45,3.38,,uti-mid-cap-direct,MUT637
3,Container Corp,Services,"75,774.00",8.68,2.81,,uti-mid-cap-direct,MUT637
4,Tata Chemicals,Chemicals,"140,531.00",8.53,2.76,,uti-mid-cap-direct,MUT637
5,NCC,Cement & Construction,"973,494.00",8.5,2.75,,uti-mid-cap-direct,MUT637
6,Apollo Tyres,Automotive,"306,857.00",7.39,2.39,,uti-mid-cap-direct,MUT637
7,Federal Bank,Banking & Financial Services,"638,071.00",7.2,2.33,,uti-mid-cap-direct,MUT637
8,Exide Ind,Automotive,"311,142.00",6.86,2.22,,uti-mid-cap-direct,MUT637
9,SRF,Manufacturing,"43,729.00",6.74,2.18,,uti-mid-cap-direct,MUT637
10,IGL,Oil & Gas,"62,589.00",6.61,2.14,,uti-mid-cap-direct,MUT637
11,Power Finance,Banking & Financial Services,"531,438.00",6.52,2.11,,uti-mid-cap-direct,MUT637
12,EngineersInd,Engineering & Capital Goods,"404,145.00",6.21,2.01,,uti-mid-cap-direct,MUT637
13,MRF,Automotive,859.00,5.87,1.9,,uti-mid-cap-direct,MUT637
14,MphasiS,Information Technology,"94,336.00",5.66,1.83,,uti-mid-cap-direct,MUT637
15,Guj Flourochem,Chemicals,"76,518.00",5.66,1.83,,uti-mid-cap-direct,MUT637
16,Britannia,Food & Beverages,"14,656.00",5.41,1.75,,uti-mid-cap-direct,MUT637
17,Chambal Fert,Chemicals,"447,693.00",5.25,1.7,,uti-mid-cap-direct,MUT637
18,JSW Steel,Metals & Mining,"237,022.00",4.82,1.56,,uti-mid-cap-direct,MUT637
19,Tata Global Bev,Food & Beverages,"305,655.00",4.6,1.49,,uti-mid-cap-direct,MUT637
20,EID Parry,Food & Beverages,"144,808.00",4.48,1.45,,uti-mid-cap-direct,MUT637
21,UPL,Chemicals,"51,114.00",4.3,1.39,,uti-mid-cap-direct,MUT637
22,Dish TV,Media & Entertainment,"532,428.00",4.26,1.38,,uti-mid-cap-direct,MUT637
23,Arvind,Manufacturing,"118,515.00",4.26,1.38,,uti-mid-cap-direct,MUT637
24,Navneet,Miscellaneous,"236,198.00",4.23,1.37,,uti-mid-cap-direct,MUT637
25,Titan Company,Miscellaneous,"80,140.00",4.2,1.36,,uti-mid-cap-direct,MUT637
26,GlaxoSmith Con,Food & Beverages,"7,389.00",3.96,1.28,,uti-mid-cap-direct,MUT637
27,Voltamp Trans,Engineering & Capital Goods,"31,303.00",3.89,1.26,,uti-mid-cap-direct,MUT637
28,IndusInd Bank,Banking & Financial Services,"25,911.00",3.83,1.24,,uti-mid-cap-direct,MUT637
29,IRB Infra,Engineering & Capital Goods,"181,788.00",3.8,1.23,,uti-mid-cap-direct,MUT637
30,United Spirits,Food & Beverages,"15,849.00",3.8,1.23,,uti-mid-cap-direct,MUT637
31,JK Lakshmi Cem,Cement & Construction,"75,205.00",3.65,1.18,,uti-mid-cap-direct,MUT637
32,Deccan Cements,Cement & Construction,"30,131.00",3.49,1.13,,uti-mid-cap-direct,MUT637
33,Tube Investment,Miscellaneous,"50,928.00",3.4,1.1,,uti-mid-cap-direct,MUT637
34,Mahindra CIE,Manufacturing,"138,168.00",3.37,1.09,,uti-mid-cap-direct,MUT637
35,Coromandel Int,Chemicals,"80,280.00",3.37,1.09,,uti-mid-cap-direct,MUT637
36,Rane Holdings,Automotive,"19,142.00",3.34,1.08,,uti-mid-cap-direct,MUT637
37,Cholamandalam,Banking & Financial Services,"29,414.00",3.31,1.07,,uti-mid-cap-direct,MUT637
38,Eicher Motors,Automotive,"1,212.00",3.28,1.06,,uti-mid-cap-direct,MUT637
39,HSIL,Cement & Construction,"87,923.00",3.21,1.04,,uti-mid-cap-direct,MUT637
40,Torrent Power,Utilities,"172,220.00",3.06,0.99,,uti-mid-cap-direct,MUT637
41,MCX India,Miscellaneous,"27,545.00",3.0,0.97,,uti-mid-cap-direct,MUT637
42,Thermax,Engineering & Capital Goods,"31,683.00",2.97,0.96,,uti-mid-cap-direct,MUT637
43,Gujarat Pipavav,Services,"198,447.00",2.97,0.96,,uti-mid-cap-direct,MUT637
44,La Opala RG,Manufacturing,"57,141.00",2.94,0.95,,uti-mid-cap-direct,MUT637
45,Wonderla,Miscellaneous,"83,181.00",2.94,0.95,,uti-mid-cap-direct,MUT637
46,SBI,Banking & Financial Services,"103,898.00",2.84,0.92,,uti-mid-cap-direct,MUT637
47,NALCO,Metals & Mining,"434,326.00",2.81,0.91,,uti-mid-cap-direct,MUT637
48,Kotak Mahindra,Banking & Financial Services,"29,425.00",2.81,0.91,,uti-mid-cap-direct,MUT637
49,Orient Cement,Cement & Construction,"194,930.00",2.75,0.89,,uti-mid-cap-direct,MUT637
50,J Kumar Infra,Cement & Construction,"91,275.00",2.72,0.88,,uti-mid-cap-direct,MUT637
51,Guj Mineral,Metals & Mining,"178,697.00",2.63,0.85,,uti-mid-cap-direct,MUT637
52,Monsanto India,Chemicals,"9,470.00",2.6,0.84,,uti-mid-cap-direct,MUT637
53,Bosch,Automotive,"1,100.00",2.57,0.83,,uti-mid-cap-direct,MUT637
54,MOIL,Metals & Mining,"76,485.00",2.44,0.79,,uti-mid-cap-direct,MUT637
55,Indo Count,Manufacturing,"146,720.00",2.44,0.79,,uti-mid-cap-direct,MUT637
56,Vesuvius India,Cement & Construction,"19,016.00",2.38,0.77,,uti-mid-cap-direct,MUT637
57,IFB Industries,Consumer Durables,"33,073.00",2.38,0.77,,uti-mid-cap-direct,MUT637
58,WABCO India,Automotive,"4,313.00",2.38,0.77,,uti-mid-cap-direct,MUT637
59,Gateway Distri,Miscellaneous,"89,907.00",2.32,0.75,,uti-mid-cap-direct,MUT637
60,MRPL,Oil & Gas,"196,008.00",2.32,0.75,,uti-mid-cap-direct,MUT637
61,Finolex Cables,Telecommunication,"50,796.00",2.32,0.75,,uti-mid-cap-direct,MUT637
62,NIIT,Information Technology,"255,781.00",2.26,0.73,,uti-mid-cap-direct,MUT637
63,Automotive Axle,Automotive,"30,176.00",2.26,0.73,,uti-mid-cap-direct,MUT637
64,Ujjivan Financi,Banking & Financial Services,"64,893.00",2.01,0.65,,uti-mid-cap-direct,MUT637
65,Sun Pharma Adv,Pharmaceuticals,"63,876.00",1.95,0.63,,uti-mid-cap-direct,MUT637
66,Union Bank,Banking & Financial Services,"125,796.00",1.85,0.6,,uti-mid-cap-direct,MUT637
67,GE Shipping,Services,"44,877.00",1.82,0.59,,uti-mid-cap-direct,MUT637
68,Bajaj Corp,Consumer Non-durables,"42,950.00",1.64,0.53,,uti-mid-cap-direct,MUT637
69,Vardhman Text,Manufacturing,"14,099.00",1.61,0.52,,uti-mid-cap-direct,MUT637
70,Equitas Holding,Banking & Financial Services,"107,134.00",1.61,0.52,,uti-mid-cap-direct,MUT637
71,Guj Ind Power,Utilities,"124,531.00",1.51,0.49,,uti-mid-cap-direct,MUT637
72,SML Isuzu,Automotive,"11,766.00",1.42,0.46,,uti-mid-cap-direct,MUT637
73,Nava Bharat Ven,Conglomerates,"101,665.00",1.36,0.44,,uti-mid-cap-direct,MUT637
74,Sun Pharma,Pharmaceuticals,"19,464.00",1.08,0.35,,uti-mid-cap-direct,MUT637
75,Pricol,Automotive,"131,178.00",1.05,0.34,,uti-mid-cap-direct,MUT637
76,Indoco Remedies,Pharmaceuticals,"44,301.00",0.9,0.29,,uti-mid-cap-direct,MUT637
77,Greaves Cotton,Engineering & Capital Goods,"55,288.00",0.9,0.29,,uti-mid-cap-direct,MUT637
