Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
GRUH Finance,Banking & Financial Services,"1,961,718.00",86.93,7.62,
Page Industries,Manufacturing,"36,527.00",60.92,5.34,
City Union Bank,Banking & Financial Services,"3,781,152.00",60.92,5.34,
Motherson Sumi,Automotive,"1,577,603.00",48.37,4.24,
Bajaj Finserv,Banking & Financial Services,"106,990.00",44.04,3.86,
UPL,Chemicals,"498,210.00",41.87,3.67,
Endurance Techn,Automotive,"444,618.00",39.02,3.42,
PVR,Media & Entertainment,"275,521.00",38.79,3.40,
P and G,Consumer Non-durables,"47,357.00",38.10,3.34,
Britannia,Food & Beverages,"93,562.00",34.57,3.03,
Sundaram Fin,Banking & Financial Services,"215,614.00",34.45,3.02,
Supreme Ind,Manufacturing,"267,298.00",32.74,2.87,
Berger Paints,Chemicals,"1,163,339.00",28.64,2.51,
Cholamandalam,Banking & Financial Services,"229,406.00",25.67,2.25,
Petronet LNG,Oil & Gas,"1,147,310.00",24.76,2.17,
Balkrishna Ind,Automotive,"146,163.00",24.30,2.13,
Ceat,Automotive,"120,047.00",21.56,1.89,
Federal Bank,Banking & Financial Services,"1,850,863.00",20.88,1.83,
Ramco Cements,Cement & Construction,"276,632.00",19.17,1.68,
Cadila Health,Pharmaceuticals,"351,635.00",18.48,1.62,
MCX India,Miscellaneous,"162,658.00",17.68,1.55,
Gulf Oil Lubric,Chemicals,"215,389.00",17.46,1.53,
Igarashi Motors,Engineering & Capital Goods,"173,139.00",17.00,1.49,
V-Guard Ind,Miscellaneous,"966,718.00",16.66,1.46,
MRF,Automotive,"2,388.00",16.31,1.43,
Bajaj Finance,Banking & Financial Services,"114,568.00",15.74,1.38,
TTK Prestige,Consumer Durables,"23,115.00",15.29,1.34,
Amara Raja Batt,Automotive,"175,611.00",14.72,1.29,
Info Edge,Miscellaneous,"135,387.00",13.92,1.22,
Avenue Supermar,Retail & Real Estate,"162,460.00",13.23,1.16,
AIA Engineering,Engineering & Capital Goods,"90,807.00",12.66,1.11,
PSP Projects,Cement & Construction,"465,226.00",12.55,1.10,
Blue Dart,Services,"26,142.00",12.32,1.08,
WABCO India,Automotive,"22,312.00",12.32,1.08,
Cummins,Engineering & Capital Goods,"134,939.00",12.32,1.08,
PI Industries,Chemicals,"143,539.00",11.98,1.05,
Colgate,Consumer Non-durables,"104,685.00",11.64,1.02,
Voltas,Conglomerates,"251,669.00",11.52,1.01,
Bharat Elec,Manufacturing,"714,142.00",11.52,1.01,
Blue Star,Consumer Durables,"189,953.00",11.41,1.00,
VST Tillers,Automotive,"47,910.00",10.95,0.96,
Bharat Forge,Manufacturing,"100,314.00",10.95,0.96,
Alkem Lab,Pharmaceuticals,"53,722.00",9.93,0.87,
JK Lakshmi Cem,Cement & Construction,"195,724.00",9.47,0.83,
CDSL,Banking & Financial Services,"318,359.00",8.33,0.73,
Shankara Buildi,Miscellaneous,"98,496.00",7.99,0.70
