Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
UPL,Chemicals,588.00,0.05,5.04,
Chennai Petro,Oil & Gas,"1,102.00",0.04,3.98,
Muthoot Finance,Banking & Financial Services,854.00,0.04,3.96,
J Kumar Infra,Cement & Construction,"1,104.00",0.03,3.35,
Endurance Techn,Automotive,366.00,0.03,3.28,
Voltas,Conglomerates,659.00,0.03,3.08,
CG Consumer,Manufacturing,"1,325.00",0.03,3.05,
NALCO,Metals & Mining,"4,398.00",0.03,2.91,
Sonata,Information Technology,"1,731.00",0.03,2.70,
L&T Finance,Banking & Financial Services,"1,841.00",0.03,2.70,
KPR Mill,Manufacturing,301.00,0.02,2.52,
Atul,Chemicals,99.00,0.02,2.46,
IFGL Refractory,Cement & Construction,"1,027.00",0.02,2.41,
Johnson Control,Consumer Durables,113.00,0.02,2.31,
Gulf Oil Lubric,Chemicals,277.00,0.02,2.29,
DCB Bank,Banking & Financial Services,"1,086.00",0.02,2.20,
Edelweiss,Banking & Financial Services,"1,102.00",0.02,2.15,
Sanghi Ind,Cement & Construction,"2,499.00",0.02,2.15,
Repco Home,Banking & Financial Services,247.00,0.02,2.08,
Sanofi India,Pharmaceuticals,47.00,0.02,1.98,
Minda Corp,Automotive,"1,759.00",0.02,1.96,
Trident,Manufacturing,"2,578.00",0.02,1.94,
GNFC,Chemicals,704.00,0.02,1.93,
ICRA,Miscellaneous,44.00,0.02,1.81,
Equitas Holding,Banking & Financial Services,"1,178.00",0.02,1.80,
Federal Bank,Banking & Financial Services,"1,546.00",0.02,1.78,
Jyothy Labs,Consumer Non-durables,485.00,0.02,1.76,
PNC Infratech,Retail & Real Estate,"1,187.00",0.02,1.73,
Cyient,Information Technology,324.00,0.02,1.68,
Zydus Wellness,Food & Beverages,182.00,0.02,1.58,
Heidelberg Cem,Cement & Construction,"1,176.00",0.01,1.50,
Somany Ceramics,Cement & Construction,189.00,0.01,1.48,
Finolex Cables,Telecommunication,312.00,0.01,1.46,
VIP Industries,Manufacturing,762.00,0.01,1.42,
Berger Paints,Chemicals,537.00,0.01,1.35,
Relaxo Footwear,Consumer Non-durables,250.00,0.01,1.23,
City Union Bank,Banking & Financial Services,658.00,0.01,1.19,
Suven Life Sci,Pharmaceuticals,662.00,0.01,1.16,
JK Bank,Banking & Financial Services,"1,313.00",0.01,1.15,
Ashoka Buildcon,Cement & Construction,590.00,0.01,1.11,
Apollo Tyres,Automotive,439.00,0.01,1.08,
Indian Terrain,Manufacturing,528.00,0.01,1.07,
NIIT Tech,Information Technology,173.00,0.01,1.02,
INOX Leisure,Media & Entertainment,355.00,0.01,0.99,
CG Power ,Engineering & Capital Goods,"1,174.00",0.01,0.98,
Persistent,Information Technology,140.00,0.01,0.97,
Torrent Pharma,Pharmaceuticals,59.00,0.01,0.73,
Unichem Labs,Pharmaceuticals,238.00,0.01,0.65,
Shemaroo Ent,Media & Entertainment,117.00,0.00,0.44
