Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Solar Ind,Chemicals,"222,733.00",18.37,2.79,
KEC Intl,Engineering & Capital Goods,"646,208.00",16.66,2.53,
Federal Bank,Banking & Financial Services,"1,435,105.00",16.20,2.46,
J Kumar Infra,Cement & Construction,"539,134.00",16.06,2.44,
Mahindra CIE,Manufacturing,"656,180.00",16.00,2.43,
Firstsource Sol,Information Technology,"4,556,253.00",15.54,2.36,
PNC Infratech,Retail & Real Estate,"1,075,779.00",15.41,2.34,
Guj State Petro,Oil & Gas,"861,379.00",15.21,2.31,
Tata Metaliks,Metals & Mining,"215,360.00",15.21,2.31,
Sanghi Ind,Cement & Construction,"1,794,055.00",15.14,2.30,
Equitas Holding,Banking & Financial Services,"1,005,066.00",15.08,2.29,
Cyient,Information Technology,"287,870.00",14.62,2.22,
Capital First,Banking & Financial Services,"215,153.00",14.35,2.18,
DCB Bank,Banking & Financial Services,"719,334.00",14.29,2.17,
Chennai Petro,Oil & Gas,"394,316.00",13.96,2.12,
Deepak Nitrite,Chemicals,"828,024.00",13.36,2.03,
IRB Infra,Engineering & Capital Goods,"610,798.00",12.77,1.94,
Jyothy Labs,Consumer Non-durables,"358,859.00",12.77,1.94,
Sterlite Techno,Telecommunication,"861,925.00",12.64,1.92,
Dewan Housing,Banking & Financial Services,"287,610.00",12.57,1.91,
Allcargo,Services,"717,004.00",12.31,1.87,
Repco Home,Banking & Financial Services,"143,647.00",11.85,1.80,
Akzo Nobel,Chemicals,"63,941.00",11.72,1.78,
Monte Carlo,Manufacturing,"215,689.00",11.65,1.77,
Minda Corp,Automotive,"1,054,549.00",11.52,1.75,
VIP Industries,Manufacturing,"629,056.00",11.46,1.74,
INOX Leisure,Media & Entertainment,"396,012.00",10.86,1.65,
Mahanagar Gas,Oil & Gas,"107,881.00",10.67,1.62,
V-Guard Ind,Miscellaneous,"602,827.00",10.40,1.58,
CG Power ,Engineering & Capital Goods,"1,258,945.00",10.34,1.57,
Indian Bank,Banking & Financial Services,"358,883.00",10.14,1.54,
Endurance Techn,Automotive,"115,056.00",10.07,1.53,
India Cements,Cement & Construction,"503,211.00",9.94,1.51,
Natco Pharma,Pharmaceuticals,"97,926.00",9.81,1.49,
Sanofi India,Pharmaceuticals,"23,145.00",9.61,1.46,
Pennar Eng,Miscellaneous,"740,633.00",9.48,1.44,
Carborundum,Engineering & Capital Goods,"287,423.00",9.35,1.42,
Laurus Labs,Pharmaceuticals,"148,759.00",9.15,1.39,
IDFC,Banking & Financial Services,"1,620,529.00",8.95,1.36,
Rallis India,Chemicals,"358,059.00",8.69,1.32,
KPR Mill,Manufacturing,"100,710.00",8.10,1.23,
HPL Electric & ,Engineering & Capital Goods,"623,825.00",8.03,1.22,
Apar Ind,Miscellaneous,"97,610.00",7.31,1.11,
EngineersInd,Engineering & Capital Goods,"432,611.00",6.65,1.01,
Suven Life Sci,Pharmaceuticals,"383,313.00",6.58,1.00
