Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Petronet LNG,Oil & Gas,"273,987.00",5.92,5.54,
Bajaj Finserv,Banking & Financial Services,"13,645.00",5.62,5.26,
JK Bank,Banking & Financial Services,"495,617.00",4.22,3.95,
EngineersInd,Engineering & Capital Goods,"262,060.00",4.03,3.77,
Elgi Equipments,Engineering & Capital Goods,"173,829.00",4.02,3.76,
Tata Chemicals,Chemicals,"63,194.00",3.84,3.59,
Avenue Supermar,Retail & Real Estate,"44,697.00",3.64,3.41,
Ashoka Buildcon,Cement & Construction,"188,099.00",3.47,3.25,
Exide Ind,Automotive,"156,989.00",3.46,3.24,
Hindalco,Metals & Mining,"167,855.00",3.21,3.00,
Bharat Fin,Banking & Financial Services,"38,102.00",2.75,2.57,
Gujarat Pipavav,Services,"176,518.00",2.64,2.47,
Unichem Labs,Pharmaceuticals,"95,553.00",2.56,2.40,
NCC,Cement & Construction,"292,494.00",2.55,2.39,
South Ind Bk,Banking & Financial Services,"920,172.00",2.55,2.39,
Schaeffler Ind,Engineering & Capital Goods,"5,597.00",2.49,2.33,
Bata India,Consumer Non-durables,"43,750.00",2.35,2.20,
Endurance Techn,Automotive,"25,872.00",2.27,2.12,
Cipla,Pharmaceuticals,"40,767.00",2.27,2.12,
HDFC Bank,Banking & Financial Services,"13,516.00",2.23,2.09,
Ipca Labs,Pharmaceuticals,"43,391.00",2.14,2.00,
IGL,Oil & Gas,"19,616.00",2.07,1.94,
Welspun India,Manufacturing,"245,461.00",2.03,1.90,
Karur Vysya,Banking & Financial Services,"139,549.00",2.02,1.89,
Thomas Cook,Miscellaneous,"75,883.00",1.88,1.76,
Persistent,Information Technology,"24,590.00",1.68,1.57,
Shree Cements,Cement & Construction,952.00,1.61,1.51,
United Spirits,Food & Beverages,"6,593.00",1.58,1.48,
Castrol,Chemicals,"37,752.00",1.53,1.43,
Rallis India,Chemicals,"60,309.00",1.46,1.37,
Sagar Cement,Cement & Construction,"17,316.00",1.42,1.33,
Clariant Chem,Chemicals,"21,945.00",1.39,1.30,
Deepak Nitrite,Chemicals,"82,745.00",1.34,1.25,
Orient Paper,Conglomerates,"159,151.00",1.30,1.22,
Bharat Elec,Manufacturing,"80,023.00",1.29,1.21,
Sheela Foam,Miscellaneous,"9,780.00",1.27,1.19,
L&T Infotech,Information Technology,"15,171.00",1.20,1.12,
INOX Leisure,Media & Entertainment,"42,845.00",1.18,1.10,
Manpasand Bever,Food & Beverages,"13,434.00",1.06,0.99,
Precision Camsh,Automotive,"77,657.00",1.01,0.95,
J. K. Cement,Cement & Construction,"8,762.00",0.82,0.77,
SpiceJet,Services,"55,785.00",0.74,0.69,
GMR Infra,Engineering & Capital Goods,"260,983.00",0.51,0.48,
Mayur Uniquoter,Manufacturing,"13,243.00",0.48,0.45,
MphasiS,Information Technology,"7,485.00",0.45,0.42,
Gammon Infra,Cement & Construction,"1,019,836.00",0.45,0.42,
Camlin Fine,Chemicals,"47,848.00",0.41,0.38,
KSK Energy Vent,Utilities,"326,942.00",0.30,0.28,
Tata Metaliks,Metals & Mining,"1,816.00",0.13,0.12
