Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
P and G,Consumer Non-durables,157.00,0.13,3.18,
Shree Cements,Cement & Construction,64.00,0.11,2.76,
Minda Ind,Automotive,"1,608.00",0.10,2.60,
Finolex Ind,Chemicals,"1,633.00",0.10,2.49,
RBL Bank,Banking & Financial Services,"1,934.00",0.10,2.48,
Bajaj Finance,Banking & Financial Services,689.00,0.09,2.39,
Akzo Nobel,Chemicals,497.00,0.09,2.30,
Vedanta,Metals & Mining,"3,625.00",0.09,2.28,
Grasim,Conglomerates,724.00,0.09,2.27,
Tata Elxsi,Information Technology,562.00,0.09,2.25,
Motherson Sumi,Automotive,"2,893.00",0.09,2.25,
Indiabulls Hsg,Banking & Financial Services,806.00,0.09,2.19,
Aurobindo Pharm,Pharmaceuticals,"1,209.00",0.08,2.09,
AIA Engineering,Engineering & Capital Goods,579.00,0.08,2.04,
Canara Bank,Banking & Financial Services,"2,410.00",0.08,2.00,
PNB Housing Fin,Banking & Financial Services,484.00,0.08,1.95,
Siemens,Engineering & Capital Goods,563.00,0.08,1.90,
Cummins,Engineering & Capital Goods,805.00,0.07,1.87,
Dalmia Bharat,Cement & Construction,295.00,0.07,1.84,
Supreme Ind,Manufacturing,581.00,0.07,1.80,
M&M Financial,Banking & Financial Services,"2,009.00",0.07,1.75,
Force Motors,Automotive,161.00,0.07,1.71,
Amara Raja Batt,Automotive,807.00,0.07,1.71,
Sanofi India,Pharmaceuticals,161.00,0.07,1.69,
Ramco Cements,Cement & Construction,963.00,0.07,1.69,
Escorts,Automotive,964.00,0.06,1.57,
Va Tech Wabag,Engineering & Capital Goods,885.00,0.06,1.54,
Cadila Health,Pharmaceuticals,"1,124.00",0.06,1.49,
Torrent Pharma,Pharmaceuticals,483.00,0.06,1.49,
Endurance Techn,Automotive,642.00,0.06,1.42,
Bosch,Automotive,24.00,0.06,1.42,
Sterlite Techno,Telecommunication,"3,699.00",0.05,1.37,
IDFC Bank,Banking & Financial Services,"9,629.00",0.05,1.33,
NALCO,Metals & Mining,"8,073.00",0.05,1.32,
JK Tyre & Ind,Automotive,"3,225.00",0.05,1.31,
CESC,Utilities,565.00,0.05,1.24,
PI Industries,Chemicals,582.00,0.05,1.23,
Navin Fluorine,Chemicals,757.00,0.05,1.16,
Johnson Control,Consumer Durables,225.00,0.05,1.14,
Emami,Consumer Non-durables,401.00,0.04,1.09,
Elgi Equipments,Engineering & Capital Goods,"1,868.00",0.04,1.09,
CCL Products,Food & Beverages,"1,446.00",0.04,1.07,
Vinati Organics,Chemicals,460.00,0.04,1.07,
Carborundum,Engineering & Capital Goods,"1,291.00",0.04,1.06,
BEML,Engineering & Capital Goods,271.00,0.04,1.05,
Bharat Fin,Banking & Financial Services,560.00,0.04,1.02,
UPL,Chemicals,481.00,0.04,1.02,
Strides Shasun,Pharmaceuticals,404.00,0.04,1.02,
Himatsingka Sei,Manufacturing,"1,129.00",0.04,0.97,
Manpasand Bever,Food & Beverages,483.00,0.04,0.96,
Tech Mahindra,Information Technology,964.00,0.04,0.93,
Finolex Cables,Telecommunication,807.00,0.04,0.93,
Hind Copper,Metals & Mining,"5,631.00",0.04,0.91,
Trident,Manufacturing,"4,846.00",0.04,0.90,
CenturyPlyboard,Miscellaneous,"1,117.00",0.03,0.83,
Dr Lal PathLab,Pharmaceuticals,400.00,0.03,0.79,
Kirloskar Ind,Engineering & Capital Goods,240.00,0.03,0.77,
Guj State Petro,Oil & Gas,"1,615.00",0.03,0.72,
Trent,Retail & Real Estate,"1,203.00",0.03,0.72,
Gujarat Gas,Oil & Gas,352.00,0.03,0.66,
Timken,Engineering & Capital Goods,367.00,0.02,0.62,
S H Kelkar,Miscellaneous,916.00,0.02,0.61,
Zydus Wellness,Food & Beverages,215.00,0.02,0.46,
HUDCO,Retail & Real Estate,"1,416.00",0.01,0.24,
Bajaj Electric,Consumer Durables,109.00,0.00,0.09
