Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
BEML,Engineering & Capital Goods,"2,500.00",0.43,4.40,
IGL,Oil & Gas,"3,375.00",0.40,4.06,
ITD Cementation,Cement & Construction,"22,200.00",0.37,3.74,
Himatsingka Sei,Manufacturing,"10,250.00",0.36,3.71,
Mold-Tek Pack,Manufacturing,"12,400.00",0.35,3.54,
Bajaj Finance,Banking & Financial Services,"2,000.00",0.34,3.47,
Techno Electric,Engineering & Capital Goods,"9,083.00",0.33,3.40,
Britannia,Food & Beverages,850.00,0.33,3.40,
Coromandel Int,Chemicals,"7,000.00",0.31,3.21,
Ramcoind,Cement & Construction,"13,400.00",0.31,3.17,
Bharat Elec,Manufacturing,"17,400.00",0.31,3.17,
PTC India Fin,Banking & Financial Services,"76,000.00",0.30,3.10,
Sterlite Techno,Telecommunication,"13,000.00",0.28,2.81,
CARE,Miscellaneous,"1,650.00",0.27,2.72,
HPCL,Oil & Gas,"6,900.00",0.26,2.70,
Mahindra CIE,Manufacturing,"10,400.00",0.26,2.66,
Exide Ind,Automotive,"11,900.00",0.26,2.64,
SRF,Manufacturing,"1,700.00",0.26,2.63,
City Union Bank,Banking & Financial Services,"14,355.00",0.25,2.58,
Greaves Cotton,Engineering & Capital Goods,"15,750.00",0.25,2.58,
Federal Bank,Banking & Financial Services,"21,900.00",0.25,2.57,
Alkem Lab,Pharmaceuticals,"1,295.00",0.24,2.42,
Atul,Chemicals,"1,050.00",0.23,2.35,
NALCO,Metals & Mining,"32,500.00",0.23,2.32,
Supreme Ind,Manufacturing,"1,950.00",0.22,2.23,
Adani Ports,Engineering & Capital Goods,"5,500.00",0.22,2.22,
Navin Fluorine,Chemicals,"3,000.00",0.21,2.15,
Bank of Baroda,Banking & Financial Services,"12,000.00",0.20,2.03,
KPR Mill,Manufacturing,"2,500.00",0.20,2.02,
Sadbhav Engg,Engineering & Capital Goods,"6,000.00",0.18,1.80,
TV TodayNetwork,Media & Entertainment,"7,200.00",0.17,1.77,
Bayer CropScien,Chemicals,350.00,0.16,1.68,
MRPL,Oil & Gas,"12,000.00",0.15,1.52,
Advanced Enzyme,Pharmaceuticals,"4,125.00",0.13,1.32,
PVR,Media & Entertainment,870.00,0.12,1.19,
Arrow Greentech,Manufacturing,"1,780.00",0.10,1.01,
DB Corp,Media & Entertainment,"2,600.00",0.10,0.99,
Tata Steel,Metals & Mining,"1,450.00",0.08,0.84,
AU Small Financ,Banking & Financial Services,122.00,0.01,0.07
