Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
BEML,Engineering & Capital Goods,300.00,0.05,7.90,
Techno Electric,Engineering & Capital Goods,903.00,0.03,5.06,
KPR Mill,Manufacturing,400.00,0.03,4.84,
Atul,Chemicals,144.00,0.03,4.83,
Kalpataru Power,Engineering & Capital Goods,819.00,0.03,4.36,
Bajaj Finance,Banking & Financial Services,160.00,0.03,4.16,
Mold-Tek Pack,Manufacturing,900.00,0.03,3.85,
JK Lakshmi Cem,Cement & Construction,540.00,0.02,3.77,
SRF,Manufacturing,162.00,0.02,3.75,
Coromandel Int,Chemicals,540.00,0.02,3.70,
PTC India Fin,Banking & Financial Services,"6,000.00",0.02,3.67,
CARE,Miscellaneous,140.00,0.02,3.46,
Exide Ind,Automotive,990.00,0.02,3.29,
MRPL,Oil & Gas,"1,650.00",0.02,3.13,
Sterlite Techno,Telecommunication,860.00,0.02,2.78,
NALCO,Metals & Mining,"2,556.00",0.02,2.72,
Greaves Cotton,Engineering & Capital Goods,"1,100.00",0.02,2.70,
Navin Fluorine,Chemicals,250.00,0.02,2.68,
Nagarjuna Fert,Chemicals,"12,000.00",0.02,2.55,
Federal Bank,Banking & Financial Services,"1,450.00",0.02,2.55,
Supreme Ind,Manufacturing,148.00,0.02,2.53,
Tata Steel,Metals & Mining,270.00,0.02,2.34,
Bank of Baroda,Banking & Financial Services,900.00,0.01,2.28,
Sadbhav Engg,Engineering & Capital Goods,489.00,0.01,2.19,
Dr Lal PathLab,Pharmaceuticals,157.00,0.01,2.00,
Alkem Lab,Pharmaceuticals,70.00,0.01,1.96,
Bayer CropScien,Chemicals,27.00,0.01,1.93,
Advanced Enzyme,Pharmaceuticals,335.00,0.01,1.61,
Arrow Greentech,Manufacturing,120.00,0.01,1.02,
DB Corp,Media & Entertainment,160.00,0.01,0.91,
AU Small Financ,Banking & Financial Services,41.00,0.00,0.37
