Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
India Cements,Cement & Construction,"14,963.00",0.30,4.09,
CenturyPlyboard,Miscellaneous,"9,862.00",0.29,4.02,
Heritage Foods,Food & Beverages,"2,466.00",0.27,3.79,
Rane Holdings,Automotive,"1,495.00",0.26,3.62,
J. K. Cement,Cement & Construction,"2,628.00",0.25,3.42,
Himatsingka Sei,Manufacturing,"7,209.00",0.24,3.39,
Blue Star,Consumer Durables,"4,063.00",0.24,3.38,
DCB Bank,Banking & Financial Services,"12,039.00",0.24,3.31,
Grindwell Norto,Engineering & Capital Goods,"5,885.00",0.24,3.27,
Navin Fluorine,Chemicals,"3,834.00",0.23,3.22,
V-Guard Ind,Miscellaneous,"13,493.00",0.23,3.22,
Timken,Engineering & Capital Goods,"3,431.00",0.23,3.17,
MM Forgings,Manufacturing,"3,586.00",0.22,3.04,
PVR,Media & Entertainment,"1,451.00",0.20,2.83,
Ashoka Buildcon,Cement & Construction,"10,762.00",0.20,2.75,
Ador Welding,Engineering & Capital Goods,"4,788.00",0.18,2.49,
Minda Ind,Automotive,"2,693.00",0.17,2.39,
Subros,Automotive,"6,015.00",0.15,2.01,
PNC Infratech,Retail & Real Estate,"9,960.00",0.14,1.97,
Praj Industries,Engineering & Capital Goods,"18,768.00",0.14,1.96,
HSIL,Cement & Construction,"3,877.00",0.14,1.96,
NCC,Cement & Construction,"15,183.00",0.13,1.84,
Repco Home,Banking & Financial Services,"1,445.00",0.12,1.65,
Techno Electric,Engineering & Capital Goods,"3,047.00",0.11,1.59,
Shanthi Gears,Engineering & Capital Goods,"7,890.00",0.11,1.56,
KSB Pumps,Engineering & Capital Goods,"1,426.00",0.11,1.50,
Salzer Electro,Engineering & Capital Goods,"5,333.00",0.11,1.47,
Navneet,Miscellaneous,"5,740.00",0.10,1.42,
Premier Explo,Chemicals,"2,071.00",0.10,1.40,
Johnson Control,Consumer Durables,474.00,0.09,1.31,
NIIT Tech,Information Technology,"1,601.00",0.09,1.28,
PTC India,Services,"9,338.00",0.09,1.25,
Va Tech Wabag,Engineering & Capital Goods,"1,303.00",0.09,1.24,
WPIL,Engineering & Capital Goods,"1,862.00",0.08,1.17,
Ujjivan Financi,Banking & Financial Services,"2,614.00",0.08,1.12,
Texmaco Rail,Engineering & Capital Goods,"8,891.00",0.08,1.08,
Take Solutions,Information Technology,"4,662.00",0.08,1.06,
Dollar Ind,Manufacturing,345.00,0.07,1.00,
Heidelberg Cem,Cement & Construction,"5,778.00",0.07,1.00,
HT Media,Media & Entertainment,"8,662.00",0.07,0.97,
Gateway Distri,Miscellaneous,"2,535.00",0.07,0.91,
Gujarat Pipavav,Services,"4,057.00",0.06,0.84,
Clariant Chem,Chemicals,945.00,0.06,0.83,
Mcleod,Food & Beverages,"3,409.00",0.06,0.82,
ZF Steering Gea,Automotive,460.00,0.06,0.78,
S Chand and Co,Miscellaneous,"1,199.00",0.06,0.78,
RPP Infra Proj,Cement & Construction,"2,075.00",0.05,0.69,
Kennametal,Engineering & Capital Goods,549.00,0.03,0.47,
GNA Axles,Automotive,"1,448.00",0.03,0.46,
Madhucon Proj,Cement & Construction,"7,980.00",0.03,0.42,
PSP Projects,Cement & Construction,856.00,0.02,0.32,
ITD Cementation,Cement & Construction,"1,109.00",0.02,0.26
