Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Sundaram-Clayto,Automotive,"387,630.00",170.26,3.52,
Bajaj Finserv,Banking & Financial Services,"372,520.00",153.33,3.17,
UPL,Chemicals,"1,778,438.00",149.46,3.09,
Schaeffler Ind,Engineering & Capital Goods,"330,522.00",147.53,3.05,
Ramco Cements,Cement & Construction,"1,954,722.00",135.43,2.80,
Federal Bank,Banking & Financial Services,"11,020,219.00",124.31,2.57,
IGL,Oil & Gas,"1,113,292.00",118.02,2.44,
Arvind,Manufacturing,"3,169,970.00",114.15,2.36,
SRF,Manufacturing,"735,649.00",113.18,2.34,
Mahindra CIE,Manufacturing,"4,047,275.00",98.67,2.04,
LIC Housing Fin,Banking & Financial Services,"1,320,542.00",98.19,2.03,
Exide Ind,Automotive,"4,442,154.00",97.71,2.02,
Cholamandalam,Banking & Financial Services,"873,186.00",97.71,2.02,
Honeywell Autom,Telecommunication,"83,747.00",97.71,2.02,
Karur Vysya,Banking & Financial Services,"6,634,598.00",95.77,1.98,
DCB Bank,Banking & Financial Services,"4,800,339.00",95.29,1.97,
Indian Bank,Banking & Financial Services,"3,354,770.00",94.32,1.95,
Apollo Tyres,Automotive,"3,793,246.00",91.42,1.89,
Timken,Engineering & Capital Goods,"1,319,712.00",88.03,1.82,
M&M Financial,Banking & Financial Services,"2,480,456.00",85.61,1.77,
Emami,Consumer Non-durables,"689,825.00",74.00,1.53,
Bayer CropScien,Chemicals,"158,595.00",73.52,1.52,
WABCO India,Automotive,"132,262.00",73.04,1.51,
Shriram City,Banking & Financial Services,"304,438.00",72.07,1.49,
HSIL,Cement & Construction,"1,894,741.00",69.17,1.43,
CRISIL,Miscellaneous,"350,490.00",68.20,1.41,
Century,Conglomerates,"611,040.00",67.23,1.39,
IIFL Holdings,Banking & Financial Services,"1,088,459.00",66.27,1.37,
Coromandel Int,Chemicals,"1,573,349.00",65.78,1.36,
Whirlpool,Consumer Durables,"578,097.00",65.78,1.36,
Apollo Hospital,Services,"500,407.00",63.85,1.32,
Healthcare Glob,Services,"2,495,221.00",62.88,1.30,
PVR,Media & Entertainment,"439,764.00",61.91,1.28,
Mahindra Holida,Services,"1,578,774.00",61.43,1.27,
Trent,Retail & Real Estate,"2,556,496.00",60.46,1.25,
Ujjivan Financi,Banking & Financial Services,"1,954,141.00",60.46,1.25,
Tata Chemicals,Chemicals,"982,799.00",59.49,1.23,
Jyothy Labs,Consumer Non-durables,"1,657,819.00",59.01,1.22,
Thermax,Engineering & Capital Goods,"612,753.00",57.56,1.19,
City Union Bank,Banking & Financial Services,"3,482,369.00",56.11,1.16,
P and G,Consumer Non-durables,"68,529.00",55.14,1.14,
Varun Beverages,Food & Beverages,"1,024,400.00",54.66,1.13,
Grindwell Norto,Engineering & Capital Goods,"1,290,159.00",51.75,1.07,
CESC,Utilities,"588,612.00",51.27,1.06,
Bank of Baroda,Banking & Financial Services,"3,122,511.00",50.30,1.04,
Max Financial,Manufacturing,"793,880.00",49.82,1.03,
Castrol,Chemicals,"1,221,497.00",49.34,1.02,
Oracle Fin Serv,Information Technology,"137,116.00",49.34,1.02,
Force Motors,Automotive,"114,741.00",48.37,1.00,
Tata Global Bev,Food & Beverages,"3,148,557.00",47.40,0.98,
GlaxoSmith Con,Food & Beverages,"86,793.00",46.43,0.96,
Strides Shasun,Pharmaceuticals,"465,062.00",46.43,0.96,
Guj State Petro,Oil & Gas,"2,601,951.00",45.95,0.95,
L&T Technology,Information Technology,"632,010.00",45.47,0.94,
Vardhman Text,Manufacturing,"378,015.00",43.05,0.89,
HUDCO,Retail & Real Estate,"6,199,293.00",41.60,0.86,
MphasiS,Information Technology,"694,271.00",41.60,0.86,
Gateway Distri,Miscellaneous,"1,567,813.00",40.63,0.84,
Aditya Birla F,Retail & Real Estate,"2,203,658.00",38.21,0.79,
PNB,Banking & Financial Services,"2,715,571.00",37.24,0.77,
Persistent,Information Technology,"513,198.00",34.83,0.72,
JagranPrakashan,Media & Entertainment,"1,696,224.00",30.96,0.64,
Laurus Labs,Pharmaceuticals,"495,970.00",30.47,0.63,
Petronet LNG,Oil & Gas,"1,367,366.00",29.51,0.61,
NALCO,Metals & Mining,"3,580,119.00",23.22,0.48,
ABB India,Engineering & Capital Goods,"136,664.00",19.83,0.41,
V-Guard Ind,Miscellaneous,"757,957.00",13.06,0.27
