Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Future Retail,Retail & Real Estate,"720,000.00",29.10,4.57,
Yes Bank,Banking & Financial Services,"142,000.00",25.70,4.04,
Future Consumer,Banking & Financial Services,"4,730,000.00",19.91,3.13,
KNR Construct,Cement & Construction,"900,000.00",19.01,2.99,
Shree Cements,Cement & Construction,"10,000.00",18.64,2.93,
Dalmia Bharat,Cement & Construction,"61,000.00",16.23,2.55,
IFB Industries,Consumer Durables,"225,000.00",15.93,2.50,
Piramal Enter,Pharmaceuticals,"53,500.00",15.78,2.48,
Sadbhav Engg,Engineering & Capital Goods,"496,354.00",14.57,2.29,
Guj State Petro,Oil & Gas,"750,000.00",14.55,2.28,
City Union Bank,Banking & Financial Services,"770,000.00",13.62,2.14,
Strides Shasun,Pharmaceuticals,"120,000.00",12.72,2.00,
Mahindra CIE,Manufacturing,"505,000.00",12.68,1.99,
Amara Raja Batt,Automotive,"150,000.00",12.52,1.97,
Blue Star,Consumer Durables,"180,000.00",12.56,1.97,
Somany Ceramics,Cement & Construction,"157,800.00",12.58,1.97,
NCC,Cement & Construction,"1,400,000.00",12.44,1.95,
AIA Engineering,Engineering & Capital Goods,"85,000.00",12.27,1.93,
Vinati Organics,Chemicals,"115,000.00",11.90,1.87,
Navin Fluorine,Chemicals,"167,495.00",11.72,1.84,
Tamil Newsprint,Manufacturing,"315,900.00",11.71,1.84,
Cox & Kings,Miscellaneous,"410,000.00",11.69,1.83,
Interglobe Avi,Services,"90,000.00",11.62,1.82,
Solar Ind,Chemicals,"125,000.00",11.18,1.76,
Muthoot Finance,Banking & Financial Services,"225,000.00",10.65,1.67,
INOX Leisure,Media & Entertainment,"414,000.00",10.53,1.65,
Sadbhav Infra,Engineering & Capital Goods,"1,000,000.00",10.45,1.64,
J. K. Cement,Cement & Construction,"100,000.00",10.19,1.60,
Exide Ind,Automotive,"465,500.00",10.11,1.59,
Bharat Elec,Manufacturing,"550,000.00",9.84,1.55,
Eris Life,Pharmaceuticals,"162,024.00",9.74,1.53,
Ramco Cements,Cement & Construction,"142,000.00",9.65,1.52,
Bayer CropScien,Chemicals,"20,000.00",9.38,1.47,
DCB Bank,Banking & Financial Services,"450,000.00",8.78,1.38,
Rallis India,Chemicals,"360,000.00",8.65,1.36,
Aditya Birla F,Retail & Real Estate,"500,000.00",8.57,1.34,
Trident,Manufacturing,"1,000,000.00",8.27,1.30,
Chambal Fert,Chemicals,"600,000.00",8.21,1.29,
Equitas Holding,Banking & Financial Services,"490,000.00",8.19,1.29,
Petronet LNG,Oil & Gas,"400,000.00",8.16,1.28,
PI Industries,Chemicals,"100,000.00",7.65,1.20,
Nilkamal,Manufacturing,"40,000.00",7.51,1.18,
Brigade Ent,Retail & Real Estate,"263,736.00",7.39,1.16,
Atul Auto,Automotive,"160,000.00",6.89,1.08,
Tata Elxsi,Information Technology,"37,000.00",6.47,1.02,
EngineersInd,Engineering & Capital Goods,"400,000.00",6.34,1.00,
NBCC (India),Engineering & Capital Goods,"300,000.00",6.28,0.99,
Union Bank,Banking & Financial Services,"385,000.00",6.08,0.95,
Tata Global Bev,Food & Beverages,"355,000.00",6.02,0.95,
Sequent Scienti,Pharmaceuticals,"491,000.00",6.01,0.94,
CDSL,Banking & Financial Services,"167,800.00",5.70,0.89,
Timken,Engineering & Capital Goods,"75,000.00",5.37,0.84,
Satin Credit,Miscellaneous,"174,000.00",5.28,0.83,
Dhanuka Agritec,Chemicals,"70,000.00",5.20,0.82,
Tata Steel,Metals & Mining,"70,000.00",3.97,0.62,
Karur Vysya,Banking & Financial Services,"240,000.00",3.36,0.53,
Apollo Hospital,Services,"25,000.00",3.14,0.49
