SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,NSE
Gabriel India,split,30-12-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GI02,
HSIL,split,30-12-2005,0.4,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=HSI02,
Sri Adhikari,split,30-12-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SAB,
Smiths & Found,split,27-12-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SF08,
Protochem,split,23-12-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=P06,
G-Tech Info,split,21-12-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GS11,
Sheetal Sec,split,19-12-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SSF02,
Phoenix Mills,split,09-12-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PM02,
Madhucon Proj,split,02-12-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=MP16,
Ventura Text,split,02-12-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=VTC,
Bellary Steel,split,02-12-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BSA01,
Vertex Spinning,split,11-11-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=VS16,
Sundaram Multi,split,09-11-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SMP02,
Hind Constr,split,08-11-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=HCC,
Vidhi Spec,split,08-11-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=VDM,
Kitex Garments,split,07-11-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=KG01,
DMC Education,split,07-11-2005,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=DMC04,
Cranes Software,split,02-11-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=CSI01,
Nandan Denim,split,02-11-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=NE06,
Jaipan Inds,split,02-11-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=JI07,
Linkhouse Ind,split,02-11-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=LI07,
Rujul Finance,split,31-10-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=RF15,
Gopala Poly,split,31-10-2005,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GP03,
Zenith Health,split,28-10-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ZH,
Assam Company,split,28-10-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AC12,
Globus Corp,split,27-10-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=KC05,
Dalmia Sugar,split,27-10-2005,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=DCB,
Jayant Mercanti,split,27-10-2005,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=JMC01,
