SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,NSE
Castrol,bonus,21-12-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01,
Vakrangee,bonus,21-12-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/vakrangee/VS,
Balkrishna Ind,bonus,21-12-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03,
M&M,bonus,21-12-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/mahindramahindra/MM,
Sri Krishna Con,bonus,06-12-2017,0.9090909090909091,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/srikrishnaconstructionsindia/SKC02,
Money Masters,bonus,13-11-2017,0.8,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/moneymastersleasingfinance/MML04,
Gala Print City,bonus,10-11-2017,0.9523809523809523,https://www.moneycontrol.com/india/stockpricequote/printingstationery/galaprintcity/GPC,
Infinite Comp,bonus,01-11-2017,0.9629629629629629,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/infinitecomputersolutionsindia/ICS01,
Arfin India,bonus,01-11-2017,0.3333333333333333,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/arfinindia/AI70,
BAMPSL Sec,bonus,26-10-2017,0.8695652173913043,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bampslsecurities/BAM,
Autoriders Intl,bonus,19-10-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/autoridersinternational/AIL01,
Shaival Reality,bonus,17-10-2017,0.16666666666666666,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/shaivalreality/SR09,
Kallam Spinning,bonus,12-10-2017,0.8,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/kallamspinningmills/KSM,
Talbros Eng,bonus,12-10-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/talbrosengineering/TE15,
Alexander Stamp,bonus,11-10-2017,0.8333333333333334,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/alexanderstampsandcoin/JLF,
Kwality Pharmac,bonus,11-10-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/kwalitypharmaceuticals/KP,
Majestic Resear,bonus,10-10-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/majesticresearchservicessolutions/MRS,
Shivalik Bimeta,bonus,05-10-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/shivalikbimetalcontrols/SBC01,
Panama Petro,bonus,03-10-2017,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/chemicals/panamapetrochem/PP02,
BHEL,bonus,28-09-2017,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE,
Bharat Elec,bonus,28-09-2017,0.9090909090909091,https://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03,
Bharat Forge,bonus,28-09-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/bharatforge/BF03,
Manpasand Bever,bonus,27-09-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/manpasandbeverages/MB04,
Loyal Equip,bonus,27-09-2017,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/engineering/loyalequipments/LE01,
MOIL,bonus,27-09-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/miningminerals/moil/M18,
Tata Elxsi,bonus,18-09-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/tataelxsi/TE,
Reliance,bonus,07-09-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/refineries/relianceindustries/RI,
Mangalam Seeds,bonus,30-08-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/mangalamseeds/MS18,
Rajputana Inves,bonus,28-08-2017,0.35714285714285715,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/rajputanainvestmentfinance/RIF01,
