,SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,NSE
0,Classic Diamond,bonus,19-12-2002,0.5,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/classicdiamondsindia/CDI,
1,HDFC,bonus,12-12-2002,0.5,https://www.moneycontrol.com/india/stockpricequote/financehousing/housingdevelopmentfinancecorporation/HDF,
2,India Nippon,bonus,12-12-2002,0.5882352941176471,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/indianipponelectricals/INE,
3,Amtek Auto,bonus,04-12-2002,0.5,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/amtekauto/AA01,
4,Sadhana Nitro,bonus,03-12-2002,0.7142857142857143,https://www.moneycontrol.com/india/stockpricequote/dyespigments/sadhananitrochem/SN,
5,GMM Pfaudler,bonus,02-12-2002,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/gmmpfaudler/GMM01,
6,Vaibhav Global,bonus,28-11-2002,0.5,https://www.moneycontrol.com/india/stockpricequote/retail/vaibhavglobal/VG02,
7,Linkhouse Ind,bonus,14-11-2002,0.5,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/linkhouseindustries/LI07,
8,Valecha Engg,bonus,08-11-2002,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/valechaengineering/VE06,
9,Grauer and Weil,bonus,07-11-2002,0.5,https://www.moneycontrol.com/india/stockpricequote/chemicals/grauerweilindia/GWI,
10,Karnataka Bank,bonus,25-10-2002,0.5,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karnatakabank/KB04,
11,Machino Plastic,bonus,25-10-2002,0.5,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/machinoplastics/MP,
12,Vision Organics,bonus,24-10-2002,0.5,https://www.moneycontrol.com/india/stockpricequote/chemicals/visionorganics/VO02,
13,Karur Vysya,bonus,21-10-2002,0.5,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karurvysyabank/KVB,
14,Matra Realty,bonus,21-10-2002,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/matrarealty/MR04,
15,Pentasoft Tech,bonus,11-10-2002,0.8333333333333334,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/pentasofttechnologies/PT,
16,Ranbaxy Labs,bonus,01-10-2002,0.625,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ranbaxylaboratories/RL,
17,Kokuyo Camlin,bonus,26-09-2002,0.5,https://www.moneycontrol.com/india/stockpricequote/diversified/kokuyocamlin/C02,
18,Pentamedia,bonus,25-09-2002,0.9090909090909092,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/pentamediagraphics/PG,
19,Arvind Remedies,bonus,23-09-2002,0.2857142857142857,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/arvindremedies/AR06,
20,Doctor Biotech,bonus,23-09-2002,0.5,https://www.moneycontrol.com/india/stockpricequote/chemicals/doctorbiotech/DB03,
21,ETP Corporation,bonus,18-09-2002,0.5,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/etpcorporation/ETP,
22,Sanwaria Consum,bonus,18-09-2002,0.8333333333333334,https://www.moneycontrol.com/india/stockpricequote/personalcare/sanwariaconsumer/SAO,
23,White Lion Asia,bonus,17-09-2002,0.16666666666666666,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/whitelionasia/WLA,
24,Hindustan Housi,bonus,06-09-2002,0.25,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/hindustanhousingcompany/HHC,
25,Goldiam Inter,bonus,29-08-2002,0.5,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/goldiaminternational/GI10,
26,Cyient,bonus,21-08-2002,0.5,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/cyient/IE07,
27,TorrentPowerSEC,bonus,20-08-2002,0.5,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/torrentpowersec/TPS,
28,Marico,bonus,14-08-2002,0.5,https://www.moneycontrol.com/india/stockpricequote/personalcare/marico/M13,
29,Omax Autos,bonus,13-08-2002,0.16666666666666666,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/omaxautos/OA,
30,Kaashyap Tech,bonus,13-08-2002,0.7142857142857143,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/kaashyaptechnologies/KT05,
31,T Spirutual,bonus,02-07-2002,0.5,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/tspirutualworld/TSW,
32,Rico Auto,bonus,13-03-2002,0.5,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/ricoauto/RA04,
33,Shiva Cement,bonus,30-01-2002,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/cementmini/shivacement/SC50,
34,MPS,bonus,02-01-2002,0.5,https://www.moneycontrol.com/india/stockpricequote/printingstationery/mps/MI31,
0,EngineersInd,bonus,30-12-2016,0.5,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/engineersindia/EI14,
1,Balmer Lawrie,bonus,26-12-2016,0.25,https://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawriecompany/BLC,
2,ONGC,bonus,15-12-2016,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilnaturalgascorporation/ONG,
3,Vishal Bearing,bonus,15-12-2016,0.8,https://www.moneycontrol.com/india/stockpricequote/bearings/vishalbearings/VB,
4,Indian Hume,bonus,09-12-2016,0.5,https://www.moneycontrol.com/india/stockpricequote/cementproductsbuildingmaterials/indianhumepipecompany/IHP,
5,Sunil HitechEng,bonus,01-12-2016,0.5,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/sunilhitechengineers/SHE,
6,High Ground Ent,bonus,24-10-2016,0.9090909090909092,https://www.moneycontrol.com/india/stockpricequote/trading/highgroundenterprise/WYE,
7,Modex Intl Sec,bonus,20-10-2016,0.5,https://www.moneycontrol.com/india/stockpricequote/financegeneral/modexinternationalsecurities/MIS02,
8,Alankit,bonus,19-10-2016,0.5,https://www.moneycontrol.com/india/stockpricequote/financegeneral/alankit/EGJ,
9,IOC,bonus,18-10-2016,0.5,https://www.moneycontrol.com/india/stockpricequote/refineries/indianoilcorporation/IOC,
10,Chaman Lal Seti,bonus,14-10-2016,0.9090909090909092,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/chamanlalsetiaexports/CLS,
11,Piccadilly Agro,bonus,10-10-2016,0.5,https://www.moneycontrol.com/india/stockpricequote/sugar/piccadillyagroindustries/PAI03,
12,8K Miles Soft,bonus,10-10-2016,0.75,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/8kmilessoftwareservices/PMS01,
13,Starlit Power,bonus,06-10-2016,0.8,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/starlitpowersystems/SPS01,
14,Diamond Info,bonus,04-10-2016,0.3333333333333333,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/diamondinfosystems/EI17,
15,Assoc Stone,bonus,29-09-2016,0.8,https://www.moneycontrol.com/india/stockpricequote/miningminerals/associatedstoneindustrieskotah/ASI01,
16,REC,bonus,28-09-2016,0.5,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/rec/REC02,
17,Arnold Holdings,bonus,27-09-2016,0.16666666666666666,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/arnoldholdings/AH08,
18,Viaan Ind,bonus,27-09-2016,0.3333333333333333,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/viaanindustries/HSG01,
19,Kanpur Plast,bonus,23-09-2016,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/packaging/kanpurplastipacks/KP02,
20,HPCL,bonus,14-09-2016,0.3333333333333333,https://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC,
21,Atishay,bonus,14-09-2016,0.8,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/atishay/AI19,
22,Symphony,bonus,14-09-2016,0.5,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/symphony/SCS04,
23,Wim Plast,bonus,08-09-2016,0.5,https://www.moneycontrol.com/india/stockpricequote/plastics/wimplast/WP,
24,Bajaj Finance,bonus,08-09-2016,0.5,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/bajajfinance/BAF,
25,Ultracab India,bonus,08-09-2016,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/ultracabindia/UI20,
26,Nava Bharat Ven,bonus,01-09-2016,0.5,https://www.moneycontrol.com/india/stockpricequote/diversified/navabharatventures/NBV,
27,Menon Bearings,bonus,30-08-2016,0.8333333333333334,https://www.moneycontrol.com/india/stockpricequote/bearings/menonbearings/MB01,
28,Oasis Tradelink,bonus,30-08-2016,0.75,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/oasistradelink/OT06,
29,Power Finance,bonus,26-08-2016,0.5,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/powerfinancecorporation/PFC02,
30,Kesar Terminals,bonus,11-08-2016,0.9615384615384616,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kesarterminalsinfrastructure/KTI04,
31,Sanco Ind,bonus,10-08-2016,0.8333333333333334,https://www.moneycontrol.com/india/stockpricequote/plastics/sancoindustries/SI05,
32,Hisar Metal,bonus,09-08-2016,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/hisarmetal/HM05,
33,Amba Enterprise,bonus,08-08-2016,0.8333333333333334,https://www.moneycontrol.com/india/stockpricequote/electricequipment/ambaenterprises/AE18,
34,Oceanaa Biotek,bonus,28-07-2016,0.5882352941176471,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/oceanaabiotekindustries/OBI,
35,Frontier Cap,bonus,28-07-2016,0.75,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/frontiercapital/FLF,
36,Jiya Eco,bonus,27-07-2016,0.8333333333333334,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jiyaecoproducts/JEP,
37,Ind & Prud Invt,bonus,19-07-2016,0.3333333333333333,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/industrialprudentialinvestmentcompany/IPI,
38,Berger Paints,bonus,15-07-2016,0.7142857142857143,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02,
39,Grindwell Norto,bonus,14-07-2016,0.5,https://www.moneycontrol.com/india/stockpricequote/abrasives/grindwellnorton/GN,
40,Ganesh Housing,bonus,14-07-2016,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/ganeshhousingcorporation/GHC02,
41,Hatsun Agro,bonus,13-07-2016,0.7142857142857143,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/hatsunagroproducts/HAP,
42,BPCL,bonus,13-07-2016,0.5,https://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC,
43,ITC,bonus,01-07-2016,0.6666666666666666,https://www.moneycontrol.com/india/stockpricequote/cigarettes/itc/ITC,
