SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,NSE
Rammaica,split,28-11-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/rammaicaindia/RI05,
Guj Cotex,split,22-11-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/gujaratcotex/GC09,
Himalaya Granit,split,08-11-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/himalayagranites/HG,
IST Ltd,split,01-11-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/istltd/IST,
Amalgamated Ele,split,24-10-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/amalgamatedelectricity/AE05,
Satia Ind,split,15-10-2019,0.1,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/amalgamatedelectricity/SI96,
PG Industry,split,14-10-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/prudentialgranites/PG02,
HDFC Bank,split,19-09-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/hdfcbank/HDF01,
Prime Industrie,split,12-09-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/primeindustries/PI22,
Master Trust,split,26-08-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/mastertrust/MT02,
Seshasayee Pape,split,19-08-2019,0.2,https://www.moneycontrol.com/india/stockpricequote/paper/seshasayeepaperboards/SPB,
Sinnar Bidi,split,30-07-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/cigarettes/sinnarbidiudyog/SBU,
Apcotex Ind,split,04-07-2019,0.4,https://www.moneycontrol.com/india/stockpricequote/rubber/apcotexindustries/AI58,
Ekam Leasing,split,14-06-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ekamleasingfinancecompany/ELF01,
Cholamandalam,split,14-06-2019,0.2,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/CDB,
Jullundur Motor,split,14-05-2019,0.2,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/JMA,
Orient Trade,split,07-05-2019,0.2,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/orienttradelink/OT05,
Madhav Copper,split,02-05-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/orienttradelink/MC07,
Dhanleela,split,12-04-2019,2.5,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/rathiinvestment/RI06,
Lesha Ind,split,11-04-2019,0.1,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/rathiinvestment/LI11,
Generic Pharmas,split,11-04-2019,0.1,https://www.moneycontrol.com/india/stockpricequote/dyespigments/adirasayan/AR04,
Woodsvilla,split,04-04-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/woodsvilla/CPC01,
Sai Baba Invest,split,28-03-2019,10.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/woodsvilla/SBI24,
ISGEC Heavy Eng,split,28-03-2019,0.1,https://www.moneycontrol.com/india/stockpricequote/sugar/saraswatiindustrialsyndicate/SIS06,
Nitin Castings,split,14-03-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/nitinalloysglobal/NAG,
Kedia Construct,split,14-03-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/nitinalloysglobal/KC14,
ISL Consulting,split,08-03-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/islconsulting/ISL03,
Jam Shri Ranjit,split,21-02-2019,100.0,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/jamshriranjitsinghjispinningweavingmills/JSR,
Music Broadcast,split,20-02-2019,0.2,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/jamshriranjitsinghjispinningweavingmills/MB05,
The Indian Wood,split,15-02-2019,0.2,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/jamshriranjitsinghjispinningweavingmills/IWP540954,
Sadhana Nitro,split,29-01-2019,0.5,https://www.moneycontrol.com/india/stockpricequote/dyespigments/sadhananitrochem/SN,
Comfort,split,24-01-2019,10.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/comfortinfotech/CI32,
Gujarat Gas,split,15-01-2019,0.2,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratgascompany/GGC,
Acrysil India,split,10-01-2019,0.2,https://www.moneycontrol.com/india/stockpricequote/plastics/acrysilindia/AI04,
