SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,ISIN
Jindal Worldwid,split,26-12-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/trading/jindalworldwide/JW01,INE247D01039
Premier Pipes,split,22-12-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/premierpipes/QST,INE448N01024
Advik Industrie,split,14-12-2017,0.1,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/premierpipes/AIL04,INE178T01024
Universal Sec,split,04-12-2017,0.2,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/universalcreditsecurities/UCS,INE607F01039
JMD Telefilms,split,04-12-2017,10.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/jmdtelefilmsindustries/AF25,INE047E01031
Akar Tools,split,29-11-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/akartools/AT04,INE864E01021
Esaar (India),split,10-11-2017,10.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/esaarindialtd/EIL02,INE404L01039
IGL,split,09-11-2017,0.2,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04,INE203G01027
Jagdamba Polyme,split,01-11-2017,0.1,https://www.moneycontrol.com/india/stockpricequote/packaging/jagdambapolymers/JP01,INE564J01026
Atlas Cycles,split,30-10-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/atlascycleindustries/ACI08,INE446A01025
BAMPSL Sec,split,26-10-2017,10.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bampslsecurities/BAM,INE802A01037
Siyaram Silk,split,25-10-2017,0.2,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/siyaramsilkmills/SSM05,INE076B01028
Vishal Fabrics,split,24-10-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/siyaramsilkmills/VF01,INE755Q01025
Blue Circle Ser,split,23-10-2017,10.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bluecircleservicesltd/BCS,INE526K01031
Pokarna,split,18-10-2017,0.2,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/pokarnalimited/PL06,INE637C01025
Dwekam Industri,split,16-10-2017,10.0,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/pokarnalimited/DI28,INE575D01033
Can Fin Homes,split,12-10-2017,0.2,https://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH,INE477A01020
Heritage Foods,split,10-10-2017,0.5,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/heritagefoodsindia/HFI,INE978A01027
Jamna Auto,split,05-10-2017,0.2,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jamnaautoindustries/JAI,INE039C01032
Everlon Synth,split,29-09-2017,10.0,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/everlonsynthetics/ES05,INE339D01034
IND Renewable,split,29-09-2017,10.0,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/everlonsynthetics/VPI03,INE138O01029
Transformers,split,28-09-2017,0.1,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/transformersrectifiersindia/TRI,INE763I01026
Trans & Electr,split,28-09-2017,0.1,https://www.moneycontrol.com/india/stockpricequote/electricequipment/transformerselectricalskerala/TEK,INE763I01026
