COUNT,SYMBOL,ADJUSTMENT_TYPE,DATE,FACTOR,URL,NSE
1,INFODRIVE,split,24-12-2014,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=IDS01,
4,PNB,split,18-12-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PNB05,
6,JKTYRE,split,18-12-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=JKT01,
8,ICICIBANK,split,04-12-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ICI02,
9,GODFRYPHLP,split,28-11-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=GPI,
12,SURANASOL,split,25-11-2014,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SV05,
13,SURANAT&P,split,25-11-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ST12,
14,ZENTEC,split,21-11-2014,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ZT01,
17,SBIN,split,20-11-2014,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SBI,
21,SHIVAMAUTO,split,30-10-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SA13,
23,KRIDHANINF,split,27-10-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=RSI02,
28,JBMA,split,08-10-2014,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=JBM03,
31,SUDARSCHEM,split,30-09-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SCI08,
32,ASTRAL,split,25-09-2014,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=APT02,
34,LAOPALA,split,24-09-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=LOR,
35,SOUISPAT,split,22-09-2014,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SI57,
37,PANAMAPET,split,19-09-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PP02,
38,ATULAUTO,split,12-09-2014,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AA08,
40,ALKYLAMINE,split,08-09-2014,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AAC,
41,CAMLINFINE,split,04-09-2014,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=CFC03,
42,J&KBANK,split,04-09-2014,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=JKB,
44,MANINFRA,split,28-08-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=MI37,
45,HAVELLS,split,26-08-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=HI01,
50,AXISBANK,split,28-07-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=AB16,
54,DEEPAKNTR,split,20-06-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=DN,
63,VIKASECO,split,27-03-2014,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=VGO01,
64,RAJTV,split,25-03-2014,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=RTN,
71,RSYSTEMS,split,26-02-2014,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=RSI01,
72,SHARONBIO,split,20-02-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SBM01,
73,SWANENERGY,split,03-02-2014,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SM09,
75,KSCL,split,27-01-2014,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=KSC01,
76,BSLIMITED,split,21-01-2014,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=BT,
81,NIVINFRA,split,07-01-2014,10.0,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SVE,
0,DATAPROINF,split,25-12-2000,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=DIT,
1,JENSONICOL,split,04-12-2000,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=JN,
2,DABUR,split,27-11-2000,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=DI,
3,HCLTECH,split,27-11-2000,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=HCL02,
4,CUMMINSIND,split,20-11-2000,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=CI02,
5,JIKIND,split,13-11-2000,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=JIK,
6,MOREPENLAB,split,07-11-2000,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=ML06,
7,NOVARTIND,split,06-11-2000,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=NI01,
8,MASTEK,split,26-10-2000,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=M,
10,CYBERSPACE,split,26-09-2000,0.2,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=CI07,
11,PHARMACIA,split,25-09-2000,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PH04,
13,SONATSOFTW,split,25-09-2000,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SS42,
14,STER,split,25-09-2000,0.5,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=SII,
15,SRGINFOTEC,split,18-09-2000,0.1,https://www.moneycontrol.com/stocks/company_info/pricechart.php?sc_did=PIC01,
