fundname,code,link,Do_Not_Use
IDFC Imperial Equity - Direct (G),MAG727,/mutual-funds/nav/idfc-imperial-equity-direct/MAG727,
IDFC Imperial Equity - Regular (G),MAG096,/mutual-funds/nav/idfc-imperial-equity-regular/MAG096,
Invesco India Growth Fund-DP (G),MLI560,/mutual-funds/nav/invesco-india-growth-fund-dp/MLI560,
JM Core 11 Fund -Direct (G),MJM324,/mutual-funds/nav/jm-core-11-fund-direct/MJM324,
Reliance Vision Fund - RP (G),MRC001,/mutual-funds/nav/reliance-vision-fund-rp/MRC001,
JM Multi Strategy Fund -Direct (G),MJM320,/mutual-funds/nav/jm-multi-strategy-fund-direct/MJM320,
Kotak Classic Equity - Direct (G),MKM530,/mutual-funds/nav/kotak-classic-equity-direct/MKM530,
JM Core 11 Fund (G),MJM171,/mutual-funds/nav/jm-core-11-fund/MJM171,
Invesco India Growth Fund (G),MLI099,/mutual-funds/nav/invesco-india-growth-fund/MLI099,
Sundaram Select Focus - IP (G),MSN243,/mutual-funds/nav/sundaram-select-focus-ip/MSN243,
Reliance Top 200 - Direct (G),MRC940,/mutual-funds/nav/reliance-top-200-direct/MRC940,
Sundaram Select Focus -Direct (G),MSN570,/mutual-funds/nav/sundaram-select-focus-direct/MSN570,
JM Multi Strategy Fund (G),MJM238,/mutual-funds/nav/jm-multi-strategy-fund/MJM238,
IDFC Equity Fund - Direct (G),MAG725,/mutual-funds/nav/idfc-equity-fund-direct/MAG725,
Sundaram Select Focus - RP (G),MSN011,/mutual-funds/nav/sundaram-select-focus-rp/MSN011,
Invesco India Dynamic Equity - DP (G),MLI564,/mutual-funds/nav/invesco-india-dynamic-equity-dp/MLI564,
ICICI Pru Focused. Blue -Direct (G),MPI1134,/mutual-funds/nav/icici-pru-focused-blue-direct/MPI1134,
ICICI Pru Focused Bluechip Eqty-IO ,MPI394,/mutual-funds/nav/icici-pru-focused-bluechip-eqty-io/MPI394,
HDFC Growth Fund - Direct (G),MHD1146,/mutual-funds/nav/hdfc-growth-fund-direct/MHD1146,
Kotak Select Focus Fund - Direct (G),MKM520,/mutual-funds/nav/kotak-select-focus-fund-direct/MKM520,
Kotak Classic Equity - Regular (G),MKM077,/mutual-funds/nav/kotak-classic-equity-regular/MKM077,
HDFC Top 200 Fund - Direct (G),MHD1169,/mutual-funds/nav/hdfc-top-200-fund-direct/MHD1169,
Reliance Top 200 Fund-RP (G),MRC155,/mutual-funds/nav/reliance-top-200-fund-rp/MRC155,
ICICI Pru Top 100 Fund - Direct (G),MPI1130,/mutual-funds/nav/icici-pru-top-100-fund-direct/MPI1130,
BOI AXA Equity Fund - Direct (G),MBA064,/mutual-funds/nav/boi-axa-equity-fund-direct/MBA064,
IDFC Equity Fund - Regular Plan (G),MAG106,/mutual-funds/nav/idfc-equity-fund-regular-plan/MAG106,
HDFC Growth Fund (G),MHD001,/mutual-funds/nav/hdfc-growth-fund/MHD001,
HDFC Top 200 Fund (G),MZU009,/mutual-funds/nav/hdfc-top-200-fund/MZU009,
BOI AXA Equity Fund-Eco (G),MBA028,/mutual-funds/nav/boi-axa-equity-fund-eco/MBA028,
ICICI Pru Focused Bluechip Eqty (G),MPI392,/mutual-funds/nav/icici-pru-focused-bluechip-eqty/MPI392,
Kotak Select Focus Fund - Regular (G),MKM311,/mutual-funds/nav/kotak-select-focus-fund-regular/MKM311,
Reliance Quant Plus - Direct (G),MRC1008,/mutual-funds/nav/reliance-quant-plus-direct/MRC1008,
BOI AXA Equity Fund -RP (G),MBA025,/mutual-funds/nav/boi-axa-equity-fund-rp/MBA025,
Invesco India Dynamic Equity (G),MLI117,/mutual-funds/nav/invesco-india-dynamic-equity/MLI117,
Sahara Super 20 Fund -Direct (G),MFI067,/mutual-funds/nav/sahara-super-20-fund-direct/MFI067,
ICICI Pru Top 100 Fund (G),MPI003,/mutual-funds/nav/icici-pru-top-100-fund/MPI003,
ABSL Top 100 - Direct (G),MBS837,/mutual-funds/nav/absl-top-100-direct/MBS837,
UTI Top 100 Fund - Direct (G),MUT633,/mutual-funds/nav/uti-top-100-fund-direct/MUT633,
Reliance Quant Plus - RP (G),MRC346,/mutual-funds/nav/reliance-quant-plus-rp/MRC346,
HDFC Index - Sensex Plus - Direct,MHD1154,/mutual-funds/nav/hdfc-index-sensex-plus-direct/MHD1154,
UTI Top 100 Fund (G),MUT010,/mutual-funds/nav/uti-top-100-fund/MUT010,
HDFC Index - Sensex Plus Plan,MHD021,/mutual-funds/nav/hdfc-index-sensex-plus-plan/MHD021,
Edelweiss Equity Oppo - Direct (G),MJP103,/mutual-funds/nav/edelweiss-equity-oppo-direct/MJP103,
DHFL Pramerica LCF -Direct (G),MDE487,/mutual-funds/nav/dhfl-pramerica-lcf-direct/MDE487,
Indiabulls Blue Chip Fund - Dir (G),MIM031,/mutual-funds/nav/indiabulls-blue-chip-fund-dir/MIM031,
HDFC Large Cap Fund - Direct (G),MMS029,/mutual-funds/nav/hdfc-large-cap-fund-direct/MMS029,
Baroda Pioneer Growth -Direct (G),MBO088,/mutual-funds/nav/baroda-pioneer-growth-direct/MBO088,
HDFC Large Cap Fund (G),MMS001,/mutual-funds/nav/hdfc-large-cap-fund/MMS001,
Edelweiss Equity Oppo (G),MJP001,/mutual-funds/nav/edelweiss-equity-oppo/MJP001,
ABSL Top 100 (G),MBS089,/mutual-funds/nav/absl-top-100/MBS089,
ABSL Frontline Eqty-Direct (G),MBS813,/mutual-funds/nav/absl-frontline-eqty-direct/MBS813,
L&T; Equity Fund -Direct (G),MCC309,/mutual-funds/nav/l-t-equity-fund-direct/MCC309,
HSBC Equity Fund - Direct (G),MHS353,/mutual-funds/nav/hsbc-equity-fund-direct/MHS353,
Motilal MOSt Focused 25 - DP (G),MMO011,/mutual-funds/nav/motilal-most-focused-25-dp/MMO011,
BNP Paribas Equity Fund -Dir (G),MAB720,/mutual-funds/nav/bnp-paribas-equity-fund-dir/MAB720,
Tata Large Cap Fund - Direct (G),MTA788,/mutual-funds/nav/tata-large-cap-fund-direct/MTA788,
UTI India Lifestyle Fund -Direct(G),MUT649,/mutual-funds/nav/uti-india-lifestyle-fund-direct/MUT649,
Escorts Growth Plan (G),MES005,/mutual-funds/nav/escorts-growth-plan/MES005,
Escorts Growth Plan - Direct (G),MES061,/mutual-funds/nav/escorts-growth-plan-direct/MES061,
Edelweiss LCAF - Direct (G),MEW090,/mutual-funds/nav/edelweiss-lcaf-direct/MEW090,
L&T; Equity Fund (G),MFF001,/mutual-funds/nav/l-t-equity-fund/MFF001,
Baroda Pioneer Growth (G),MBO010,/mutual-funds/nav/baroda-pioneer-growth/MBO010,
Motilal MOSt Shares M50 ETF,MMO001,/mutual-funds/nav/motilal-most-shares-m50-etf/MMO001,
UTI Bluechip Flexicap - Direct (G),MUT645,/mutual-funds/nav/uti-bluechip-flexicap-direct/MUT645,
HSBC Equity Fund (G),MHS001,/mutual-funds/nav/hsbc-equity-fund/MHS001,
DHFL Pramerica LCF -WP (G),MDE260,/mutual-funds/nav/dhfl-pramerica-lcf-wp/MDE260,
Sahara Super 20 Fund (G),MFI059,/mutual-funds/nav/sahara-super-20-fund/MFI059,
Principal Large Cap - Direct (G),MID318,/mutual-funds/nav/principal-large-cap-direct/MID318,
UTI India Lifestyle Fund(G),MUT129,/mutual-funds/nav/uti-india-lifestyle-fund/MUT129,
Kotak 50 - Direct Plan (G),MKM514,/mutual-funds/nav/kotak-50-direct-plan/MKM514,
DHFL Pramerica LCF -RP (G),MDE001,/mutual-funds/nav/dhfl-pramerica-lcf-rp/MDE001,
Escorts Leading Sectors -Direct (G),MES049,/mutual-funds/nav/escorts-leading-sectors-direct/MES049,
Escorts Leading Sectors (G),MES031,/mutual-funds/nav/escorts-leading-sectors/MES031,
