,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,Gillette India,Consumer Non-durables,"40,669.00",20.79,8.21,,birla-sl-mnc-fund-direct,MBS839
1,Honeywell Autom,Telecommunication,"16,999.00",19.85,7.84,,birla-sl-mnc-fund-direct,MBS839
2,Bayer CropScien,Chemicals,"39,016.00",18.08,7.14,,birla-sl-mnc-fund-direct,MBS839
3,Kotak Mahindra,Banking & Financial Services,"168,736.00",16.13,6.37,,birla-sl-mnc-fund-direct,MBS839
4,ICRA,Miscellaneous,"38,927.00",15.7,6.2,,birla-sl-mnc-fund-direct,MBS839
5,Pfizer,Pharmaceuticals,"79,024.00",14.28,5.64,,birla-sl-mnc-fund-direct,MBS839
6,Maruti Suzuki,Automotive,"19,538.00",14.1,5.57,,birla-sl-mnc-fund-direct,MBS839
7,GlaxoSmithKline,Pharmaceuticals,"54,775.00",13.75,5.43,,birla-sl-mnc-fund-direct,MBS839
8,Johnson Control,Consumer Durables,"68,142.00",13.65,5.39,,birla-sl-mnc-fund-direct,MBS839
9,Thomas Cook,Miscellaneous,"512,879.00",12.71,5.02,,birla-sl-mnc-fund-direct,MBS839
10,Bosch,Automotive,"5,361.00",12.51,4.94,,birla-sl-mnc-fund-direct,MBS839
11,Capital First,Banking & Financial Services,"155,610.00",10.38,4.1,,birla-sl-mnc-fund-direct,MBS839
12,Jet Airways,Services,"166,970.00",9.42,3.72,,birla-sl-mnc-fund-direct,MBS839
13,Kansai Nerolac,Chemicals,"211,598.00",9.32,3.68,,birla-sl-mnc-fund-direct,MBS839
14,HUL,Consumer Non-durables,"68,710.00",7.42,2.93,,birla-sl-mnc-fund-direct,MBS839
15,P and G,Consumer Non-durables,"6,816.00",5.47,2.16,,birla-sl-mnc-fund-direct,MBS839
16,Schaeffler Ind,Engineering & Capital Goods,"10,814.00",4.81,1.9,,birla-sl-mnc-fund-direct,MBS839
17,Cummins,Engineering & Capital Goods,"51,198.00",4.71,1.86,,birla-sl-mnc-fund-direct,MBS839
18,Bata India,Consumer Non-durables,"84,822.00",4.56,1.8,,birla-sl-mnc-fund-direct,MBS839
19,CRISIL,Miscellaneous,"14,716.00",2.86,1.13,,birla-sl-mnc-fund-direct,MBS839
20,WABCO India,Automotive,"5,048.00",2.78,1.1,,birla-sl-mnc-fund-direct,MBS839
21,Colgate,Consumer Non-durables,"24,158.00",2.68,1.06,,birla-sl-mnc-fund-direct,MBS839
22,Quess Corp,Engineering & Capital Goods,"25,383.00",2.35,0.93,,birla-sl-mnc-fund-direct,MBS839
23,ACC,Cement & Construction,"11,948.00",1.87,0.74,,birla-sl-mnc-fund-direct,MBS839
24,Castrol,Chemicals,"41,913.00",1.7,0.67,,birla-sl-mnc-fund-direct,MBS839
25,SML Isuzu,Automotive,"11,734.00",1.42,0.56,,birla-sl-mnc-fund-direct,MBS839
26,Oracle Fin Serv,Information Technology,"3,647.00",1.32,0.52,,birla-sl-mnc-fund-direct,MBS839
27,Ambuja Cements,Cement & Construction,"42,101.00",1.04,0.41,,birla-sl-mnc-fund-direct,MBS839
28,ITD Cementation,Cement & Construction,"59,657.00",1.01,0.4,,birla-sl-mnc-fund-direct,MBS839
29,Nestle,Food & Beverages,"1,390.00",0.94,0.37,,birla-sl-mnc-fund-direct,MBS839
30,Federal-Mogul,Automotive,"16,241.00",0.89,0.35,,birla-sl-mnc-fund-direct,MBS839
31,Siemens,Engineering & Capital Goods,"5,308.00",0.71,0.28,,birla-sl-mnc-fund-direct,MBS839
32,Akzo Nobel,Chemicals,"3,730.00",0.68,0.27,,birla-sl-mnc-fund-direct,MBS839
33,Sanofi India,Pharmaceuticals,"1,402.00",0.58,0.23,,birla-sl-mnc-fund-direct,MBS839
34,GE Power India,Engineering & Capital Goods,"8,979.00",0.56,0.22,,birla-sl-mnc-fund-direct,MBS839
35,ABB India,Engineering & Capital Goods,"3,665.00",0.53,0.21,,birla-sl-mnc-fund-direct,MBS839
36,GE T&D India,Engineering & Capital Goods,"14,024.00",0.48,0.19,,birla-sl-mnc-fund-direct,MBS839
37,Blue Dart,Services,"1,021.00",0.48,0.19,,birla-sl-mnc-fund-direct,MBS839
38,Disa India,Engineering & Capital Goods,610.00,0.3,0.12,,birla-sl-mnc-fund-direct,MBS839
39,Schneider Infra,Utilities,"13,889.00",0.18,0.07,,birla-sl-mnc-fund-direct,MBS839
