,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,HPCL,Oil & Gas,"523,691.00",17.79,6.61,,birla-sl-pure-value-direct,MBS831
1,ICICI Bank,Banking & Financial Services,"563,165.00",16.34,6.07,,birla-sl-pure-value-direct,MBS831
2,UPL,Chemicals,"170,381.00",14.32,5.32,,birla-sl-pure-value-direct,MBS831
3,Chennai Petro,Oil & Gas,"340,003.00",12.03,4.47,,birla-sl-pure-value-direct,MBS831
4,L&T Finance,Banking & Financial Services,"794,152.00",11.41,4.24,,birla-sl-pure-value-direct,MBS831
5,India Cements,Cement & Construction,"544,164.00",10.74,3.99,,birla-sl-pure-value-direct,MBS831
6,Edelweiss,Banking & Financial Services,"485,652.00",9.29,3.45,,birla-sl-pure-value-direct,MBS831
7,KPR Mill,Manufacturing,"104,693.00",8.59,3.19,,birla-sl-pure-value-direct,MBS831
8,DLF,Retail & Real Estate,"443,173.00",8.45,3.14,,birla-sl-pure-value-direct,MBS831
9,SpiceJet,Services,"637,487.00",8.42,3.13,,birla-sl-pure-value-direct,MBS831
10,GNFC,Chemicals,"287,641.00",7.72,2.87,,birla-sl-pure-value-direct,MBS831
11,Rel Capital,Banking & Financial Services,"116,740.00",7.51,2.79,,birla-sl-pure-value-direct,MBS831
12,IGL,Oil & Gas,"68,043.00",7.21,2.68,,birla-sl-pure-value-direct,MBS831
13,Blue Star,Consumer Durables,"119,204.00",7.16,2.66,,birla-sl-pure-value-direct,MBS831
14,IDFC,Banking & Financial Services,"1,265,443.00",7.0,2.6,,birla-sl-pure-value-direct,MBS831
15,Atul,Chemicals,"27,190.00",6.59,2.45,,birla-sl-pure-value-direct,MBS831
16,VIP Industries,Manufacturing,"331,556.00",6.06,2.25,,birla-sl-pure-value-direct,MBS831
17,Grasim,Conglomerates,"47,510.00",5.89,2.19,,birla-sl-pure-value-direct,MBS831
18,Gulf Oil Lubric,Chemicals,"71,406.00",5.79,2.15,,birla-sl-pure-value-direct,MBS831
19,Fortis Health,Services,"317,135.00",5.14,1.91,,birla-sl-pure-value-direct,MBS831
20,Steel Str Wheel,Automotive,"57,704.00",5.06,1.88,,birla-sl-pure-value-direct,MBS831
21,Arvind,Manufacturing,"125,568.00",4.52,1.68,,birla-sl-pure-value-direct,MBS831
22,GAIL,Oil & Gas,"124,510.00",4.49,1.67,,birla-sl-pure-value-direct,MBS831
23,Deepak Nitrite,Chemicals,"274,080.00",4.41,1.64,,birla-sl-pure-value-direct,MBS831
24,CenturyPlyboard,Miscellaneous,"142,669.00",4.2,1.56,,birla-sl-pure-value-direct,MBS831
25,Indian Terrain,Manufacturing,"183,095.00",3.63,1.35,,birla-sl-pure-value-direct,MBS831
26,NCC,Cement & Construction,"406,032.00",3.55,1.32,,birla-sl-pure-value-direct,MBS831
27,Monte Carlo,Manufacturing,"60,568.00",3.26,1.21,,birla-sl-pure-value-direct,MBS831
28,Sintex Ind,Conglomerates,"1,261,990.00",3.04,1.13,,birla-sl-pure-value-direct,MBS831
29,Sterlite Techno,Telecommunication,"205,977.00",3.01,1.12,,birla-sl-pure-value-direct,MBS831
30,BEML,Engineering & Capital Goods,"18,944.00",2.91,1.08,,birla-sl-pure-value-direct,MBS831
31,Bank of Baroda,Banking & Financial Services,"167,070.00",2.69,1.0,,birla-sl-pure-value-direct,MBS831
32,PNB,Banking & Financial Services,"194,283.00",2.66,0.99,,birla-sl-pure-value-direct,MBS831
33,Guj Flourochem,Chemicals,"31,330.00",2.31,0.86,,birla-sl-pure-value-direct,MBS831
34,Canara Bank,Banking & Financial Services,"69,537.00",2.29,0.85,,birla-sl-pure-value-direct,MBS831
35,Castrol,Chemicals,"50,645.00",2.05,0.76,,birla-sl-pure-value-direct,MBS831
36,Muthoot Finance,Banking & Financial Services,"33,152.00",1.51,0.56,,birla-sl-pure-value-direct,MBS831
37,Sonata,Information Technology,"80,974.00",1.24,0.46,,birla-sl-pure-value-direct,MBS831
38,HPL Electric & ,Engineering & Capital Goods,"94,365.00",1.21,0.45,,birla-sl-pure-value-direct,MBS831
39,Firstsource Sol,Information Technology,"252,575.00",0.86,0.32,,birla-sl-pure-value-direct,MBS831
