,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,MRF,Automotive,69.00,0.47,3.0,,edelweiss-m-s-cp-dp,MJP117
1,Federal Bank,Banking & Financial Services,"39,827.00",0.45,2.85,,edelweiss-m-s-cp-dp,MJP117
2,Kansai Nerolac,Chemicals,"9,957.00",0.44,2.78,,edelweiss-m-s-cp-dp,MJP117
3,Petronet LNG,Oil & Gas,"19,856.00",0.43,2.72,,edelweiss-m-s-cp-dp,MJP117
4,City Union Bank,Banking & Financial Services,"22,660.00",0.36,2.31,,edelweiss-m-s-cp-dp,MJP117
5,Sterlite Techno,Telecommunication,"24,195.00",0.35,2.25,,edelweiss-m-s-cp-dp,MJP117
6,IndusInd Bank,Banking & Financial Services,"2,378.00",0.35,2.23,,edelweiss-m-s-cp-dp,MJP117
7,Cholamandalam,Banking & Financial Services,"3,016.00",0.34,2.15,,edelweiss-m-s-cp-dp,MJP117
8,Ramco Cements,Cement & Construction,"4,856.00",0.34,2.14,,edelweiss-m-s-cp-dp,MJP117
9,Havells India,Engineering & Capital Goods,"7,234.00",0.33,2.11,,edelweiss-m-s-cp-dp,MJP117
10,Vakrangee,Information Technology,"7,687.00",0.33,2.1,,edelweiss-m-s-cp-dp,MJP117
11,Supreme Ind,Manufacturing,"2,659.00",0.33,2.07,,edelweiss-m-s-cp-dp,MJP117
12,GRUH Finance,Banking & Financial Services,"6,978.00",0.31,1.97,,edelweiss-m-s-cp-dp,MJP117
13,NBCC (India),Engineering & Capital Goods,"15,186.00",0.31,1.95,,edelweiss-m-s-cp-dp,MJP117
14,Kirloskar Bros,Engineering & Capital Goods,"11,524.00",0.29,1.84,,edelweiss-m-s-cp-dp,MJP117
15,Vinati Organics,Chemicals,"3,049.00",0.28,1.78,,edelweiss-m-s-cp-dp,MJP117
16,Equitas Holding,Banking & Financial Services,"18,609.00",0.28,1.77,,edelweiss-m-s-cp-dp,MJP117
17,Whirlpool,Consumer Durables,"2,369.00",0.27,1.71,,edelweiss-m-s-cp-dp,MJP117
18,TeamLease Ser.,Miscellaneous,"1,866.00",0.25,1.59,,edelweiss-m-s-cp-dp,MJP117
19,Page Industries,Manufacturing,148.00,0.25,1.57,,edelweiss-m-s-cp-dp,MJP117
20,CG Consumer,Manufacturing,"10,655.00",0.24,1.53,,edelweiss-m-s-cp-dp,MJP117
21,Motilal Oswal,Banking & Financial Services,"2,077.00",0.24,1.51,,edelweiss-m-s-cp-dp,MJP117
22,Amara Raja Batt,Automotive,"2,799.00",0.24,1.49,,edelweiss-m-s-cp-dp,MJP117
23,JK Lakshmi Cem,Cement & Construction,"4,748.00",0.23,1.46,,edelweiss-m-s-cp-dp,MJP117
24,IGL,Oil & Gas,"2,164.00",0.23,1.45,,edelweiss-m-s-cp-dp,MJP117
25,Kajaria Ceramic,Cement & Construction,"3,389.00",0.23,1.43,,edelweiss-m-s-cp-dp,MJP117
26,Mold-Tek Pack,Manufacturing,"7,527.00",0.23,1.43,,edelweiss-m-s-cp-dp,MJP117
27,NCC,Cement & Construction,"25,290.00",0.22,1.4,,edelweiss-m-s-cp-dp,MJP117
28,Action Const,Engineering & Capital Goods,"29,264.00",0.2,1.26,,edelweiss-m-s-cp-dp,MJP117
29,CenturyPlyboard,Miscellaneous,"6,753.00",0.2,1.26,,edelweiss-m-s-cp-dp,MJP117
30,Finolex Ind,Chemicals,"3,239.00",0.2,1.24,,edelweiss-m-s-cp-dp,MJP117
31,Ahluwalia,Cement & Construction,"5,974.00",0.19,1.22,,edelweiss-m-s-cp-dp,MJP117
32,Persistent,Information Technology,"2,751.00",0.19,1.19,,edelweiss-m-s-cp-dp,MJP117
33,Jain Irrigation,Manufacturing,"17,804.00",0.18,1.16,,edelweiss-m-s-cp-dp,MJP117
34,J. K. Cement,Cement & Construction,"1,948.00",0.18,1.16,,edelweiss-m-s-cp-dp,MJP117
35,APL Apollo,Metals & Mining,"1,171.00",0.18,1.15,,edelweiss-m-s-cp-dp,MJP117
36,ITD Cementation,Cement & Construction,"10,591.00",0.18,1.14,,edelweiss-m-s-cp-dp,MJP117
37,Solar Ind,Chemicals,"2,161.00",0.18,1.13,,edelweiss-m-s-cp-dp,MJP117
38,Blue Star,Consumer Durables,"2,946.00",0.18,1.12,,edelweiss-m-s-cp-dp,MJP117
39,Dalmia Bharat,Cement & Construction,715.00,0.18,1.12,,edelweiss-m-s-cp-dp,MJP117
40,Trident,Manufacturing,"22,942.00",0.17,1.07,,edelweiss-m-s-cp-dp,MJP117
41,Aegis Logistics,Services,"8,921.00",0.17,1.07,,edelweiss-m-s-cp-dp,MJP117
42,Sadbhav Engg,Engineering & Capital Goods,"5,256.00",0.16,1.04,,edelweiss-m-s-cp-dp,MJP117
43,IIFL Holdings,Banking & Financial Services,"2,671.00",0.16,1.03,,edelweiss-m-s-cp-dp,MJP117
44,Suprajit Eng,Automotive,"5,044.00",0.16,1.02,,edelweiss-m-s-cp-dp,MJP117
45,Insecticides,Chemicals,"2,506.00",0.16,1.02,,edelweiss-m-s-cp-dp,MJP117
46,JK Tyre & Ind,Automotive,"9,706.00",0.16,0.99,,edelweiss-m-s-cp-dp,MJP117
47,Dhanuka Agritec,Chemicals,"1,821.00",0.15,0.97,,edelweiss-m-s-cp-dp,MJP117
48,V-Guard Ind,Miscellaneous,"8,682.00",0.15,0.95,,edelweiss-m-s-cp-dp,MJP117
49,Torrent Pharma,Pharmaceuticals,"1,202.00",0.15,0.93,,edelweiss-m-s-cp-dp,MJP117
50,Genus Power,Manufacturing,"28,912.00",0.14,0.88,,edelweiss-m-s-cp-dp,MJP117
51,KNR Construct,Cement & Construction,"6,406.00",0.13,0.84,,edelweiss-m-s-cp-dp,MJP117
52,Jyothy Labs,Consumer Non-durables,"3,545.00",0.13,0.8,,edelweiss-m-s-cp-dp,MJP117
53,Tube Investment,Miscellaneous,"1,843.00",0.12,0.78,,edelweiss-m-s-cp-dp,MJP117
