,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,P and G,Consumer Non-durables,157.00,0.13,3.18,,idbi-midcap-fund-dp,MIB230
1,Shree Cements,Cement & Construction,64.00,0.11,2.76,,idbi-midcap-fund-dp,MIB230
2,Minda Ind,Automotive,"1,608.00",0.1,2.6,,idbi-midcap-fund-dp,MIB230
3,Finolex Ind,Chemicals,"1,633.00",0.1,2.49,,idbi-midcap-fund-dp,MIB230
4,RBL Bank,Banking & Financial Services,"1,934.00",0.1,2.48,,idbi-midcap-fund-dp,MIB230
5,Bajaj Finance,Banking & Financial Services,689.00,0.09,2.39,,idbi-midcap-fund-dp,MIB230
6,Akzo Nobel,Chemicals,497.00,0.09,2.3,,idbi-midcap-fund-dp,MIB230
7,Vedanta,Metals & Mining,"3,625.00",0.09,2.28,,idbi-midcap-fund-dp,MIB230
8,Grasim,Conglomerates,724.00,0.09,2.27,,idbi-midcap-fund-dp,MIB230
9,Tata Elxsi,Information Technology,562.00,0.09,2.25,,idbi-midcap-fund-dp,MIB230
10,Motherson Sumi,Automotive,"2,893.00",0.09,2.25,,idbi-midcap-fund-dp,MIB230
11,Indiabulls Hsg,Banking & Financial Services,806.00,0.09,2.19,,idbi-midcap-fund-dp,MIB230
12,Aurobindo Pharm,Pharmaceuticals,"1,209.00",0.08,2.09,,idbi-midcap-fund-dp,MIB230
13,AIA Engineering,Engineering & Capital Goods,579.00,0.08,2.04,,idbi-midcap-fund-dp,MIB230
14,Canara Bank,Banking & Financial Services,"2,410.00",0.08,2.0,,idbi-midcap-fund-dp,MIB230
15,PNB Housing Fin,Banking & Financial Services,484.00,0.08,1.95,,idbi-midcap-fund-dp,MIB230
16,Siemens,Engineering & Capital Goods,563.00,0.08,1.9,,idbi-midcap-fund-dp,MIB230
17,Cummins,Engineering & Capital Goods,805.00,0.07,1.87,,idbi-midcap-fund-dp,MIB230
18,Dalmia Bharat,Cement & Construction,295.00,0.07,1.84,,idbi-midcap-fund-dp,MIB230
19,Supreme Ind,Manufacturing,581.00,0.07,1.8,,idbi-midcap-fund-dp,MIB230
20,M&M Financial,Banking & Financial Services,"2,009.00",0.07,1.75,,idbi-midcap-fund-dp,MIB230
21,Force Motors,Automotive,161.00,0.07,1.71,,idbi-midcap-fund-dp,MIB230
22,Amara Raja Batt,Automotive,807.00,0.07,1.71,,idbi-midcap-fund-dp,MIB230
23,Sanofi India,Pharmaceuticals,161.00,0.07,1.69,,idbi-midcap-fund-dp,MIB230
24,Ramco Cements,Cement & Construction,963.00,0.07,1.69,,idbi-midcap-fund-dp,MIB230
25,Escorts,Automotive,964.00,0.06,1.57,,idbi-midcap-fund-dp,MIB230
26,Va Tech Wabag,Engineering & Capital Goods,885.00,0.06,1.54,,idbi-midcap-fund-dp,MIB230
27,Cadila Health,Pharmaceuticals,"1,124.00",0.06,1.49,,idbi-midcap-fund-dp,MIB230
28,Torrent Pharma,Pharmaceuticals,483.00,0.06,1.49,,idbi-midcap-fund-dp,MIB230
