,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,P and G,Consumer Non-durables,"9,597.00",7.7,3.18,,idbi-midcap-fund-rp,MIB228
1,Shree Cements,Cement & Construction,"3,942.00",6.68,2.76,,idbi-midcap-fund-rp,MIB228
2,Minda Ind,Automotive,"98,312.00",6.3,2.6,,idbi-midcap-fund-rp,MIB228
3,Finolex Ind,Chemicals,"99,852.00",6.03,2.49,,idbi-midcap-fund-rp,MIB228
4,RBL Bank,Banking & Financial Services,"118,263.00",6.0,2.48,,idbi-midcap-fund-rp,MIB228
5,Bajaj Finance,Banking & Financial Services,"42,145.00",5.79,2.39,,idbi-midcap-fund-rp,MIB228
6,Akzo Nobel,Chemicals,"30,387.00",5.57,2.3,,idbi-midcap-fund-rp,MIB228
7,Vedanta,Metals & Mining,"221,665.00",5.52,2.28,,idbi-midcap-fund-rp,MIB228
8,Grasim,Conglomerates,"44,250.00",5.5,2.27,,idbi-midcap-fund-rp,MIB228
9,Tata Elxsi,Information Technology,"34,378.00",5.45,2.25,,idbi-midcap-fund-rp,MIB228
10,Motherson Sumi,Automotive,"176,869.00",5.45,2.25,,idbi-midcap-fund-rp,MIB228
11,Indiabulls Hsg,Banking & Financial Services,"49,274.00",5.3,2.19,,idbi-midcap-fund-rp,MIB228
12,Aurobindo Pharm,Pharmaceuticals,"73,919.00",5.06,2.09,,idbi-midcap-fund-rp,MIB228
13,AIA Engineering,Engineering & Capital Goods,"35,401.00",4.94,2.04,,idbi-midcap-fund-rp,MIB228
14,Canara Bank,Banking & Financial Services,"147,348.00",4.84,2.0,,idbi-midcap-fund-rp,MIB228
15,PNB Housing Fin,Banking & Financial Services,"29,580.00",4.72,1.95,,idbi-midcap-fund-rp,MIB228
16,Siemens,Engineering & Capital Goods,"34,450.00",4.6,1.9,,idbi-midcap-fund-rp,MIB228
17,Cummins,Engineering & Capital Goods,"49,229.00",4.53,1.87,,idbi-midcap-fund-rp,MIB228
18,Dalmia Bharat,Cement & Construction,"18,039.00",4.46,1.84,,idbi-midcap-fund-rp,MIB228
19,Supreme Ind,Manufacturing,"35,497.00",4.36,1.8,,idbi-midcap-fund-rp,MIB228
20,M&M Financial,Banking & Financial Services,"122,837.00",4.24,1.75,,idbi-midcap-fund-rp,MIB228
21,Force Motors,Automotive,"9,822.00",4.14,1.71,,idbi-midcap-fund-rp,MIB228
22,Amara Raja Batt,Automotive,"49,314.00",4.14,1.71,,idbi-midcap-fund-rp,MIB228
23,Sanofi India,Pharmaceuticals,"9,854.00",4.09,1.69,,idbi-midcap-fund-rp,MIB228
24,Ramco Cements,Cement & Construction,"58,882.00",4.09,1.69,,idbi-midcap-fund-rp,MIB228
