,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,Coromandel Int,Chemicals,-,-,4.36,,invesco-india-mid-cap-direct,MLI556
1,Vinati Organics,Chemicals,-,-,3.94,,invesco-india-mid-cap-direct,MLI556
2,IndusInd Bank,Banking & Financial Services,-,-,3.65,,invesco-india-mid-cap-direct,MLI556
3,MRF,Automotive,-,-,3.63,,invesco-india-mid-cap-direct,MLI556
4,Schaeffler Ind,Engineering & Capital Goods,-,-,3.6,,invesco-india-mid-cap-direct,MLI556
5,Container Corp,Services,-,-,3.58,,invesco-india-mid-cap-direct,MLI556
6,MCX India,Miscellaneous,-,-,3.48,,invesco-india-mid-cap-direct,MLI556
7,Ramco Cements,Cement & Construction,-,-,3.44,,invesco-india-mid-cap-direct,MLI556
8,Wonderla,Miscellaneous,-,-,3.4,,invesco-india-mid-cap-direct,MLI556
9,Heritage Foods,Food & Beverages,-,-,3.27,,invesco-india-mid-cap-direct,MLI556
10,United Brewerie,Food & Beverages,-,-,3.24,,invesco-india-mid-cap-direct,MLI556
11,Piramal Enter,Pharmaceuticals,-,-,3.09,,invesco-india-mid-cap-direct,MLI556
12,Aditya Birla F,Retail & Real Estate,-,-,2.88,,invesco-india-mid-cap-direct,MLI556
13,Motherson Sumi,Automotive,-,-,2.85,,invesco-india-mid-cap-direct,MLI556
14,Cholamandalam,Banking & Financial Services,-,-,2.74,,invesco-india-mid-cap-direct,MLI556
15,United Spirits,Food & Beverages,-,-,2.73,,invesco-india-mid-cap-direct,MLI556
16,Petronet LNG,Oil & Gas,-,-,2.71,,invesco-india-mid-cap-direct,MLI556
17,AIA Engineering,Engineering & Capital Goods,-,-,2.7,,invesco-india-mid-cap-direct,MLI556
18,Exide Ind,Automotive,-,-,2.54,,invesco-india-mid-cap-direct,MLI556
19,Timken,Engineering & Capital Goods,-,-,2.39,,invesco-india-mid-cap-direct,MLI556
20,Tata Metaliks,Metals & Mining,-,-,2.36,,invesco-india-mid-cap-direct,MLI556
21,Kotak Mahindra,Banking & Financial Services,-,-,2.33,,invesco-india-mid-cap-direct,MLI556
22,ISGEC Heavy Eng,Food & Beverages,-,-,2.28,,invesco-india-mid-cap-direct,MLI556
23,Greenply Ind,Miscellaneous,-,-,2.22,,invesco-india-mid-cap-direct,MLI556
24,Thermax,Engineering & Capital Goods,-,-,2.15,,invesco-india-mid-cap-direct,MLI556
25,Syngene Intl,Miscellaneous,-,-,2.14,,invesco-india-mid-cap-direct,MLI556
26,Voltas,Conglomerates,-,-,2.12,,invesco-india-mid-cap-direct,MLI556
27,Rallis India,Chemicals,-,-,2.12,,invesco-india-mid-cap-direct,MLI556
28,Redington,Information Technology,-,-,2.11,,invesco-india-mid-cap-direct,MLI556
29,PNC Infratech,Retail & Real Estate,-,-,1.9,,invesco-india-mid-cap-direct,MLI556
30,L&T Finance,Banking & Financial Services,-,-,1.89,,invesco-india-mid-cap-direct,MLI556
31,VIP Industries,Manufacturing,-,-,1.84,,invesco-india-mid-cap-direct,MLI556
32,V-Mart Retail,Retail & Real Estate,-,-,1.2,,invesco-india-mid-cap-direct,MLI556
33,Esab India,Engineering & Capital Goods,-,-,1.15,,invesco-india-mid-cap-direct,MLI556
34,Repco Home,Banking & Financial Services,-,-,1.15,,invesco-india-mid-cap-direct,MLI556
35,Shriram Trans,Banking & Financial Services,-,-,1.04,,invesco-india-mid-cap-direct,MLI556
36,DB Corp,Media & Entertainment,-,-,0.99,,invesco-india-mid-cap-direct,MLI556
37,Camlin Fine,Chemicals,-,-,0.83,,invesco-india-mid-cap-direct,MLI556
