,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,IndusInd Bank,Banking & Financial Services,-,-,4.98,,invesco-india-mid-n-smallcap,MLI183
1,Coromandel Int,Chemicals,-,-,4.34,,invesco-india-mid-n-smallcap,MLI183
2,Vinati Organics,Chemicals,-,-,3.75,,invesco-india-mid-n-smallcap,MLI183
3,Schaeffler Ind,Engineering & Capital Goods,-,-,3.61,,invesco-india-mid-n-smallcap,MLI183
4,Container Corp,Services,-,-,3.58,,invesco-india-mid-n-smallcap,MLI183
5,Ramco Cements,Cement & Construction,-,-,3.53,,invesco-india-mid-n-smallcap,MLI183
6,United Brewerie,Food & Beverages,-,-,3.46,,invesco-india-mid-n-smallcap,MLI183
7,Heritage Foods,Food & Beverages,-,-,3.33,,invesco-india-mid-n-smallcap,MLI183
8,Wonderla,Miscellaneous,-,-,3.26,,invesco-india-mid-n-smallcap,MLI183
9,Piramal Enter,Pharmaceuticals,-,-,3.22,,invesco-india-mid-n-smallcap,MLI183
10,MCX India,Miscellaneous,-,-,3.17,,invesco-india-mid-n-smallcap,MLI183
11,MRF,Automotive,-,-,3.14,,invesco-india-mid-n-smallcap,MLI183
12,Aditya Birla F,Retail & Real Estate,-,-,2.94,,invesco-india-mid-n-smallcap,MLI183
13,Petronet LNG,Oil & Gas,-,-,2.78,,invesco-india-mid-n-smallcap,MLI183
14,United Spirits,Food & Beverages,-,-,2.71,,invesco-india-mid-n-smallcap,MLI183
15,AIA Engineering,Engineering & Capital Goods,-,-,2.59,,invesco-india-mid-n-smallcap,MLI183
16,Exide Ind,Automotive,-,-,2.59,,invesco-india-mid-n-smallcap,MLI183
17,ISGEC Heavy Eng,Food & Beverages,-,-,2.57,,invesco-india-mid-n-smallcap,MLI183
18,Maruti Suzuki,Automotive,-,-,2.52,,invesco-india-mid-n-smallcap,MLI183
19,Motherson Sumi,Automotive,-,-,2.41,,invesco-india-mid-n-smallcap,MLI183
20,Timken,Engineering & Capital Goods,-,-,2.4,,invesco-india-mid-n-smallcap,MLI183
21,L&T Finance,Banking & Financial Services,-,-,2.37,,invesco-india-mid-n-smallcap,MLI183
22,Thermax,Engineering & Capital Goods,-,-,2.24,,invesco-india-mid-n-smallcap,MLI183
23,Cholamandalam,Banking & Financial Services,-,-,2.19,,invesco-india-mid-n-smallcap,MLI183
24,Tata Metaliks,Metals & Mining,-,-,2.14,,invesco-india-mid-n-smallcap,MLI183
25,Syngene Intl,Miscellaneous,-,-,2.11,,invesco-india-mid-n-smallcap,MLI183
26,Redington,Information Technology,-,-,2.11,,invesco-india-mid-n-smallcap,MLI183
27,Voltas,Conglomerates,-,-,2.07,,invesco-india-mid-n-smallcap,MLI183
28,Rallis India,Chemicals,-,-,2.02,,invesco-india-mid-n-smallcap,MLI183
29,VIP Industries,Manufacturing,-,-,1.91,,invesco-india-mid-n-smallcap,MLI183
30,Greenply Ind,Miscellaneous,-,-,1.91,,invesco-india-mid-n-smallcap,MLI183
31,V-Mart Retail,Retail & Real Estate,-,-,1.41,,invesco-india-mid-n-smallcap,MLI183
32,PNC Infratech,Retail & Real Estate,-,-,1.4,,invesco-india-mid-n-smallcap,MLI183
33,Esab India,Engineering & Capital Goods,-,-,1.18,,invesco-india-mid-n-smallcap,MLI183
34,Repco Home,Banking & Financial Services,-,-,1.13,,invesco-india-mid-n-smallcap,MLI183
35,Shriram Trans,Banking & Financial Services,-,-,1.03,,invesco-india-mid-n-smallcap,MLI183
36,DB Corp,Media & Entertainment,-,-,1.02,,invesco-india-mid-n-smallcap,MLI183
37,Camlin Fine,Chemicals,-,-,0.83,,invesco-india-mid-n-smallcap,MLI183
