,Unnamed: 0,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,0,UPL,Chemicals,"39,185.00",3.29,5.04,,newbirla-sl-emer-leaders-sr-5-rp,MBS1995
1,1,Chennai Petro,Oil & Gas,"73,492.00",2.6,3.98,,newbirla-sl-emer-leaders-sr-5-rp,MBS1995
2,2,Muthoot Finance,Banking & Financial Services,"56,911.00",2.59,3.96,,newbirla-sl-emer-leaders-sr-5-rp,MBS1995
3,3,J Kumar Infra,Cement & Construction,"73,613.00",2.19,3.35,,newbirla-sl-emer-leaders-sr-5-rp,MBS1995
4,4,Endurance Techn,Automotive,"24,422.00",2.14,3.28,,newbirla-sl-emer-leaders-sr-5-rp,MBS1995
5,5,Voltas,Conglomerates,"43,955.00",2.01,3.08,,newbirla-sl-emer-leaders-sr-5-rp,MBS1995
6,6,CG Consumer,Manufacturing,"88,376.00",1.99,3.05,,newbirla-sl-emer-leaders-sr-5-rp,MBS1995
7,7,NALCO,Metals & Mining,"293,199.00",1.9,2.91,,newbirla-sl-emer-leaders-sr-5-rp,MBS1995
8,8,Sonata,Information Technology,"115,381.00",1.76,2.7,,newbirla-sl-emer-leaders-sr-5-rp,MBS1995
9,9,L&T Finance,Banking & Financial Services,"122,768.00",1.76,2.7,,newbirla-sl-emer-leaders-sr-5-rp,MBS1995
10,10,KPR Mill,Manufacturing,"20,078.00",1.65,2.52,,newbirla-sl-emer-leaders-sr-5-rp,MBS1995
11,11,Atul,Chemicals,"6,628.00",1.61,2.46,,newbirla-sl-emer-leaders-sr-5-rp,MBS1995
12,12,IFGL Refractory,Cement & Construction,"68,480.00",1.57,2.41,,newbirla-sl-emer-leaders-sr-5-rp,MBS1995
13,13,Johnson Control,Consumer Durables,"7,566.00",1.51,2.31,,newbirla-sl-emer-leaders-sr-5-rp,MBS1995
14,14,Gulf Oil Lubric,Chemicals,"18,464.00",1.5,2.29,,newbirla-sl-emer-leaders-sr-5-rp,MBS1995
15,15,DCB Bank,Banking & Financial Services,"72,417.00",1.44,2.2,,newbirla-sl-emer-leaders-sr-5-rp,MBS1995
16,16,Edelweiss,Banking & Financial Services,"73,473.00",1.4,2.15,,newbirla-sl-emer-leaders-sr-5-rp,MBS1995
17,17,Sanghi Ind,Cement & Construction,"166,644.00",1.4,2.15,,newbirla-sl-emer-leaders-sr-5-rp,MBS1995
18,18,Repco Home,Banking & Financial Services,"16,489.00",1.36,2.08,,newbirla-sl-emer-leaders-sr-5-rp,MBS1995
