,Unnamed: 0,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,0,IndusInd Bank,Banking & Financial Services,"16,700.00",2.75,4.69,,newcan-robeco-india-opport-sr-2-dp-,MCA278
1,1,Navin Fluorine,Chemicals,"30,000.00",2.11,3.59,,newcan-robeco-india-opport-sr-2-dp-,MCA278
2,2,City Union Bank,Banking & Financial Services,"96,250.00",1.7,2.89,,newcan-robeco-india-opport-sr-2-dp-,MCA278
3,3,Can Fin Homes,Banking & Financial Services,"5,400.00",1.67,2.84,,newcan-robeco-india-opport-sr-2-dp-,MCA278
4,4,Sundram,Manufacturing,"40,000.00",1.66,2.83,,newcan-robeco-india-opport-sr-2-dp-,MCA278
5,5,Techno Electric,Engineering & Capital Goods,"39,986.00",1.47,2.51,,newcan-robeco-india-opport-sr-2-dp-,MCA278
6,6,Akzo Nobel,Chemicals,"8,000.00",1.43,2.44,,newcan-robeco-india-opport-sr-2-dp-,MCA278
7,7,Whirlpool,Consumer Durables,"12,000.00",1.4,2.4,,newcan-robeco-india-opport-sr-2-dp-,MCA278
8,8,ICICI Bank,Banking & Financial Services,"44,000.00",1.33,2.27,,newcan-robeco-india-opport-sr-2-dp-,MCA278
9,9,Honeywell Autom,Telecommunication,"1,050.00",1.31,2.24,,newcan-robeco-india-opport-sr-2-dp-,MCA278
10,10,Honeywell Autom,Telecommunication,"23,200.00",1.28,2.18,,newcan-robeco-india-opport-sr-2-dp-,MCA278
11,11,V-Guard Ind,Miscellaneous,"71,100.00",1.27,2.16,,newcan-robeco-india-opport-sr-2-dp-,MCA278
12,12,Ramco Cements,Cement & Construction,"18,500.00",1.26,2.14,,newcan-robeco-india-opport-sr-2-dp-,MCA278
13,13,Asahi India,Manufacturing,"40,000.00",1.17,2.0,,newcan-robeco-india-opport-sr-2-dp-,MCA278
14,14,HUL,Consumer Non-durables,"10,000.00",1.16,1.97,,newcan-robeco-india-opport-sr-2-dp-,MCA278
15,15,NCC,Cement & Construction,"130,000.00",1.16,1.97,,newcan-robeco-india-opport-sr-2-dp-,MCA278
16,16,CCL Products,Food & Beverages,"40,000.00",1.13,1.93,,newcan-robeco-india-opport-sr-2-dp-,MCA278
17,17,Container Corp,Services,"9,800.00",1.12,1.91,,newcan-robeco-india-opport-sr-2-dp-,MCA278
18,18,Power Grid Corp,Utilities,"50,000.00",1.12,1.9,,newcan-robeco-india-opport-sr-2-dp-,MCA278
