,Unnamed: 0,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,0,MRF,Automotive,"2,031.00",13.88,3.0,,newedelweiss-m-s-cp,MJP007
1,1,Federal Bank,Banking & Financial Services,"1,168,058.00",13.18,2.85,,newedelweiss-m-s-cp,MJP007
2,2,Kansai Nerolac,Chemicals,"292,023.00",12.86,2.78,,newedelweiss-m-s-cp,MJP007
3,3,Petronet LNG,Oil & Gas,"582,339.00",12.58,2.72,,newedelweiss-m-s-cp,MJP007
4,4,City Union Bank,Banking & Financial Services,"664,592.00",10.68,2.31,,newedelweiss-m-s-cp,MJP007
5,5,Sterlite Techno,Telecommunication,"709,613.00",10.41,2.25,,newedelweiss-m-s-cp,MJP007
6,6,IndusInd Bank,Banking & Financial Services,"69,738.00",10.31,2.23,,newedelweiss-m-s-cp,MJP007
7,7,Cholamandalam,Banking & Financial Services,"88,454.00",9.94,2.15,,newedelweiss-m-s-cp,MJP007
8,8,Ramco Cements,Cement & Construction,"142,423.00",9.9,2.14,,newedelweiss-m-s-cp,MJP007
9,9,Havells India,Engineering & Capital Goods,"212,151.00",9.76,2.11,,newedelweiss-m-s-cp,MJP007
10,10,Vakrangee,Information Technology,"225,458.00",9.71,2.1,,newedelweiss-m-s-cp,MJP007
11,11,Supreme Ind,Manufacturing,"77,977.00",9.57,2.07,,newedelweiss-m-s-cp,MJP007
12,12,GRUH Finance,Banking & Financial Services,"204,660.00",9.11,1.97,,newedelweiss-m-s-cp,MJP007
13,13,NBCC (India),Engineering & Capital Goods,"445,380.00",9.02,1.95,,newedelweiss-m-s-cp,MJP007
14,14,Kirloskar Bros,Engineering & Capital Goods,"337,974.00",8.51,1.84,,newedelweiss-m-s-cp,MJP007
15,15,Vinati Organics,Chemicals,"89,432.00",8.23,1.78,,newedelweiss-m-s-cp,MJP007
16,16,Equitas Holding,Banking & Financial Services,"545,762.00",8.19,1.77,,newedelweiss-m-s-cp,MJP007
17,17,Whirlpool,Consumer Durables,"69,477.00",7.91,1.71,,newedelweiss-m-s-cp,MJP007
18,18,TeamLease Ser.,Miscellaneous,"54,723.00",7.35,1.59,,newedelweiss-m-s-cp,MJP007
19,19,Page Industries,Manufacturing,"4,339.00",7.26,1.57,,newedelweiss-m-s-cp,MJP007
20,20,CG Consumer,Manufacturing,"312,493.00",7.08,1.53,,newedelweiss-m-s-cp,MJP007
21,21,Motilal Oswal,Banking & Financial Services,"60,920.00",6.98,1.51,,newedelweiss-m-s-cp,MJP007
22,22,Amara Raja Batt,Automotive,"82,080.00",6.89,1.49,,newedelweiss-m-s-cp,MJP007
23,23,JK Lakshmi Cem,Cement & Construction,"139,259.00",6.75,1.46,,newedelweiss-m-s-cp,MJP007
24,24,IGL,Oil & Gas,"63,468.00",6.71,1.45,,newedelweiss-m-s-cp,MJP007
25,25,Kajaria Ceramic,Cement & Construction,"99,405.00",6.61,1.43,,newedelweiss-m-s-cp,MJP007
26,26,Mold-Tek Pack,Manufacturing,"220,757.00",6.61,1.43,,newedelweiss-m-s-cp,MJP007
27,27,NCC,Cement & Construction,"741,711.00",6.48,1.4,,newedelweiss-m-s-cp,MJP007
28,28,Action Const,Engineering & Capital Goods,"858,266.00",5.83,1.26,,newedelweiss-m-s-cp,MJP007
29,29,CenturyPlyboard,Miscellaneous,"198,050.00",5.83,1.26,,newedelweiss-m-s-cp,MJP007
30,30,Finolex Ind,Chemicals,"94,984.00",5.74,1.24,,newedelweiss-m-s-cp,MJP007
31,31,Ahluwalia,Cement & Construction,"175,210.00",5.64,1.22,,newedelweiss-m-s-cp,MJP007
32,32,Persistent,Information Technology,"80,684.00",5.5,1.19,,newedelweiss-m-s-cp,MJP007
33,33,Jain Irrigation,Manufacturing,"522,152.00",5.37,1.16,,newedelweiss-m-s-cp,MJP007
34,34,J. K. Cement,Cement & Construction,"57,143.00",5.37,1.16,,newedelweiss-m-s-cp,MJP007
35,35,APL Apollo,Metals & Mining,"34,335.00",5.32,1.15,,newedelweiss-m-s-cp,MJP007
36,36,ITD Cementation,Cement & Construction,"310,611.00",5.27,1.14,,newedelweiss-m-s-cp,MJP007
37,37,Solar Ind,Chemicals,"63,377.00",5.23,1.13,,newedelweiss-m-s-cp,MJP007
38,38,Blue Star,Consumer Durables,"86,407.00",5.18,1.12,,newedelweiss-m-s-cp,MJP007
39,39,Dalmia Bharat,Cement & Construction,"20,975.00",5.18,1.12,,newedelweiss-m-s-cp,MJP007
40,40,Trident,Manufacturing,"672,856.00",4.95,1.07,,newedelweiss-m-s-cp,MJP007
41,41,Aegis Logistics,Services,"261,637.00",4.95,1.07,,newedelweiss-m-s-cp,MJP007
