,Unnamed: 0,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,0,KSB Pumps,Engineering & Capital Goods,"2,488.00",0.19,4.82,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
1,1,Johnson Control,Consumer Durables,922.00,0.18,4.69,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
2,2,Grindwell Norto,Engineering & Capital Goods,"4,573.00",0.18,4.68,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
3,3,Timken,Engineering & Capital Goods,"2,468.00",0.16,4.2,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
4,4,Heidelberg Cem,Cement & Construction,"12,392.00",0.15,3.95,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
5,5,BASF,Chemicals,806.00,0.14,3.66,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
6,6,Ingersoll Rand,Engineering & Capital Goods,"1,617.00",0.14,3.48,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
7,7,DCB Bank,Banking & Financial Services,"6,675.00",0.13,3.38,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
8,8,J. K. Cement,Cement & Construction,"1,385.00",0.13,3.32,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
9,9,Bayer CropScien,Chemicals,266.00,0.12,3.15,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
10,10,NRB Bearings,Engineering & Capital Goods,"9,395.00",0.12,3.07,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
11,11,Honeywell Autom,Telecommunication,102.00,0.12,3.04,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
12,12,Mahindra CIE,Manufacturing,"4,679.00",0.11,2.91,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
13,13,Elantas Beck,Chemicals,578.00,0.11,2.88,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
14,14,Schneider Infra,Utilities,"8,357.00",0.11,2.73,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
15,15,Vesuvius India,Cement & Construction,849.00,0.11,2.73,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
16,16,Minda Ind,Automotive,"1,431.00",0.09,2.34,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
17,17,Ador Welding,Engineering & Capital Goods,"2,401.00",0.09,2.3,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
18,18,Blue Star,Consumer Durables,"1,449.00",0.09,2.22,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
19,19,Take Solutions,Information Technology,"4,657.00",0.08,1.95,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
20,20,Subros,Automotive,"3,087.00",0.07,1.9,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
21,21,Goodyear,Automotive,832.00,0.07,1.88,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
22,22,INOX Leisure,Media & Entertainment,"2,380.00",0.07,1.66,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
23,23,Salzer Electro,Engineering & Capital Goods,"3,270.00",0.07,1.66,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
24,24,HSIL,Cement & Construction,"1,740.00",0.06,1.62,,newsundaram-select-micro-cap-sr-4-dp-g,MSN869
