,Unnamed: 0,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,0,Rane Holdings,Automotive,8.0,0.00,6.56,,newsundaram-smile-fund-ip,MSN339
1,1,Navin Fluorine,Chemicals,13.0,0.00,3.98,,newsundaram-smile-fund-ip,MSN339
2,2,V-Guard Ind,Miscellaneous,45.0,0.00,3.87,,newsundaram-smile-fund-ip,MSN339
3,3,J. K. Cement,Cement & Construction,8.0,0.00,3.63,,newsundaram-smile-fund-ip,MSN339
4,4,Karur Vysya,Banking & Financial Services,49.0,0.00,3.54,,newsundaram-smile-fund-ip,MSN339
5,5,DCB Bank,Banking & Financial Services,34.0,0.00,3.4,,newsundaram-smile-fund-ip,MSN339
6,6,PNC Infratech,Retail & Real Estate,46.0,0.00,3.27,,newsundaram-smile-fund-ip,MSN339
7,7,India Cements,Cement & Construction,32.0,0.00,3.19,,newsundaram-smile-fund-ip,MSN339
8,8,Himatsingka Sei,Manufacturing,18.0,0.00,3.14,,newsundaram-smile-fund-ip,MSN339
9,9,CenturyPlyboard,Miscellaneous,20.0,0.00,2.94,,newsundaram-smile-fund-ip,MSN339
10,10,ITD Cementation,Cement & Construction,31.0,0.00,2.63,,newsundaram-smile-fund-ip,MSN339
11,11,Heritage Foods,Food & Beverages,5.0,0.00,2.62,,newsundaram-smile-fund-ip,MSN339
12,12,HSIL,Cement & Construction,14.0,0.00,2.6,,newsundaram-smile-fund-ip,MSN339
13,13,NRB Bearings,Engineering & Capital Goods,40.0,0.00,2.57,,newsundaram-smile-fund-ip,MSN339
14,14,Ashoka Buildcon,Cement & Construction,27.0,0.00,2.5,,newsundaram-smile-fund-ip,MSN339
15,15,ISGEC Heavy Eng,Food & Beverages,1.0,0.00,2.43,,newsundaram-smile-fund-ip,MSN339
16,16,Timken,Engineering & Capital Goods,7.0,0.00,2.4,,newsundaram-smile-fund-ip,MSN339
17,17,Strides Shasun,Pharmaceuticals,5.0,0.00,2.37,,newsundaram-smile-fund-ip,MSN339
18,18,Ramcoind,Cement & Construction,20.0,0.00,2.34,,newsundaram-smile-fund-ip,MSN339
19,19,Heidelberg Cem,Cement & Construction,35.0,0.00,2.17,,newsundaram-smile-fund-ip,MSN339
20,20,Praj Industries,Engineering & Capital Goods,57.0,0.00,2.14,,newsundaram-smile-fund-ip,MSN339
21,21,Gateway Distri,Miscellaneous,16.0,0.00,2.07,,newsundaram-smile-fund-ip,MSN339
22,22,Brigade Ent,Retail & Real Estate,16.0,0.00,2.03,,newsundaram-smile-fund-ip,MSN339
23,23,Amrutanjan Heal,Pharmaceuticals,6.0,0.00,2.0,,newsundaram-smile-fund-ip,MSN339
24,24,TD Power System,Engineering & Capital Goods,17.0,0.00,1.98,,newsundaram-smile-fund-ip,MSN339
25,25,Take Solutions,Information Technology,24.0,0.00,1.93,,newsundaram-smile-fund-ip,MSN339
26,26,LG Balakrishnan,Engineering & Capital Goods,5.0,0.00,1.87,,newsundaram-smile-fund-ip,MSN339
27,27,Kalpataru Power,Engineering & Capital Goods,11.0,0.00,1.72,,newsundaram-smile-fund-ip,MSN339
28,28,INOX Leisure,Media & Entertainment,12.0,0.00,1.7,,newsundaram-smile-fund-ip,MSN339
29,29,Ramco Cements,Cement & Construction,4.0,0.00,1.52,,newsundaram-smile-fund-ip,MSN339
30,30,Astra Microwave,Telecommunication,21.0,0.00,1.51,,newsundaram-smile-fund-ip,MSN339
31,31,Carborundum,Engineering & Capital Goods,9.0,0.00,1.39,,newsundaram-smile-fund-ip,MSN339
32,32,KSB Pumps,Engineering & Capital Goods,4.0,0.00,1.37,,newsundaram-smile-fund-ip,MSN339
33,33,Taj GVK Hotels,Services,16.0,0.00,1.33,,newsundaram-smile-fund-ip,MSN339
34,34,Va Tech Wabag,Engineering & Capital Goods,4.0,0.00,1.21,,newsundaram-smile-fund-ip,MSN339
35,35,Asian Granito,Cement & Construction,5.0,0.00,1.13,,newsundaram-smile-fund-ip,MSN339
36,36,Redington,Information Technology,17.0,0.00,1.12,,newsundaram-smile-fund-ip,MSN339
37,37,SREI Infra,Banking & Financial Services,18.0,0.00,1.07,,newsundaram-smile-fund-ip,MSN339
38,38,Healthcare Glob,Services,8.0,0.00,1.02,,newsundaram-smile-fund-ip,MSN339
39,39,Star Cement,Metals & Mining,17.0,0.00,0.99,,newsundaram-smile-fund-ip,MSN339
40,40,Ramco System,Information Technology,6.0,0.00,0.96,,newsundaram-smile-fund-ip,MSN339
41,41,Thyrocare Techn,Services,2.0,0.00,0.89,,newsundaram-smile-fund-ip,MSN339
42,42,Triveni Engg,Food & Beverages,24.0,0.00,0.89,,newsundaram-smile-fund-ip,MSN339
43,43,GNFC,Chemicals,6.0,0.00,0.84,,newsundaram-smile-fund-ip,MSN339
44,44,Vijaya Bank,Banking & Financial Services,22.0,0.00,0.81,,newsundaram-smile-fund-ip,MSN339
45,45,Hind Constr,Cement & Construction,11.0,-,0.22,,newsundaram-smile-fund-ip,MSN339
46,46,Hind Dorr-Olive,Engineering & Capital Goods,25.0,-,0.04,,newsundaram-smile-fund-ip,MSN339
