,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,Himatsingka Sei,Manufacturing,"3,023.00",0.1,3.81,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
1,Navin Fluorine,Chemicals,"1,450.00",0.09,3.26,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
2,India Cements,Cement & Construction,"4,114.00",0.08,3.01,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
3,NCC,Cement & Construction,"9,062.00",0.08,2.93,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
4,Astra Microwave,Telecommunication,"5,484.00",0.08,2.88,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
5,Asian Granito,Cement & Construction,"1,661.00",0.07,2.65,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
6,Mahindra Holida,Services,"1,661.00",0.06,2.4,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
7,Rallis India,Chemicals,"2,470.00",0.06,2.22,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
8,Taj GVK Hotels,Services,"3,404.00",0.06,2.13,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
9,Repco Home,Banking & Financial Services,691.00,0.06,2.11,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
10,Rane Holdings,Automotive,317.00,0.06,2.05,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
11,Elgi Equipments,Engineering & Capital Goods,"2,383.00",0.06,2.04,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
12,Ramcoind,Cement & Construction,"2,290.00",0.05,2.01,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
13,Grindwell Norto,Engineering & Capital Goods,"1,329.00",0.05,1.98,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
14,Rajapalayam,Manufacturing,552.00,0.05,1.98,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
15,Praj Industries,Engineering & Capital Goods,"6,858.00",0.05,1.91,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
16,Brigade Ent,Retail & Real Estate,"1,964.00",0.05,1.88,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
17,Indian Terrain,Manufacturing,"2,375.00",0.05,1.79,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
18,JK Tyre & Ind,Automotive,"2,971.00",0.05,1.77,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
19,Johnson Control,Consumer Durables,232.00,0.05,1.72,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
20,Ashoka Buildcon,Cement & Construction,"2,311.00",0.04,1.58,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
21,Force Motors,Automotive,83.00,0.03,1.29,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
22,Guj Mineral,Metals & Mining,"2,369.00",0.03,1.29,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
23,Geojit Fin,Banking & Financial Services,"3,561.00",0.03,1.29,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
24,Subros,Automotive,"1,419.00",0.03,1.27,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
25,Va Tech Wabag,Engineering & Capital Goods,482.00,0.03,1.23,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
26,Timken,Engineering & Capital Goods,493.00,0.03,1.22,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
27,Dollar Ind,Manufacturing,157.00,0.03,1.22,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
28,Mcleod,Food & Beverages,"1,881.00",0.03,1.21,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
29,PSP Projects,Cement & Construction,"1,212.00",0.03,1.21,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
30,HSIL,Cement & Construction,864.00,0.03,1.17,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
31,CL Educate,Miscellaneous,743.00,0.03,1.17,,sundaram-select-micro-cap-sr-14-dp-g,MSN1326
