,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,Sundaram-Clayto,Automotive,18.0,0.01,3.52,,sundaram-select-midcap-ip,MSN335
1,Bajaj Finserv,Banking & Financial Services,18.0,0.01,3.17,,sundaram-select-midcap-ip,MSN335
2,UPL,Chemicals,85.0,0.01,3.09,,sundaram-select-midcap-ip,MSN335
3,Schaeffler Ind,Engineering & Capital Goods,16.0,0.01,3.05,,sundaram-select-midcap-ip,MSN335
4,Ramco Cements,Cement & Construction,93.0,0.01,2.8,,sundaram-select-midcap-ip,MSN335
5,Federal Bank,Banking & Financial Services,524.0,0.01,2.57,,sundaram-select-midcap-ip,MSN335
6,IGL,Oil & Gas,53.0,0.01,2.44,,sundaram-select-midcap-ip,MSN335
7,Arvind,Manufacturing,151.0,0.01,2.36,,sundaram-select-midcap-ip,MSN335
8,SRF,Manufacturing,35.0,0.01,2.34,,sundaram-select-midcap-ip,MSN335
9,Mahindra CIE,Manufacturing,192.0,0.0,2.04,,sundaram-select-midcap-ip,MSN335
10,LIC Housing Fin,Banking & Financial Services,63.0,0.0,2.03,,sundaram-select-midcap-ip,MSN335
11,Exide Ind,Automotive,211.0,0.0,2.02,,sundaram-select-midcap-ip,MSN335
12,Cholamandalam,Banking & Financial Services,42.0,0.0,2.02,,sundaram-select-midcap-ip,MSN335
13,Honeywell Autom,Telecommunication,4.0,0.0,2.02,,sundaram-select-midcap-ip,MSN335
14,Karur Vysya,Banking & Financial Services,315.0,0.0,1.98,,sundaram-select-midcap-ip,MSN335
15,DCB Bank,Banking & Financial Services,228.0,0.0,1.97,,sundaram-select-midcap-ip,MSN335
16,Indian Bank,Banking & Financial Services,160.0,0.0,1.95,,sundaram-select-midcap-ip,MSN335
17,Apollo Tyres,Automotive,180.0,0.0,1.89,,sundaram-select-midcap-ip,MSN335
18,Timken,Engineering & Capital Goods,63.0,0.0,1.82,,sundaram-select-midcap-ip,MSN335
19,M&M Financial,Banking & Financial Services,118.0,0.0,1.77,,sundaram-select-midcap-ip,MSN335
20,Emami,Consumer Non-durables,33.0,0.0,1.53,,sundaram-select-midcap-ip,MSN335
21,Bayer CropScien,Chemicals,8.0,0.0,1.52,,sundaram-select-midcap-ip,MSN335
22,WABCO India,Automotive,6.0,0.0,1.51,,sundaram-select-midcap-ip,MSN335
23,Shriram City,Banking & Financial Services,14.0,0.0,1.49,,sundaram-select-midcap-ip,MSN335
24,HSIL,Cement & Construction,90.0,0.0,1.43,,sundaram-select-midcap-ip,MSN335
25,CRISIL,Miscellaneous,17.0,0.0,1.41,,sundaram-select-midcap-ip,MSN335
26,Century,Conglomerates,29.0,0.0,1.39,,sundaram-select-midcap-ip,MSN335
27,IIFL Holdings,Banking & Financial Services,52.0,0.0,1.37,,sundaram-select-midcap-ip,MSN335
28,Coromandel Int,Chemicals,75.0,0.0,1.36,,sundaram-select-midcap-ip,MSN335
29,Whirlpool,Consumer Durables,27.0,0.0,1.36,,sundaram-select-midcap-ip,MSN335
30,Apollo Hospital,Services,24.0,0.0,1.32,,sundaram-select-midcap-ip,MSN335
31,Healthcare Glob,Services,119.0,0.0,1.3,,sundaram-select-midcap-ip,MSN335
32,PVR,Media & Entertainment,21.0,0.0,1.28,,sundaram-select-midcap-ip,MSN335
33,Mahindra Holida,Services,75.0,0.0,1.27,,sundaram-select-midcap-ip,MSN335
34,Trent,Retail & Real Estate,122.0,0.0,1.25,,sundaram-select-midcap-ip,MSN335
35,Ujjivan Financi,Banking & Financial Services,93.0,0.0,1.25,,sundaram-select-midcap-ip,MSN335
36,Tata Chemicals,Chemicals,47.0,0.0,1.23,,sundaram-select-midcap-ip,MSN335
37,Jyothy Labs,Consumer Non-durables,79.0,0.0,1.22,,sundaram-select-midcap-ip,MSN335
38,Thermax,Engineering & Capital Goods,29.0,0.0,1.19,,sundaram-select-midcap-ip,MSN335
39,City Union Bank,Banking & Financial Services,166.0,0.0,1.16,,sundaram-select-midcap-ip,MSN335
40,P and G,Consumer Non-durables,3.0,0.0,1.14,,sundaram-select-midcap-ip,MSN335
41,Varun Beverages,Food & Beverages,49.0,0.0,1.13,,sundaram-select-midcap-ip,MSN335
42,Grindwell Norto,Engineering & Capital Goods,61.0,0.0,1.07,,sundaram-select-midcap-ip,MSN335
43,CESC,Utilities,28.0,0.0,1.06,,sundaram-select-midcap-ip,MSN335
44,Bank of Baroda,Banking & Financial Services,148.0,0.0,1.04,,sundaram-select-midcap-ip,MSN335
45,Max Financial,Manufacturing,38.0,0.0,1.03,,sundaram-select-midcap-ip,MSN335
46,Castrol,Chemicals,58.0,0.0,1.02,,sundaram-select-midcap-ip,MSN335
47,Oracle Fin Serv,Information Technology,7.0,0.0,1.02,,sundaram-select-midcap-ip,MSN335
48,Force Motors,Automotive,5.0,0.0,1.0,,sundaram-select-midcap-ip,MSN335
49,Tata Global Bev,Food & Beverages,150.0,0.0,0.98,,sundaram-select-midcap-ip,MSN335
50,GlaxoSmith Con,Food & Beverages,4.0,0.0,0.96,,sundaram-select-midcap-ip,MSN335
51,Strides Shasun,Pharmaceuticals,22.0,0.0,0.96,,sundaram-select-midcap-ip,MSN335
52,Guj State Petro,Oil & Gas,124.0,0.0,0.95,,sundaram-select-midcap-ip,MSN335
53,L&T Technology,Information Technology,30.0,0.0,0.94,,sundaram-select-midcap-ip,MSN335
54,Vardhman Text,Manufacturing,18.0,0.0,0.89,,sundaram-select-midcap-ip,MSN335
55,HUDCO,Retail & Real Estate,295.0,0.0,0.86,,sundaram-select-midcap-ip,MSN335
56,MphasiS,Information Technology,33.0,0.0,0.86,,sundaram-select-midcap-ip,MSN335
57,Gateway Distri,Miscellaneous,75.0,0.0,0.84,,sundaram-select-midcap-ip,MSN335
58,Aditya Birla F,Retail & Real Estate,105.0,0.0,0.79,,sundaram-select-midcap-ip,MSN335
59,PNB,Banking & Financial Services,129.0,0.0,0.77,,sundaram-select-midcap-ip,MSN335
