,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,Future Retail,Retail & Real Estate,"720,000.00",29.1,4.57,,tata-mid-cap-growth-direct,MTA776
1,Yes Bank,Banking & Financial Services,"142,000.00",25.7,4.04,,tata-mid-cap-growth-direct,MTA776
2,Future Consumer,Banking & Financial Services,"4,730,000.00",19.91,3.13,,tata-mid-cap-growth-direct,MTA776
3,KNR Construct,Cement & Construction,"900,000.00",19.01,2.99,,tata-mid-cap-growth-direct,MTA776
4,Shree Cements,Cement & Construction,"10,000.00",18.64,2.93,,tata-mid-cap-growth-direct,MTA776
5,Dalmia Bharat,Cement & Construction,"61,000.00",16.23,2.55,,tata-mid-cap-growth-direct,MTA776
6,IFB Industries,Consumer Durables,"225,000.00",15.93,2.5,,tata-mid-cap-growth-direct,MTA776
7,Piramal Enter,Pharmaceuticals,"53,500.00",15.78,2.48,,tata-mid-cap-growth-direct,MTA776
8,Sadbhav Engg,Engineering & Capital Goods,"496,354.00",14.57,2.29,,tata-mid-cap-growth-direct,MTA776
9,Guj State Petro,Oil & Gas,"750,000.00",14.55,2.28,,tata-mid-cap-growth-direct,MTA776
10,City Union Bank,Banking & Financial Services,"770,000.00",13.62,2.14,,tata-mid-cap-growth-direct,MTA776
11,Strides Shasun,Pharmaceuticals,"120,000.00",12.72,2.0,,tata-mid-cap-growth-direct,MTA776
12,Mahindra CIE,Manufacturing,"505,000.00",12.68,1.99,,tata-mid-cap-growth-direct,MTA776
13,Amara Raja Batt,Automotive,"150,000.00",12.52,1.97,,tata-mid-cap-growth-direct,MTA776
14,Blue Star,Consumer Durables,"180,000.00",12.56,1.97,,tata-mid-cap-growth-direct,MTA776
15,Somany Ceramics,Cement & Construction,"157,800.00",12.58,1.97,,tata-mid-cap-growth-direct,MTA776
16,NCC,Cement & Construction,"1,400,000.00",12.44,1.95,,tata-mid-cap-growth-direct,MTA776
17,AIA Engineering,Engineering & Capital Goods,"85,000.00",12.27,1.93,,tata-mid-cap-growth-direct,MTA776
18,Vinati Organics,Chemicals,"115,000.00",11.9,1.87,,tata-mid-cap-growth-direct,MTA776
19,Navin Fluorine,Chemicals,"167,495.00",11.72,1.84,,tata-mid-cap-growth-direct,MTA776
20,Tamil Newsprint,Manufacturing,"315,900.00",11.71,1.84,,tata-mid-cap-growth-direct,MTA776
21,Cox & Kings,Miscellaneous,"410,000.00",11.69,1.83,,tata-mid-cap-growth-direct,MTA776
22,Interglobe Avi,Services,"90,000.00",11.62,1.82,,tata-mid-cap-growth-direct,MTA776
23,Solar Ind,Chemicals,"125,000.00",11.18,1.76,,tata-mid-cap-growth-direct,MTA776
24,Muthoot Finance,Banking & Financial Services,"225,000.00",10.65,1.67,,tata-mid-cap-growth-direct,MTA776
25,INOX Leisure,Media & Entertainment,"414,000.00",10.53,1.65,,tata-mid-cap-growth-direct,MTA776
26,Sadbhav Infra,Engineering & Capital Goods,"1,000,000.00",10.45,1.64,,tata-mid-cap-growth-direct,MTA776
27,J. K. Cement,Cement & Construction,"100,000.00",10.19,1.6,,tata-mid-cap-growth-direct,MTA776
28,Exide Ind,Automotive,"465,500.00",10.11,1.59,,tata-mid-cap-growth-direct,MTA776
29,Bharat Elec,Manufacturing,"550,000.00",9.84,1.55,,tata-mid-cap-growth-direct,MTA776
30,Eris Life,Pharmaceuticals,"162,024.00",9.74,1.53,,tata-mid-cap-growth-direct,MTA776
31,Ramco Cements,Cement & Construction,"142,000.00",9.65,1.52,,tata-mid-cap-growth-direct,MTA776
32,Bayer CropScien,Chemicals,"20,000.00",9.38,1.47,,tata-mid-cap-growth-direct,MTA776
33,DCB Bank,Banking & Financial Services,"450,000.00",8.78,1.38,,tata-mid-cap-growth-direct,MTA776
34,Rallis India,Chemicals,"360,000.00",8.65,1.36,,tata-mid-cap-growth-direct,MTA776
35,Aditya Birla F,Retail & Real Estate,"500,000.00",8.57,1.34,,tata-mid-cap-growth-direct,MTA776
36,Trident,Manufacturing,"1,000,000.00",8.27,1.3,,tata-mid-cap-growth-direct,MTA776
37,Chambal Fert,Chemicals,"600,000.00",8.21,1.29,,tata-mid-cap-growth-direct,MTA776
38,Equitas Holding,Banking & Financial Services,"490,000.00",8.19,1.29,,tata-mid-cap-growth-direct,MTA776
39,Petronet LNG,Oil & Gas,"400,000.00",8.16,1.28,,tata-mid-cap-growth-direct,MTA776
40,PI Industries,Chemicals,"100,000.00",7.65,1.2,,tata-mid-cap-growth-direct,MTA776
41,Nilkamal,Manufacturing,"40,000.00",7.51,1.18,,tata-mid-cap-growth-direct,MTA776
42,Brigade Ent,Retail & Real Estate,"263,736.00",7.39,1.16,,tata-mid-cap-growth-direct,MTA776
43,Atul Auto,Automotive,"160,000.00",6.89,1.08,,tata-mid-cap-growth-direct,MTA776
44,Tata Elxsi,Information Technology,"37,000.00",6.47,1.02,,tata-mid-cap-growth-direct,MTA776
45,EngineersInd,Engineering & Capital Goods,"400,000.00",6.34,1.0,,tata-mid-cap-growth-direct,MTA776
46,NBCC (India),Engineering & Capital Goods,"300,000.00",6.28,0.99,,tata-mid-cap-growth-direct,MTA776
47,Union Bank,Banking & Financial Services,"385,000.00",6.08,0.95,,tata-mid-cap-growth-direct,MTA776
48,Tata Global Bev,Food & Beverages,"355,000.00",6.02,0.95,,tata-mid-cap-growth-direct,MTA776
49,Sequent Scienti,Pharmaceuticals,"491,000.00",6.01,0.94,,tata-mid-cap-growth-direct,MTA776
50,CDSL,Banking & Financial Services,"167,800.00",5.7,0.89,,tata-mid-cap-growth-direct,MTA776
51,Timken,Engineering & Capital Goods,"75,000.00",5.37,0.84,,tata-mid-cap-growth-direct,MTA776
52,Satin Credit,Miscellaneous,"174,000.00",5.28,0.83,,tata-mid-cap-growth-direct,MTA776
53,Dhanuka Agritec,Chemicals,"70,000.00",5.2,0.82,,tata-mid-cap-growth-direct,MTA776
54,Tata Steel,Metals & Mining,"70,000.00",3.97,0.62,,tata-mid-cap-growth-direct,MTA776
55,Karur Vysya,Banking & Financial Services,"240,000.00",3.36,0.53,,tata-mid-cap-growth-direct,MTA776
56,Apollo Hospital,Services,"25,000.00",3.14,0.49,,tata-mid-cap-growth-direct,MTA776
