Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Federal Bank,Banking & Financial Services,"492,698.00",5.56,5.31,
IndusInd Bank,Banking & Financial Services,"36,745.00",5.43,5.19,
Bharat Elec,Manufacturing,"219,726.00",3.55,3.39,
KPR Mill,Manufacturing,"42,194.00",3.39,3.24,
PVR,Media & Entertainment,"23,640.00",3.33,3.18,
RamkrishnaForge,Manufacturing,"60,938.00",3.17,3.03,
City Union Bank,Banking & Financial Services,"186,936.00",3.01,2.87,
Repco Home,Banking & Financial Services,"35,921.00",2.96,2.83,
JK Lakshmi Cem,Cement & Construction,"51,394.00",2.49,2.38,
Tata Chemicals,Chemicals,"40,887.00",2.48,2.37,
Va Tech Wabag,Engineering & Capital Goods,"35,121.00",2.42,2.31,
Shankara Buildi,Miscellaneous,"29,488.00",2.39,2.28,
Kansai Nerolac,Chemicals,"53,746.00",2.37,2.26,
KNR Construct,Cement & Construction,"112,406.00",2.32,2.22,
Guj State Petro,Oil & Gas,"127,514.00",2.25,2.15,
Sundaram Fin,Banking & Financial Services,"14,000.00",2.25,2.15,
Deepak Fert,Chemicals,"82,538.00",2.22,2.12,
Petronet LNG,Oil & Gas,"101,787.00",2.20,2.10,
Mahindra Holida,Services,"55,832.00",2.18,2.08,
Alkem Lab,Pharmaceuticals,"11,342.00",2.10,2.01,
PNC Infratech,Retail & Real Estate,"144,049.00",2.06,1.97,
Guj Alkali,Chemicals,"52,402.00",2.03,1.94,
EngineersInd,Engineering & Capital Goods,"131,484.00",2.02,1.93,
Interglobe Avi,Services,"16,785.00",1.96,1.87,
Britannia,Food & Beverages,"5,250.00",1.94,1.85,
PNB Housing Fin,Banking & Financial Services,"11,808.00",1.88,1.80,
DCM Shriram,Conglomerates,"52,401.00",1.80,1.72,
Aditya Birla F,Retail & Real Estate,"102,053.00",1.77,1.69,
Manpasand Bever,Food & Beverages,"21,677.00",1.71,1.63,
Guj Mineral,Metals & Mining,"115,395.00",1.70,1.62,
MOIL,Metals & Mining,"52,486.00",1.68,1.60,
MCX India,Miscellaneous,"15,009.00",1.63,1.56,
Cholamandalam,Banking & Financial Services,"14,344.00",1.61,1.54,
Ratnamani Metal,Metals & Mining,"19,645.00",1.61,1.54,
DCB Bank,Banking & Financial Services,"80,668.00",1.60,1.53,
Shriram City,Banking & Financial Services,"6,720.00",1.60,1.53,
Endurance Techn,Automotive,"15,908.00",1.39,1.33,
Dhanuka Agritec,Chemicals,"16,457.00",1.38,1.32,
J. K. Cement,Cement & Construction,"13,160.00",1.24,1.18,
Cadila Health,Pharmaceuticals,"23,129.00",1.21,1.16,
Indian Metals,Metals & Mining,"24,984.00",1.17,1.12,
Insecticides,Chemicals,"17,132.00",1.10,1.05,
Heidelberg Cem,Cement & Construction,"85,375.00",1.07,1.02,
Sutlej Textiles,Manufacturing,"11,212.00",1.02,0.97,
Max Financial,Manufacturing,"13,107.00",0.83,0.79,
Union Bank,Banking & Financial Services,"52,568.00",0.77,0.74,
VRL Logistics,Services,"21,561.00",0.72,0.69
