Equity ,Sector,Qty ,"Value
 (Rs cr)",%,
Future Retail,Retail & Real Estate,"2,120,458.00",78.41,5.96,
Ramco Cements,Cement & Construction,"893,591.00",62.10,4.72,
IndusInd Bank,Banking & Financial Services,"352,283.00",52.10,3.96,
Bajaj Finance,Banking & Financial Services,"338,238.00",46.44,3.53,
KEC Intl,Engineering & Capital Goods,"1,623,225.00",41.84,3.18,
Minda Ind,Automotive,"595,842.00",38.15,2.90,
VRL Logistics,Services,"1,060,082.00",35.52,2.70,
EngineersInd,Engineering & Capital Goods,"1,891,772.00",29.08,2.21,
V-Mart Retail,Retail & Real Estate,"248,700.00",28.29,2.15,
Voltas,Conglomerates,"540,947.00",24.73,1.88,
CG Consumer,Manufacturing,"1,080,665.00",24.47,1.86,
Igarashi Motors,Engineering & Capital Goods,"231,697.00",22.89,1.74,
Exide Ind,Automotive,"1,038,224.00",22.89,1.74,
HBL Power,Engineering & Capital Goods,"5,281,583.00",22.10,1.68,
NCC,Cement & Construction,"2,531,893.00",22.10,1.68,
Lakshmi Machine,Engineering & Capital Goods,"42,420.00",21.45,1.63,
Union Bank,Banking & Financial Services,"1,445,998.00",21.31,1.62,
KEI Industries,Engineering & Capital Goods,"900,336.00",20.92,1.59,
HPCL,Oil & Gas,"610,955.00",20.79,1.58,
Aurobindo Pharm,Pharmaceuticals,"288,273.00",19.74,1.50,
JK Lakshmi Cem,Cement & Construction,"406,995.00",19.74,1.50,
PVR,Media & Entertainment,"135,440.00",19.08,1.45,
Deepak Nitrite,Chemicals,"1,124,931.00",18.16,1.38,
P and G,Consumer Non-durables,"22,630.00",18.16,1.38,
KPR Mill,Manufacturing,"220,903.00",17.76,1.35,
Cyient,Information Technology,"342,072.00",17.37,1.32,
Persistent,Information Technology,"250,734.00",17.10,1.30,
Hikal,Pharmaceuticals,"822,504.00",16.58,1.26,
Wonderla,Miscellaneous,"469,686.00",16.58,1.26,
Zee Entertain,Media & Entertainment,"334,710.00",16.45,1.25,
TD Power System,Engineering & Capital Goods,"724,493.00",16.45,1.25,
Karnataka Bank,Banking & Financial Services,"976,670.00",15.92,1.21,
Magma Fincorp,Banking & Financial Services,"972,776.00",15.79,1.20,
Petronet LNG,Oil & Gas,"724,742.00",15.66,1.19,
Aditya Birla F,Retail & Real Estate,"902,918.00",15.66,1.19,
Max Financial,Manufacturing,"233,491.00",14.74,1.12,
Skipper,Miscellaneous,"723,576.00",14.74,1.12,
Ent Network Ind,Media & Entertainment,"162,710.00",14.60,1.11,
Bank of Baroda,Banking & Financial Services,"879,019.00",14.21,1.08,
WABCO India,Automotive,"25,279.00",13.95,1.06,
Asahi India,Manufacturing,"558,721.00",13.68,1.04,
Indian Hotels,Services,"993,152.00",13.29,1.01,
Federal Bank,Banking & Financial Services,"1,165,866.00",13.16,1.00,
Nava Bharat Ven,Conglomerates,"983,686.00",13.16,1.00,
MRF,Automotive,"1,906.00",13.03,0.99,
CG Power ,Engineering & Capital Goods,"1,538,432.00",12.63,0.96,
Greenply Ind,Miscellaneous,"449,887.00",12.37,0.94,
CESC,Utilities,"140,876.00",12.24,0.93,
Equitas Holding,Banking & Financial Services,"815,722.00",12.24,0.93,
Lakshmi Vilas,Banking & Financial Services,"606,730.00",12.10,0.92,
Bharat Forge,Manufacturing,"108,371.00",11.84,0.90,
Jindal Steel,Metals & Mining,"907,734.00",11.18,0.85,
Dollar Ind,Manufacturing,"52,157.00",10.92,0.83,
Castrol,Chemicals,"263,331.00",10.66,0.81,
Bharat Elec,Manufacturing,"651,528.00",10.53,0.80,
GSFC,Chemicals,"906,574.00",10.39,0.79,
PNB,Banking & Financial Services,"728,272.00",10.00,0.76,
Gujarat Gas,Oil & Gas,"125,716.00",9.34,0.71,
Indoco Remedies,Pharmaceuticals,"448,749.00",9.08,0.69,
Tech Mahindra,Information Technology,"234,205.00",8.95,0.68,
M&M Financial,Banking & Financial Services,"247,918.00",8.55,0.65,
Sagar Cement,Cement & Construction,"89,786.00",7.37,0.56,
Linc PenandPlas,Miscellaneous,"231,668.00",6.32,0.48,
Guj Alkali,Chemicals,"115,396.00",4.47,0.34,
Oil India,Oil & Gas,"157,111.00",4.08,0.31,
HPL Electric & ,Engineering & Capital Goods,"183,940.00",2.37,0.18,
RBL Bank,Banking & Financial Services,"28,503.00",1.45,0.11
